"﻿变量名",room,_roomType,_beizhu,icon,weight,group,name,name_tw,name_en,name_vn,name_kr,monsterType,type,desc,desc_tw,desc_en,desc_vn,desc_kr,monster,fightC,pointC,drops,buff,event,boxType,gold,coin,randomLibs,randomLibs2
178,31,big treasure chest,big treasure chest,city/adventure/random_tower/icon_hhbx.png,,,Deluxe chest,豪華寶箱,Deluxe chest,404404,호화로운 보물상자,,3,Trainers who have overcome the huge challenge deserve to claim the reward,跨越巨大挑戰後才會配擁有此回報,Trainers who have overcome the huge challenge deserve to claim the reward,404404,거대한 도전을 끝내야만 보답을 얻을 수 있습니다.,,,,,,,2,60000,250,{libs=<502;504;>},{libs=<506;505;>}
179,32,change layer,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,33,3 out of 1 passive,Subordinate Passive,city/adventure/random_tower/icon/icon_wz.png,,,Battle buff,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,,2,,,,,,,,,,<<200;150>;<1000;90>>,,,,,,
181,33,3 out of 1 passive,Subordinate Passive,city/adventure/random_tower/icon/icon_wz.png,,,Battle buff,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,,2,,,,,,,,,,<<200;150>;<1000;90>>,,,,,,
182,33,3 out of 1 passive,Subordinate Passive,city/adventure/random_tower/icon/icon_wz.png,,,Battle buff,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,,2,,,,,,,,,,<<2221;40>;<2222;40>;<2223;100>;<2224;100>>,,,,,,
10182,33,3 out of 1 passive,hybrid passive,city/adventure/random_tower/icon/icon_wz.png,,,Battle buff,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,,2,,,,,,,,,,<<2228;10>;<2231;10>;<2223;100>;<2224;100>>,,,,,,
183,34,fighting,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,,,,,,,,,
184,34,fighting,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,,,,,,,,,
185,34,fighting,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,,,,,,,,,
186,34,fighting,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,,,,,,,,,
187,34,fighting,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,,,,,,,,,
188,34,fighting,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,,,,,,,,,
189,35,Mixed box,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
190,35,Mixed box,supply,city/adventure/random_tower/icon/icon_wz.png,,,Combat supplies,戰鬥補給,Combat supplies,404404,전투 보급,,2,,,,,,,,,,<<5;100>>,,,,,,
191,35,Mixed box,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
192,35,Mixed box,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
193,35,Mixed box,random event bad,city/adventure/random_tower/icon/icon_sj.png,0,,Event,事件,Event,404404,사건,,4,Nobody knows what may happen next,誰也不知道會發生什麼,Nobody knows what may happen next,404404,무슨 일이 일어날지 아무도 모릅니다.,,,,,,<<1;100>;<2;10>>,,,,,
194,35,Mixed box,in random events,city/adventure/random_tower/icon/icon_sj.png,0,,Event,事件,Event,404404,사건,,4,"Your choice may bring fortune, or catastrophe",你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","""당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.""",,,,,,<<2;100>;<3;10>>,,,,,
195,35,Mixed box,small treasure chest,city/adventure/random_tower/icon_bx.png,,,Chest,寶箱,Chest,Bảo rương,보물상자,,3,Surprise Chest,不經意間發現的寶箱,Surprise Chest,404404,갑자기 보물상자를 발견했습니다.,,,,,,,1,16000,30,{libs=<504;504;>},
196,35,Mixed box,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,0.6,,,,,,,,
197,35,Mixed box,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,0.6,,,,,,,,
198,35,Mixed box,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,0.6,,,,,,,,
199,36,Rumble,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
10199,36,Rumble,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,0,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
200,36,Rumble,supply,city/adventure/random_tower/icon/icon_wz.png,,,Combat supplies,戰鬥補給,Combat supplies,404404,전투 보급,,2,,,,,,,,,,<<5;100>>,,,,,,
201,36,Rumble,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
10201,36,Rumble,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,0,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
202,36,Rumble,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
203,36,Rumble,random event bad,city/adventure/random_tower/icon/icon_sj.png,,,Event,事件,Event,404404,사건,,4,Nobody knows what may happen next,誰也不知道會發生什麼,Nobody knows what may happen next,404404,무슨 일이 일어날지 아무도 모릅니다.,,,,,,<<1;100>;<2;10>>,,,,,
204,36,Rumble,in random events,city/adventure/random_tower/icon/icon_sj.png,0,,Event,事件,Event,404404,사건,,4,"Your choice may bring fortune, or catastrophe",你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","""당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.""",,,,,,<<2;100>;<3;10>>,,,,,
205,36,Rumble,small treasure chest,city/adventure/random_tower/icon_bx.png,,,Chest,寶箱,Chest,Bảo rương,보물상자,,3,Surprise Chest,不經意間發現的寶箱,Surprise Chest,404404,갑자기 보물상자를 발견했습니다.,,,,,,,1,16000,30,{libs=<504;504;>},
206,36,Rumble,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,0.6,,,,,,,,
207,36,Rumble,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,-1,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,0.6,,,,,,,,
208,36,Rumble,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,0.6,,,,,,,,
209,37,Mixed solid supplement,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,-1,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
10209,37,Mixed solid supplement,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,0,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
210,37,Mixed solid supplement,supply,city/adventure/random_tower/icon/icon_wz.png,-1,,Combat supplies,戰鬥補給,Combat supplies,404404,전투 보급,,2,,,,,,,,,,<<5;100>>,,,,,,
211,37,Mixed solid supplement,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
212,37,Mixed solid supplement,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
213,37,Mixed solid supplement,random event bad,city/adventure/random_tower/icon/icon_sj.png,0,,Event,事件,Event,404404,사건,,4,Nobody knows what may happen next,誰也不知道會發生什麼,Nobody knows what may happen next,404404,무슨 일이 일어날지 아무도 모릅니다.,,,,,,<<1;100>;<2;10>>,,,,,
214,37,Mixed solid supplement,in random events,city/adventure/random_tower/icon/icon_sj.png,0,,Event,事件,Event,404404,사건,,4,"Your choice may bring fortune, or catastrophe",你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","""당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.""",,,,,,<<2;100>;<3;10>>,,,,,
215,37,Mixed solid supplement,small treasure chest,city/adventure/random_tower/icon_bx.png,,,Chest,寶箱,Chest,Bảo rương,보물상자,,3,Surprise Chest,不經意間發現的寶箱,Surprise Chest,404404,갑자기 보물상자를 발견했습니다.,,,,,,,1,16000,30,{libs=<504;504;>},
216,37,Mixed solid supplement,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,0.6,,,,,,,,
217,37,Mixed solid supplement,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,0.6,,,,,,,,
218,37,Mixed solid supplement,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,0.6,,,,,,,,
219,38,Mixed things,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
220,38,Mixed things,supply,city/adventure/random_tower/icon/icon_wz.png,,,Combat supplies,戰鬥補給,Combat supplies,404404,전투 보급,,2,,,,,,,,,,<<5;100>>,,,,,,
221,38,Mixed things,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,0,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
222,38,Mixed things,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;40>>,,,,,,
223,38,Mixed things,random event bad,city/adventure/random_tower/icon/icon_sj.png,-1,,Event,事件,Event,404404,사건,,4,Nobody knows what may happen next,誰也不知道會發生什麼,Nobody knows what may happen next,404404,무슨 일이 일어날지 아무도 모릅니다.,,,,,,<<1;100>;<2;10>>,,,,,
224,38,Mixed things,in random events,city/adventure/random_tower/icon/icon_sj.png,-1,,Event,事件,Event,404404,사건,,4,"Your choice may bring fortune, or catastrophe",你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","""당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.""",,,,,,<<2;100>;<3;10>>,,,,,
225,38,Mixed things,small treasure chest,city/adventure/random_tower/icon_bx.png,,,Chest,寶箱,Chest,Bảo rương,보물상자,,3,Surprise Chest,不經意間發現的寶箱,Surprise Chest,404404,갑자기 보물상자를 발견했습니다.,,,,,,,1,16000,30,{libs=<504;504;>},
226,38,Mixed things,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,0.6,,,,,,,,
227,38,Mixed things,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,0.6,,,,,,,,
228,38,Mixed things,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,0.6,,,,,,,,
229,39,fighting,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,,,,,,,,,
230,39,fighting,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,,,,,,,,,
231,39,fighting,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,,,,,,,,,
232,39,fighting,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,,,,,,,,,
233,39,fighting,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,,,,,,,,,
234,39,fighting,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,,,,,,,,,
235,40,mix,Great supply,city/adventure/random_tower/icon/icon_wz.png,,,Combat supplies,戰鬥補給,Combat supplies,404404,전투 보급,,2,,,,,,,,,,<<5;100>>,,,,,,
236,40,mix,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<2;100>>,,,,,,
237,40,mix,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<2;100>>,,,,,,
238,40,mix,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<3;100>>,,,,,,
239,40,mix,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<3;100>>,,,,,,
240,40,mix,in random events,city/adventure/random_tower/icon/icon_sj.png,,,Event,事件,Event,404404,사건,,4,"Your choice may bring fortune, or catastrophe",你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","""당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.""",,,,,,<<2;100>;<3;10>>,,,,,
241,41,BOSS,boss,city/adventure/random_tower/icon/img_boss@.png,,,Overlord,霸主,Overlord,404404,패왕,4,1,Extremely tough power ahead,極為艱難的力量在前方,Extremely tough power ahead,404404,강력한 힘이 앞에서 느껴집니다.,4,0.8,0.8,,,,,,,,
242,41,BOSS,boss,city/adventure/random_tower/icon/img_boss@.png,,,Overlord,霸主,Overlord,404404,패왕,4,1,Toughest power ahead,最為艱難的力量在前方,Toughest power ahead,404404,매우 강력한 힘이 앞에서 느껴집니다.,4,,,,,,,,,,
243,42,big treasure chest,big treasure chest,city/adventure/random_tower/icon_hhbx.png,,,Deluxe chest,豪華寶箱,Deluxe chest,404404,호화로운 보물상자,,3,Trainers who have overcome the huge challenge deserve to claim the reward,跨越巨大挑戰後才會配擁有此回報,Trainers who have overcome the huge challenge deserve to claim the reward,404404,거대한 도전을 끝내야만 보답을 얻을 수 있습니다.,,,,,,,2,70000,300,{libs=<503;504;>},{libs=<506;505;>}
244,43,change layer,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,44,3 out of 1 passive,Subordinate Passive,city/adventure/random_tower/icon/icon_wz.png,,,Battle buff,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,,2,,,,,,,,,,<<200;150>;<1000;90>>,,,,,,
246,44,3 out of 1 passive,Subordinate Passive,city/adventure/random_tower/icon/icon_wz.png,,,Battle buff,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,,2,,,,,,,,,,<<200;150>;<1000;90>>,,,,,,
247,44,3 out of 1 passive,Subordinate Passive,city/adventure/random_tower/icon/icon_wz.png,,,Battle buff,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,,2,,,,,,,,,,<<2223;100>;<2224;100>;<200;150>;<1000;90>>,,,,,,
10247,44,3 out of 1 passive,hybrid passive,city/adventure/random_tower/icon/icon_wz.png,,,Battle buff,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,,2,,,,,,,,,,<<2223;100>;<2224;100>;<200;150>;<1000;90>>,,,,,,
248,45,fighting,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,,,,,,,,,
249,45,fighting,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,,,,,,,,,
250,45,fighting,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,,,,,,,,,
251,45,fighting,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,,,,,,,,,
252,45,fighting,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,,,,,,,,,
253,45,fighting,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,,,,,,,,,
254,46,Mixed box,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
255,46,Mixed box,supply,city/adventure/random_tower/icon/icon_wz.png,,,Combat supplies,戰鬥補給,Combat supplies,404404,전투 보급,,2,,,,,,,,,,<<5;100>>,,,,,,
256,46,Mixed box,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
257,46,Mixed box,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
258,46,Mixed box,random event bad,city/adventure/random_tower/icon/icon_sj.png,0,,Event,事件,Event,404404,사건,,4,Nobody knows what may happen next,誰也不知道會發生什麼,Nobody knows what may happen next,404404,무슨 일이 일어날지 아무도 모릅니다.,,,,,,<<1;100>;<2;10>>,,,,,
259,46,Mixed box,in random events,city/adventure/random_tower/icon/icon_sj.png,0,,Event,事件,Event,404404,사건,,4,"Your choice may bring fortune, or catastrophe",你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","""당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.""",,,,,,<<2;100>;<3;10>>,,,,,
260,46,Mixed box,small treasure chest,city/adventure/random_tower/icon_bx.png,,,Chest,寶箱,Chest,Bảo rương,보물상자,,3,Surprise Chest,不經意間發現的寶箱,Surprise Chest,404404,갑자기 보물상자를 발견했습니다.,,,,,,,1,18000,30,{libs=<504;504;>},
261,46,Mixed box,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,0.6,,,,,,,,
262,46,Mixed box,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,0.6,,,,,,,,
263,46,Mixed box,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,0.6,,,,,,,,
264,47,Rumble,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
265,47,Rumble,supply,city/adventure/random_tower/icon/icon_wz.png,,,Combat supplies,戰鬥補給,Combat supplies,404404,전투 보급,,2,,,,,,,,,,<<5;100>>,,,,,,
266,47,Rumble,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
267,47,Rumble,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
268,47,Rumble,random event bad,city/adventure/random_tower/icon/icon_sj.png,,,Event,事件,Event,404404,사건,,4,Nobody knows what may happen next,誰也不知道會發生什麼,Nobody knows what may happen next,404404,무슨 일이 일어날지 아무도 모릅니다.,,,,,,<<1;100>;<2;10>>,,,,,
269,47,Rumble,in random events,city/adventure/random_tower/icon/icon_sj.png,0,,Event,事件,Event,404404,사건,,4,"Your choice may bring fortune, or catastrophe",你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","""당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.""",,,,,,<<2;100>;<3;10>>,,,,,
