"﻿变量名",randomLibID,drawWeight,drawWeightFix,attrsDesc,attrsDesc_tw,attrsDesc_en,attrsDesc_vn,attrsDesc_kr,recastWeight,recastWeightFix,attrType1,attrNum1,attrType2,attrNum2
401,50003,200,0,Fixed HP,固定生命,Fixed HP,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<1120;1568;2016;2464>,,
402,50003,200,0,Percentage of HP,百分比生命,Percentage of HP,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<2.8%;3.64%;4.48%;5.32%>,,
403,50003,200,0,Fixed P. & Sp. DEF,固定雙防,Fixed P. & Sp. DEF,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<157;220;283;345>,10,<157;220;283;345>
404,50003,200,0,Percentage P. & Sp. DEF,百分比雙防,Percentage P. & Sp. DEF,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<2.8%;3.64%;4.48%;5.32%>,10,<2.8%;3.64%;4.48%;5.32%>
405,50003,200,0,CRI RES,暴擊抗性,CRI RES,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,16,<84;126;168;210>,,
406,50003,200,0,Heal effect,治療效果,Heal effect,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,28,<84;126;168;210>,,
407,50003,200,0,Reflect,反彈,Reflect,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,27,<84;126;168;210>,,
408,50003,200,0,Block,抵禦,Block,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,17,<84;126;168;210>,,
409,50003,200,0,Control resist rate,免疫控制率,Control resist rate,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,91,<84;126;168;210>,,
410,50003,200,0,DMG reduction,傷害減免,DMG reduction,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,23,<84;126;168;210>,,
411,50003,200,0,Ultimate Skill resistance,必殺抗性,Ultimate Skill resistance,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,25,<84;126;168;210>,,
421,50004,200,0,Fixed speed,固定速度,Fixed speed,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,13,<11;15;20;24>,,
422,50004,200,0,Anger recovery speed,怒氣回復速度,Anger recovery speed,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;100>;<31;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,5,<84;126;168;210>,,
423,50004,200,0,Fixed P. & Sp. ATK,固定雙攻,Fixed P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<224;314;403;493>,8,<224;314;403;493>
424,50004,200,0,Percentage P. & Sp. ATK,百分比雙攻,Percentage P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<2.8%;3.64%;4.48%;5.32%>,8,<2.8%;3.64%;4.48%;5.32%>
425,50004,200,0,P. & Sp. DEF Ignorance,雙防忽視,P. & Sp. DEF Ignorance,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,11,<84;126;168;210>,12,<84;126;168;210>
426,50004,200,0,Crit,暴擊,Crit,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,14,<84;126;168;210>,,
427,50004,200,0,CRI DMG,暴擊傷害,CRI DMG,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,15,<84;126;168;210>,,
428,50004,200,0,Block Break rate,破抵禦,Block Break rate,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,18,<84;126;168;210>,,
429,50004,200,0,Control rate,控制率,Control rate,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,90,<84;126;168;210>,,
430,50004,200,0,ATK bonus,傷害加成,ATK bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,22,<84;126;168;210>,,
431,50004,200,0,Ultimate Skill bonus,必殺加成,Ultimate Skill bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,24,<84;126;168;210>,,
441,50005,200,0,Fixed HP,固定生命,Fixed HP,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<1120;1568;2016;2464>,,
442,50005,200,0,Percentage of HP,百分比生命,Percentage of HP,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<2.8%;3.64%;4.48%;5.32%>,,
443,50005,200,0,Fixed P. & Sp. DEF,固定雙防,Fixed P. & Sp. DEF,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<157;220;283;345>,10,<157;220;283;345>
444,50005,200,0,Percentage P. & Sp. DEF,百分比雙防,Percentage P. & Sp. DEF,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<2.8%;3.64%;4.48%;5.32%>,10,<2.8%;3.64%;4.48%;5.32%>
445,50005,200,0,CRI RES,暴擊抗性,CRI RES,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,16,<84;126;168;210>,,
446,50005,200,0,Heal effect,治療效果,Heal effect,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,28,<84;126;168;210>,,
447,50005,200,0,Reflect,反彈,Reflect,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,27,<84;126;168;210>,,
448,50005,200,0,Block,抵禦,Block,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,17,<84;126;168;210>,,
449,50005,200,0,Control resist rate,免疫控制率,Control resist rate,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,91,<84;126;168;210>,,
450,50005,200,0,DMG reduction,傷害減免,DMG reduction,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,23,<84;126;168;210>,,
451,50005,200,0,Ultimate Skill resistance,必殺抗性,Ultimate Skill resistance,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,25,<84;126;168;210>,,
461,50006,200,0,Anger recovery speed,怒氣回復速度,Anger recovery speed,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,5,<84;126;168;210>,,
462,50006,200,0,Fixed P. & Sp. ATK,固定雙攻,Fixed P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<224;314;403;493>,8,<224;314;403;493>
463,50006,200,0,Percentage P. & Sp. ATK,百分比雙攻,Percentage P. & Sp. ATK,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<2.8%;3.64%;4.48%;5.32%>,8,<2.8%;3.64%;4.48%;5.32%>
464,50006,200,0,P. & Sp. DEF Ignorance,雙防忽視,P. & Sp. DEF Ignorance,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,11,<84;126;168;210>,12,<84;126;168;210>
465,50006,200,0,Crit,暴擊,Crit,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,14,<84;126;168;210>,,
466,50006,200,0,CRI DMG,暴擊傷害,CRI DMG,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,15,<84;126;168;210>,,
467,50006,200,0,Life steal,吸血,Life steal,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,26,<84;126;168;210>,,
468,50006,200,0,Block Break rate,破抵禦,Block Break rate,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,18,<84;126;168;210>,,
469,50006,200,0,ATK bonus,傷害加成,ATK bonus,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,22,<84;126;168;210>,,
470,50006,200,0,Ultimate Skill bonus,必殺加成,Ultimate Skill bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,24,<84;126;168;210>,,
481,60001,200,0,Fixed HP,固定生命,Fixed HP,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<1600;2240;2880;3520>,,
482,60001,200,0,Percentage of HP,百分比生命,Percentage of HP,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<2.4%;3.6%;4.8%;6%>,,
483,60001,200,0,Fixed P. & Sp. DEF,固定雙防,Fixed P. & Sp. DEF,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<224;314;403;493>,10,<224;314;403;493>
484,60001,200,0,Percentage P. & Sp. DEF,百分比雙防,Percentage P. & Sp. DEF,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<2.4%;3.6%;4.8%;6%>,10,<2.4%;3.6%;4.8%;6%>
485,60001,200,0,CRI RES,暴擊抗性,CRI RES,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,16,<120;180;240;300>,,
486,60001,200,0,Heal effect,治療效果,Heal effect,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,28,<120;180;240;300>,,
487,60001,200,0,Block,抵禦,Block,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,17,<120;180;240;300>,,
488,60001,200,0,Control resist rate,免疫控制率,Control resist rate,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,91,<120;180;240;300>,,
489,60001,200,0,DMG reduction,傷害減免,DMG reduction,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,23,<120;180;240;300>,,
490,60001,200,0,Ultimate Skill resistance,必殺抗性,Ultimate Skill resistance,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,25,<120;180;240;300>,,
501,60002,100,0,Fixed speed,固定速度,Fixed speed,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,13,<16;22;29;35>,,
502,60002,200,0,Fixed P. & Sp. ATK,固定雙攻,Fixed P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<320;448;576;704>,8,<320;448;576;704>
503,60002,200,0,Percentage P. & Sp. ATK,百分比雙攻,Percentage P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<2.4%;3.6%;4.8%;6%>,8,<2.4%;3.6%;4.8%;6%>
504,60002,200,0,P. & Sp. DEF Ignorance,雙防忽視,P. & Sp. DEF Ignorance,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,11,<120;180;240;300>,12,<120;180;240;300>
505,60002,200,0,Crit,暴擊,Crit,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,14,<120;180;240;300>,,
506,60002,200,0,CRI DMG,暴擊傷害,CRI DMG,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,15,<120;180;240;300>,,
507,60002,200,0,Block Break rate,破抵禦,Block Break rate,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,18,<120;180;240;300>,,
508,60002,200,0,Control rate,控制率,Control rate,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,90,<120;180;240;300>,,
509,60002,200,0,ATK bonus,傷害加成,ATK bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,22,<120;180;240;300>,,
510,60002,200,0,Ultimate Skill bonus,必殺加成,Ultimate Skill bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,24,<120;180;240;300>,,
521,60003,200,0,Fixed HP,固定生命,Fixed HP,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<1600;2240;2880;3520>,,
522,60003,200,0,Percentage of HP,百分比生命,Percentage of HP,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<2.4%;3.6%;4.8%;6%>,,
523,60003,200,0,Fixed P. & Sp. DEF,固定雙防,Fixed P. & Sp. DEF,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<224;314;403;493>,10,<224;314;403;493>
524,60003,200,0,Percentage P. & Sp. DEF,百分比雙防,Percentage P. & Sp. DEF,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<2.4%;3.6%;4.8%;6%>,10,<2.4%;3.6%;4.8%;6%>
525,60003,200,0,CRI RES,暴擊抗性,CRI RES,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,16,<120;180;240;300>,,
526,60003,200,0,Heal effect,治療效果,Heal effect,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,28,<120;180;240;300>,,
527,60003,200,0,Reflect,反彈,Reflect,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,27,<120;180;240;300>,,
528,60003,200,0,Block,抵禦,Block,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,17,<120;180;240;300>,,
529,60003,200,0,Control resist rate,免疫控制率,Control resist rate,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,91,<120;180;240;300>,,
530,60003,200,0,DMG reduction,傷害減免,DMG reduction,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,23,<120;180;240;300>,,
531,60003,200,0,Ultimate Skill resistance,必殺抗性,Ultimate Skill resistance,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,25,<120;180;240;300>,,
541,60004,200,0,Fixed speed,固定速度,Fixed speed,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,13,<16;22;29;35>,,
542,60004,200,0,Anger recovery speed,怒氣回復速度,Anger recovery speed,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;100>;<31;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,5,<120;180;240;300>,,
543,60004,200,0,Fixed P. & Sp. ATK,固定雙攻,Fixed P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<320;448;576;704>,8,<320;448;576;704>
544,60004,200,0,Percentage P. & Sp. ATK,百分比雙攻,Percentage P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<2.4%;3.6%;4.8%;6%>,8,<2.4%;3.6%;4.8%;6%>
545,60004,200,0,P. & Sp. DEF Ignorance,雙防忽視,P. & Sp. DEF Ignorance,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,11,<120;180;240;300>,12,<120;180;240;300>
546,60004,200,0,Crit,暴擊,Crit,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,14,<120;180;240;300>,,
547,60004,200,0,CRI DMG,暴擊傷害,CRI DMG,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,15,<120;180;240;300>,,
548,60004,200,0,Block Break rate,破抵禦,Block Break rate,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,18,<120;180;240;300>,,
549,60004,200,0,Control rate,控制率,Control rate,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,90,<120;180;240;300>,,
550,60004,200,0,ATK bonus,傷害加成,ATK bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,22,<120;180;240;300>,,
551,60004,200,0,Ultimate Skill bonus,必殺加成,Ultimate Skill bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,24,<120;180;240;300>,,
561,60005,200,0,Fixed HP,固定生命,Fixed HP,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<1600;2240;2880;3520>,,
562,60005,200,0,Percentage of HP,百分比生命,Percentage of HP,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<2.4%;3.6%;4.8%;6%>,,
563,60005,200,0,Fixed P. & Sp. DEF,固定雙防,Fixed P. & Sp. DEF,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<224;314;403;493>,10,<224;314;403;493>
564,60005,200,0,Percentage P. & Sp. DEF,百分比雙防,Percentage P. & Sp. DEF,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<2.4%;3.6%;4.8%;6%>,10,<2.4%;3.6%;4.8%;6%>
565,60005,200,0,CRI RES,暴擊抗性,CRI RES,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,16,<120;180;240;300>,,
566,60005,200,0,Heal effect,治療效果,Heal effect,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,28,<120;180;240;300>,,
567,60005,200,0,Reflect,反彈,Reflect,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,27,<120;180;240;300>,,
568,60005,200,0,Block,抵禦,Block,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,17,<120;180;240;300>,,
569,60005,200,0,Control resist rate,免疫控制率,Control resist rate,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,91,<120;180;240;300>,,
570,60005,200,0,DMG reduction,傷害減免,DMG reduction,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,23,<120;180;240;300>,,
571,60005,200,0,Ultimate Skill resistance,必殺抗性,Ultimate Skill resistance,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,25,<120;180;240;300>,,
581,60006,200,0,Anger recovery speed,怒氣回復速度,Anger recovery speed,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,5,<120;180;240;300>,,
582,60006,200,0,Fixed P. & Sp. ATK,固定雙攻,Fixed P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<320;448;576;704>,8,<320;448;576;704>
583,60006,200,0,Percentage P. & Sp. ATK,百分比雙攻,Percentage P. & Sp. ATK,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<2.4%;3.6%;4.8%;6%>,8,<2.4%;3.6%;4.8%;6%>
584,60006,200,0,P. & Sp. DEF Ignorance,雙防忽視,P. & Sp. DEF Ignorance,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,11,<120;180;240;300>,12,<120;180;240;300>
585,60006,200,0,Crit,暴擊,Crit,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,14,<120;180;240;300>,,
586,60006,200,0,CRI DMG,暴擊傷害,CRI DMG,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,15,<120;180;240;300>,,
587,60006,200,0,Life steal,吸血,Life steal,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,26,<120;180;240;300>,,
588,60006,200,0,Block Break rate,破抵禦,Block Break rate,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,18,<120;180;240;300>,,
589,60006,200,0,ATK bonus,傷害加成,ATK bonus,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,22,<120;180;240;300>,,
590,60006,200,0,Ultimate Skill bonus,必殺加成,Ultimate Skill bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,24,<120;180;240;300>,,
