变量名,name,name_tw,name_en,name_vn,name_kr,_beizhu,isShow,icon,desc,desc_tw,desc_en,desc_vn,desc_kr,desc1,desc1_tw,desc1_en,desc1_vn,desc1_kr,quality,use,type,stackMax,specialArgsMap,specialArgsMap_kr,specialArgsMap_en,specialArgsMap_tw,effBtn,pageTag,sellPrice,autoSell,sortType,sortValue,fragID,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_vn,produceDesc_kr,effect,rebirthRMB,dateType,expireDate,expireTime,timeOut,gateDropC,drawItemsLibC,regain,isLimitDrop
5055,Rose Grass Gem,玫紅草元寶石,Rose Grass Gem,404,적색 풀 보석,,,config/item/icon_grass_rose.png,A necessary item for upgrading Pokémons to Exotic+1 and contains elemental power,蘊藏元素之力，提升精靈品質至玫紅色+1的必備材料之一,A necessary item for upgrading Pokémons to Exotic+1 and contains elemental power,404,"원소에 힘이 깃들어 있으며, 포켓몬 등급을  적색+1 진급에 반드시 필요한 재료 중 하나",,,,,,7,strengthen-advance,5,99999,,,,,<1;2>,<2>,,,2,55,,,,,,,,,,,,,,,0.15,,,,,,,,
5056,Rose Fire Gem,玫紅火元寶石,Rose Fire Gem,404,적색 불꽃 보석,,,config/item/icon_fire_rose.png,A necessary item for upgrading Pokémons to Exotic+1 and contains elemental power,蘊藏元素之力，提升精靈品質至玫紅色+1的必備材料之一,A necessary item for upgrading Pokémons to Exotic+1 and contains elemental power,404,"원소에 힘이 깃들어 있으며, 포켓몬 등급을  적색+1 진급에 반드시 필요한 재료 중 하나",,,,,,7,strengthen-advance,5,99999,,,,,<1;2>,<2>,,,2,56,,,,,,,,,,,,,,,0.15,,,,,,,,
5057,Rose Water Gem,玫紅水元寶石,Rose Water Gem,404,적색 물 보석,,,config/item/icon_walter_rose.png,A necessary item for upgrading Pokémons to Exotic+1 and contains elemental power,蘊藏元素之力，提升精靈品質至玫紅色+1的必備材料之一,A necessary item for upgrading Pokémons to Exotic+1 and contains elemental power,404,"원소에 힘이 깃들어 있으며, 포켓몬 등급을  적색+1 진급에 반드시 필요한 재료 중 하나",,,,,,7,strengthen-advance,5,99999,,,,,<1;2>,<2>,,,2,57,,,,,,,,,,,,,,,0.15,,,,,,,,
5058,Magenta Grass Crystal,綻玫草元晶石,Magenta Grass Crystal,404,장미꽃 풀 결정체,,,config/item/icon_grass_rose_1.png,A necessary item for upgrading Pokémons to Exotic+2 and contains elemental power,蘊藏元素之力，提升精靈品質至玫紅色+2的必備材料之一,A necessary item for upgrading Pokémons to Exotic+2 and contains elemental power,404,"원소에 힘이 깃들어 있으며, 포켓몬 등급을  적색+2 진급에 반드시 필요한 재료 중 하나",,,,,,7,strengthen-advance,5,99999,,,,,<1;2>,<2>,,,2,58,,,,,,,,,,,,,,,0.15,,,,,,,,
5059,Magenta Fire Crystal,綻玫火元晶石,Magenta Fire Crystal,404,장미꽃 불꽃 결정체,,,config/item/icon_fire_rose_1.png,A necessary item for upgrading Pokémons to Exotic+2 and contains elemental power,蘊藏元素之力，提升精靈品質至玫紅色+2的必備材料之一,A necessary item for upgrading Pokémons to Exotic+2 and contains elemental power,404,"원소에 힘이 깃들어 있으며, 포켓몬 등급을  적색+2 진급에 반드시 필요한 재료 중 하나",,,,,,7,strengthen-advance,5,99999,,,,,<1;2>,<2>,,,2,59,,,,,,,,,,,,,,,0.15,,,,,,,,
5060,Magenta Water Crystal,綻玫水元晶石,Magenta Water Crystal,404,장미꽃 물 결정체,,,config/item/icon_walter_rose_1.png,A necessary item for upgrading Pokémons to Exotic+2 and contains elemental power,蘊藏元素之力，提升精靈品質至玫紅色+2的必備材料之一,A necessary item for upgrading Pokémons to Exotic+2 and contains elemental power,404,"원소에 힘이 깃들어 있으며, 포켓몬 등급을  적색+2 진급에 반드시 필요한 재료 중 하나",,,,,,7,strengthen-advance,5,99999,,,,,<1;2>,<2>,,,2,60,,,,,,,,,,,,,,,0.15,,,,,,,,
5061,Ruby Grass Titanium,耀玫草元鈦石,Ruby Grass Titanium,404,단색 풀 티타늄,,,config/item/icon_grass_rose_2.png,A necessary item for upgrading Pokémons to Exotic+3 and contains elemental power,蘊藏元素之力，提升精靈品質至玫紅色+3的必備材料之一,A necessary item for upgrading Pokémons to Exotic+3 and contains elemental power,404,"원소에 힘이 깃들어 있으며, 포켓몬 등급을  적색+3 진급에 반드시 필요한 재료 중 하나",,,,,,7,strengthen-advance,5,99999,,,,,<1;2>,<2>,,,2,61,,,,,,,,,,,,,,,0.15,,,,,,,,
5062,Ruby Fire Titanium,耀玫火元鈦石,Ruby Fire Titanium,404,단색 불꽃 티타늄,,,config/item/icon_fire_rose_2.png,A necessary item for upgrading Pokémons to Exotic+3 and contains elemental power,蘊藏元素之力，提升精靈品質至玫紅色+3的必備材料之一,A necessary item for upgrading Pokémons to Exotic+3 and contains elemental power,404,"원소에 힘이 깃들어 있으며, 포켓몬 등급을  적색+3 진급에 반드시 필요한 재료 중 하나",,,,,,7,strengthen-advance,5,99999,,,,,<1;2>,<2>,,,2,62,,,,,,,,,,,,,,,0.15,,,,,,,,
5063,Ruby Water Titanium,耀玫水元鈦石,Ruby Water Titanium,404,단색 물 티타늄,,,config/item/icon_walter_rose_2.png,A necessary item for upgrading Pokémons to Exotic+3 and contains elemental power,蘊藏元素之力，提升精靈品質至玫紅色+3的必備材料之一,A necessary item for upgrading Pokémons to Exotic+3 and contains elemental power,404,"원소에 힘이 깃들어 있으며, 포켓몬 등급을  적색+3 진급에 반드시 필요한 재료 중 하나",,,,,,7,strengthen-advance,5,99999,,,,,<1;2>,<2>,,,2,63,,,,,,,,,,,,,,,0.15,,,,,,,,
5064,Cardinal Grass Quartz,絢玫草元矽石,Cardinal Grass Quartz,404,적황색 풀 규석,,,config/item/icon_grass_rose_3.png,A necessary item for upgrading Pokémons to Exotic+4 and contains elemental power,蘊藏元素之力，提升精靈品質至玫紅色+4的必備材料之一,A necessary item for upgrading Pokémons to Exotic+4 and contains elemental power,404,"원소에 힘이 깃들어 있으며, 포켓몬 등급을  적색+4 진급에 반드시 필요한 재료 중 하나",,,,,,7,strengthen-advance,5,99999,,,,,<1;2>,<2>,,,2,64,,,,,,,,,,,,,,,0.15,,,,,,,,
5065,Cardinal Fire Quartz,絢玫火元矽石,Cardinal Fire Quartz,404,적황색 불꽃 규석,,,config/item/icon_fire_rose_3.png,A necessary item for upgrading Pokémons to Exotic+4 and contains elemental power,蘊藏元素之力，提升精靈品質至玫紅色+4的必備材料之一,A necessary item for upgrading Pokémons to Exotic+4 and contains elemental power,404,"원소에 힘이 깃들어 있으며, 포켓몬 등급을  적색+4 진급에 반드시 필요한 재료 중 하나",,,,,,7,strengthen-advance,5,99999,,,,,<1;2>,<2>,,,2,65,,,,,,,,,,,,,,,0.15,,,,,,,,
5066,Cardinal Water Quartz,絢玫水元矽石,Cardinal Water Quartz,404,적황색 물 규석,,,config/item/icon_walter_rose_3.png,A necessary item for upgrading Pokémons to Exotic+4 and contains elemental power,蘊藏元素之力，提升精靈品質至玫紅色+4的必備材料之一,A necessary item for upgrading Pokémons to Exotic+4 and contains elemental power,404,"원소에 힘이 깃들어 있으며, 포켓몬 등급을  적색+4 진급에 반드시 필요한 재료 중 하나",,,,,,7,strengthen-advance,5,99999,,,,,<1;2>,<2>,,,2,66,,,,,,,,,,,,,,,0.15,,,,,,,,
5067,Vermilion Grass Titanite,殷玫草元榍石,Vermilion Grass Titanite,404,흑적색  풀 티타나이트,,,config/item/icon_grass_rose_4.png,A necessary item for upgrading Pokémons to Exotic+5 and contains elemental power,蘊藏元素之力，提升精靈品質至玫紅色+5的必備材料之一,A necessary item for upgrading Pokémons to Exotic+5 and contains elemental power,404,"원소에 힘이 깃들어 있으며, 포켓몬 등급을  적색+5 진급에 반드시 필요한 재료 중 하나",,,,,,7,strengthen-advance,5,99999,,,,,<1;2>,<2>,,,2,67,,,,,,,,,,,,,,,0.15,,,,,,,,
5068,Vermilion Fire Titanite,殷玫火元榍石,Vermilion Fire Titanite,404,흑적색 불꽃 티타나이트,,,config/item/icon_fire_rose_4.png,A necessary item for upgrading Pokémons to Exotic+5 and contains elemental power,蘊藏元素之力，提升精靈品質至玫紅色+5的必備材料之一,A necessary item for upgrading Pokémons to Exotic+5 and contains elemental power,404,"원소에 힘이 깃들어 있으며, 포켓몬 등급을  적색+5 진급에 반드시 필요한 재료 중 하나",,,,,,7,strengthen-advance,5,99999,,,,,<1;2>,<2>,,,2,68,,,,,,,,,,,,,,,0.15,,,,,,,,
5069,Vermilion Water Titanite,殷玫水元榍石,Vermilion Water Titanite,404,흑적색 물 티타나이트,,,config/item/icon_walter_rose_4.png,A necessary item for upgrading Pokémons to Exotic+5 and contains elemental power,蘊藏元素之力，提升精靈品質至玫紅色+5的必備材料之一,A necessary item for upgrading Pokémons to Exotic+5 and contains elemental power,404,"원소에 힘이 깃들어 있으며, 포켓몬 등급을  적색+5 진급에 반드시 필요한 재료 중 하나",,,,,,7,strengthen-advance,5,99999,,,,,<1;2>,<2>,,,2,69,,,,,,,,,,,,,,,0.15,,,,,,,,
5070,Rose gold Grass Fluorite,玫金草元瑩石,Rose gold Grass Fluorite,404,로즈골드 풀 영석,,,config/item/icon_grass_rose_5.png,404,???,404,404,404,,,,,,7,strengthen-advance,5,99999,,,,,<1;2>,<2>,,,2,70,,,,,,,,,,,,,,,0.15,,,,,,,,
5071,Rose gold Fire Fluorite,玫金火元瑩石,Rose gold Fire Fluorite,404,로즈골드 불꽃 영석,,,config/item/icon_fire_rose_5.png,404,???,404,404,404,,,,,,7,strengthen-advance,5,99999,,,,,<1;2>,<2>,,,2,71,,,,,,,,,,,,,,,0.15,,,,,,,,
5072,Rose gold Water Fluorite,玫金水元瑩石,Rose gold Water Fluorite,404,로즈골드 물 영석,,,config/item/icon_walter_rose_5.png,404,???,404,404,404,,,,,,7,strengthen-advance,5,99999,,,,,<1;2>,<2>,,,2,72,,,,,,,,,,,,,,,0.15,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5501,Guild War Chest,公會戰寶箱,Guild War Chest,Rương Guild Chiến,길드전 보물상자,,,config/item/box/box_ghz.png,"Can be obtained from Guild War Qualifiers and Rematches. Open to get Guild War Medal Coins, Trinket Blueprint, Friendship Gift, Upgrade Crystal, Emerald Star Stone, and other rewards",公會戰預賽和複賽可以獲得，打開後可以獲得公會戰勳金幣，飾品圖紙，好感度禮物，進階晶石，翡翠星石等資源獎勵,"Can be obtained from Guild War Qualifiers and Rematches. Open to get Guild War Medal Coins, Trinket Blueprint, Friendship Gift, Upgrade Crystal, Emerald Star Stone, and other rewards",Nhận trong Vòng Loại và Vòng Tái Đấu Guild Chiến  mở để nhận Gold Chiến Huân Guild  Bản Vẽ Trang Sức  Quà Thiện Cảm  Đá Tăng Bậc  Đá Phỉ Thuý,길드전 예선 및 준결승에서 획득할 수 있으며  오픈 후 길드워 골드 코인  호감도 선물  액세서리 설계도  진급 결정체  에메랄드 성석 등 자원 보상을 획득할 수 있다,,,,,,4,,7,,{level=<<1;150;530>>;fix={coin10=100}},{level=<<1;150;530>>;fix={coin10=100}},{level=<<1;150;530>>;fix={coin10=100}},{level=<<1;150;530>>;fix={coin10=100}},<3>,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,
5502,"Union Battle Honor Chest ",公會戰榮耀寶箱,"Union Battle Honor Chest ",404404,길드전 명예 보물상자,,,config/item/box/box_ghz1.png,"Can be obtained from Guild War Finals. Open to get Guild War Medal Coins, Trinket Blueprint, Friendship Gift, Upgrade Crystal, Emerald Star Stone, and other rewards",公會戰決賽可以獲得，打開後可以獲得公會戰勳金幣，飾品圖紙，好感度禮物，進階晶石，翡翠星石等資源獎勵,"Can be obtained from Guild War Finals. Open to get Guild War Medal Coins, Trinket Blueprint, Friendship Gift, Upgrade Crystal, Emerald Star Stone, and other rewards",Nhận trong Chung Kết Guild Chiến  mở để nhận Gold Chiến Huân Guild  Bản Vẽ Trang Sức  Quà Thiện Cảm  Đá Tăng Bậc  Đá Phỉ Thuý,길드전 예선 및 결승에서 획득할 수 있으며  오픈 후 길드워 골드 코인  호감도 선물  액세서리 설계도  진급 결정체  에메랄드 성석 등 자원 보상을 획득할 수 있다,,,,,,4,,7,,{level=<<1;150;531>>;fix={coin10=200}},{level=<<1;150;531>>;fix={coin10=200}},{level=<<1;150;531>>;fix={coin10=200}},{level=<<1;150;531>>;fix={coin10=200}},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
5503,Guild War Chest,公會戰寶箱,Guild War Chest,Rương Guild Chiến,길드전 보물상자,,,config/item/box/box_ghz.png,"Can be obtained from Guild War Qualifiers and Rematches. Open to get Guild War Medal Coins, Trinket Blueprint, Friendship Gift, Upgrade Crystal, Emerald Star Stone, and other rewards",公會戰預賽和複賽可以獲得，打開後可以獲得公會戰勳金幣，飾品圖紙，好感度禮物，進階晶石，翡翠星石等資源獎勵,"Can be obtained from Guild War Qualifiers and Rematches. Open to get Guild War Medal Coins, Trinket Blueprint, Friendship Gift, Upgrade Crystal, Emerald Star Stone, and other rewards",Nhận trong Vòng Loại và Vòng Tái Đấu Guild Chiến  mở để nhận Gold Chiến Huân Guild  Bản Vẽ Trang Sức  Quà Thiện Cảm  Đá Tăng Bậc  Đá Phỉ Thuý,길드전 예선 및 준결승에서 획득할 수 있으며  오픈 후 길드워 골드 코인  호감도 선물  액세서리 설계도  진급 결정체  에메랄드 성석 등 자원 보상을 획득할 수 있다,,,,,,4,,7,,{level=<<1;150;530>>;fix={coin10=120}},{level=<<1;150;530>>;fix={coin10=120}},{level=<<1;150;530>>;fix={coin10=120}},{level=<<1;150;530>>;fix={coin10=120}},<3>,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,
5504,"Union Battle Honor Chest ",公會戰榮耀寶箱,"Union Battle Honor Chest ",404404,길드전 명예 보물상자,,,config/item/box/box_ghz1.png,"Can be obtained from Guild War Finals. Open to get Guild War Medal Coins, Trinket Blueprint, Friendship Gift, Upgrade Crystal, Emerald Star Stone, and other rewards",公會戰決賽可以獲得，打開後可以獲得公會戰勳金幣，飾品圖紙，好感度禮物，進階晶石，翡翠星石等資源獎勵,"Can be obtained from Guild War Finals. Open to get Guild War Medal Coins, Trinket Blueprint, Friendship Gift, Upgrade Crystal, Emerald Star Stone, and other rewards",Nhận trong Chung Kết Guild Chiến  mở để nhận Gold Chiến Huân Guild  Bản Vẽ Trang Sức  Quà Thiện Cảm  Đá Tăng Bậc  Đá Phỉ Thuý,길드전 예선 및 결승에서 획득할 수 있으며  오픈 후 길드워 골드 코인  호감도 선물  액세서리 설계도  진급 결정체  에메랄드 성석 등 자원 보상을 획득할 수 있다,,,,,,4,,7,,{level=<<1;150;531>>;fix={coin10=240}},{level=<<1;150;531>>;fix={coin10=240}},{level=<<1;150;531>>;fix={coin10=240}},{level=<<1;150;531>>;fix={coin10=240}},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5511,Union Battle Low Stone,公會戰低級進階晶石,Union Battle Low Stone,404404,길드전 하급 진급 결정체,自动打开,,ICON/item/ghbx4.png,Union Battle Low Stone,公會戰低級進階晶石,Union Battle Low Stone,404404,길드전 하급 진급 결정체,,,,,,3,,10,9999,{level=<<1;27;1301>;<28;49;1302>;<50;59;1303>;<60;69;1304>;<70;79;1305>;<80;84;1306>;<85;89;1307>;<90;94;1308>;<95;99;1309>;<100;104;1310>;<105;109;1311>;<110;114;1311>;<115;119;1311>;<120;124;1311>;<125;129;1311>>},{level=<<1;27;1301>;<28;49;1302>;<50;59;1303>;<60;69;1304>;<70;79;1305>;<80;84;1306>;<85;89;1307>;<90;94;1308>;<95;99;1309>;<100;104;1310>;<105;109;1311>;<110;114;1311>;<115;119;1311>;<120;124;1311>;<125;129;1311>>},{level=<<1;27;1301>;<28;49;1302>;<50;59;1303>;<60;69;1304>;<70;79;1305>;<80;84;1306>;<85;89;1307>;<90;94;1308>;<95;99;1309>;<100;104;1310>;<105;109;1311>;<110;114;1311>;<115;119;1311>;<120;124;1311>;<125;129;1311>>},{level=<<1;27;1301>;<28;49;1302>;<50;59;1303>;<60;69;1304>;<70;79;1305>;<80;84;1306>;<85;89;1307>;<90;94;1308>;<95;99;1309>;<100;104;1310>;<105;109;1311>;<110;114;1311>;<115;119;1311>;<120;124;1311>;<125;129;1311>>},,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,
5512,Union Battle Advanced Stone,公會戰同等級級進階晶石,Union Battle Advanced Stone,404404,길드전 동일 레벨 진급 결정체,自动打开,,ICON/item/jshz.png,Union Battle Advanced Stone,公會戰同等級級進階晶石,Union Battle Advanced Stone,404404,길드전 동일 레벨 진급 결정체,,,,,,2,,10,9999,{level=<<1;3;1351>;<4;7;1351>;<8;15;1352>;<16;21;1352>;<22;27;1353>;<28;34;1354>;<35;39;1354>;<40;44;1355>;<45;49;1355>;<50;54;1356>;<55;59;1356>;<60;64;1357>;<65;69;1357>;<70;74;1358>;<75;79;1358>;<80;84;1359>;<85;89;1360>;<90;94;1361>;<95;99;1362>;<100;104;1363>;<105;109;1364>;<110;114;1364>;<115;119;1364>;<120;124;1364>;<125;129;1364>>},{level=<<1;3;1351>;<4;7;1351>;<8;15;1352>;<16;21;1352>;<22;27;1353>;<28;34;1354>;<35;39;1354>;<40;44;1355>;<45;49;1355>;<50;54;1356>;<55;59;1356>;<60;64;1357>;<65;69;1357>;<70;74;1358>;<75;79;1358>;<80;84;1359>;<85;89;1360>;<90;94;1361>;<95;99;1362>;<100;104;1363>;<105;109;1364>;<110;114;1364>;<115;119;1364>;<120;124;1364>;<125;129;1364>>},{level=<<1;3;1351>;<4;7;1351>;<8;15;1352>;<16;21;1352>;<22;27;1353>;<28;34;1354>;<35;39;1354>;<40;44;1355>;<45;49;1355>;<50;54;1356>;<55;59;1356>;<60;64;1357>;<65;69;1357>;<70;74;1358>;<75;79;1358>;<80;84;1359>;<85;89;1360>;<90;94;1361>;<95;99;1362>;<100;104;1363>;<105;109;1364>;<110;114;1364>;<115;119;1364>;<120;124;1364>;<125;129;1364>>},{level=<<1;3;1351>;<4;7;1351>;<8;15;1352>;<16;21;1352>;<22;27;1353>;<28;34;1354>;<35;39;1354>;<40;44;1355>;<45;49;1355>;<50;54;1356>;<55;59;1356>;<60;64;1357>;<65;69;1357>;<70;74;1358>;<75;79;1358>;<80;84;1359>;<85;89;1360>;<90;94;1361>;<95;99;1362>;<100;104;1363>;<105;109;1364>;<110;114;1364>;<115;119;1364>;<120;124;1364>;<125;129;1364>>},,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,
,"System automatically open the scroll chest  with random_to climb the tower ",系統自動打開隨機卷軸盒子_爬塔用,"System automatically open the scroll chest  with random_to climb the tower ",404404,시스템 자동 오픈 랜덤 스크롤 박스_탑 오르기 전용,自动打开,,ICON/item/bx5.png,"Open to randomly obtain Equip. Fortify Scroll*1, the higher level, the higher quality",隨機開出一個裝備強化卷軸，玩家等級越高，卷軸的品質越高,"Open to randomly obtain Equip. Fortify Scroll*1, the higher level, the higher quality",404404,랜덤으로 장비 강화 스크롤 하나가 나오며  플레이어의 레벨이 높을수록  스크롤의 등급이 높아진다,,,,,,4,,10,9999,{level=<<1;150;931>>},{level=<<1;150;931>>},{level=<<1;150;931>>},{level=<<1;150;931>>},,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,
5514,Guild War Epic Gift Box,公會戰紫色禮物盒子,Guild War Epic Gift Box,Hộp Quà Tím Guild Chiến,길드전 보라색 선물상자,自动打开,,ICON/item/lwxz3.png,"Open it to get random purple quality Gift. At Digimon Spirit system, use gifts to increase Intimacy for Digimon and team speed.",打開後隨機獲得一個紫色品質禮物。在數碼精神系統中，禮物可以增加數碼獸的好感度，提升戰隊的速度。,"Open it to get random purple quality Gift. At Digimon Spirit system, use gifts to increase Intimacy for Digimon and team speed.",404404,오픈 후 랜덤으로 보라색 등급 선물을 획득한다. 포켓몬 정신 시스템에서  선물로 디지몬의 호감도를 올릴 수 있으며  파티의 스피드를 올릴 수 있다.,,,,,,4,,10,9999,{level=<<1;150;313>>},{level=<<1;150;313>>},{level=<<1;150;313>>},{level=<<1;150;313>>},,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,
5515,Guild War A Pokémon Shard Chest,公會戰A精靈碎片寶箱,Guild War A Pokémon Shard Chest,Rương Mảnh Pokémon A Guild Chiến,길드전 A포켓몬 조각 보물상자,自动打开,,ICON/item/bx2_3.png,Guild War A Pokémon Shard Chest,公會戰A精靈碎片寶箱,Guild War A Pokémon Shard Chest,Rương Mảnh Pokémon A Guild Chiến,길드전 A포켓몬 조각 보물상자,,,,,,4,,10,9999,{level=<<1;150;333>>},{level=<<1;150;333>>},{level=<<1;150;333>>},{level=<<1;150;333>>},,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,
5516,Guild War S Pokémon Shard Chest,公會戰S精靈碎片寶箱,Guild War S Pokémon Shard Chest,Rương Mảnh Pokémon S Guild Chiến,길드전 S포켓몬 조각 보물상자,自动打开,,ICON/item/bx2_4.png,Guild War S Pokémon Shard Chest,公會戰S精靈碎片寶箱,Guild War S Pokémon Shard Chest,Rương Mảnh Pokémon S Guild Chiến,길드전 S포켓몬 조각 보물상자,,,,,,4,,10,9999,{level=<<1;150;332>>},{level=<<1;150;332>>},{level=<<1;150;332>>},{level=<<1;150;332>>},,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,
5517,Guild War Uncommon Gift Box,公會戰綠色禮物盒子,Guild War Uncommon Gift Box,Hộp Quà Lục Guild Chiến,길드전 초록색 선물상자,自动打开,,ICON/item/lwxz1.png,"Open it to get random green quality Gift. At Digimon Spirit system, use gifts to increase Intimacy for Digimon and team speed.",打開後隨機獲得一個綠色品質禮物。在數碼精神系統中，禮物可以增加數碼獸的好感度，提升戰隊的速度。,"Open it to get random green quality Gift. At Digimon Spirit system, use gifts to increase Intimacy for Digimon and team speed.",404404,오픈 후 랜덤으로 초록색 등급 선물을 획득한다. 포켓몬 정신 시스템에서  선물로 디지몬의 호감도를 올릴 수 있으며  파티의 스피드를 올릴 수 있다.,,,,,,2,,10,9999,{level=<<1;150;311>>},{level=<<1;150;311>>},{level=<<1;150;311>>},{level=<<1;150;311>>},,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,
5518,Guild War Blue Gift Box,公會戰藍色禮物盒子,Guild War Blue Gift Box,Hộp Quà Lam Guild Chiến,길드전 파란색 선물상자,自动打开,,ICON/item/lwxz2.png,"Open it to get random blue quality Gift. At Digimon Spirit system, use gifts to increase Intimacy for Digimon and team speed.",打開後隨機獲得一個藍色品質禮物。在數碼精神系統中，禮物可以增加數碼獸的好感度，提升戰隊的速度。,"Open it to get random blue quality Gift. At Digimon Spirit system, use gifts to increase Intimacy for Digimon and team speed.",404404,오픈 후 랜덤으로 파란색 등급 선물을 획득한다. 포켓몬 정신 시스템에서  선물로 디지몬의 호감도를 올릴 수 있으며  파티의 스피드를 올릴 수 있다.,,,,,,3,,10,9999,{level=<<1;150;312>>},{level=<<1;150;312>>},{level=<<1;150;312>>},{level=<<1;150;312>>},,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6001,Indigo Gold Chest,石英大會黃金寶箱,Indigo Gold Chest,404404,석영 대회 골드 보물상자,,,config/item/icon_box_vs2.png,"""The Winners' Chest in the Indigo Plateau Conference gives a chance to get rewards such as coins, arena coins, friendship level enhancement items, potential training materials, trinket awakening and Star Up items and other items.""",石英大會給予勝者的寶箱，打開可以有幾率獲得金幣，競技場幣，好感度提升道具，潛能培養材料，飾品覺醒和升星道具等資源獎勵,"""The Winners' Chest in the Indigo Plateau Conference gives a chance to get rewards such as coins, arena coins, friendship level enhancement items, potential training materials, trinket awakening and Star Up items and other items.""",404404,석영 대회에서 승자에게 주는 보물상자. 오픈 후 일정 확률로 골드 코인  아레나 코인  호감도 증가 아이템  잠재력 트레이닝 재료  액세서리 각성 및 승급 아이템 등 자원 보상을 획득할 수 있다,,,,,,5,,7,,{level=<<1;150;520>>;fix={coin6=100}},{level=<<1;150;520>>;fix={coin6=100}},{level=<<1;150;520>>;fix={coin6=100}},{level=<<1;150;520>>;fix={coin6=100}},<3>,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,
6002,Indigo Silver Chest,石英大會銀質寶箱,Indigo Silver Chest,404404,석영 대회 실버 보물상자,,,config/item/icon_box_vs1.png,"""Consolation Chest for the defeated in the Indigo Plateau Conference gives a  chance to get rewards such as coins, arena coins, friendship level enhancement items, potential training materials, trinket awakening and Star Up items and other items.""",石英大會安慰敗者的寶箱，打開可以有幾率獲得金幣，競技場幣，好感度提升道具，潛能培養材料，飾品覺醒和升星道具等資源獎勵,"""Consolation Chest for the defeated in the Indigo Plateau Conference gives a  chance to get rewards such as coins, arena coins, friendship level enhancement items, potential training materials, trinket awakening and Star Up items and other items.""",404404,석영 대회에서 위로의 차원으로 탈락자에게 주는 보물상자. 오픈 후 일정 확률로 골드 코인  아레나 코인  호감도 증가 아이템  잠재력 트레이닝 재료  액세서리 각성 및 승급 아이템 등 자원 보상을 획득할 수 있다,,,,,,4,,7,,{level=<<1;150;521>>;fix={coin6=90}},{level=<<1;150;521>>;fix={coin6=90}},{level=<<1;150;521>>;fix={coin6=90}},{level=<<1;150;521>>;fix={coin6=90}},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
6003,Indigo Gold Chest,石英大會黃金寶箱,Indigo Gold Chest,404404,석영 대회 골드 보물상자,,,config/item/icon_box_vs2.png,"""The Winners' Chest in the Indigo Plateau Conference gives a chance to get rewards such as coins, arena coins, friendship level enhancement items, potential training materials, trinket awakening and Star Up items and other items.""",石英大會給予勝者的寶箱，打開可以有幾率獲得金幣，競技場幣，好感度提升道具，潛能培養材料，飾品覺醒和升星道具等資源獎勵,"""The Winners' Chest in the Indigo Plateau Conference gives a chance to get rewards such as coins, arena coins, friendship level enhancement items, potential training materials, trinket awakening and Star Up items and other items.""",404404,석영 대회에서 승자에게 주는 보물상자. 오픈 후 일정 확률로 골드 코인  아레나 코인  호감도 증가 아이템  잠재력 트레이닝 재료  액세서리 각성 및 승급 아이템 등 자원 보상을 획득할 수 있다,,,,,,5,,7,,{level=<<1;150;520>>;fix={coin6=120}},{level=<<1;150;520>>;fix={coin6=120}},{level=<<1;150;520>>;fix={coin6=120}},{level=<<1;150;520>>;fix={coin6=120}},<3>,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,
