变量名,key,text,text_tw,text_en,text_vn,text_kr
6725,heldItemCanotRebirth,Held item cannot be reborn!,該攜帶道具無法重生,Held item cannot be reborn!,,해당 휴대 아이템은 부활할 수 없습니다.
6726,cardRebirthNote,About Pokémon Rebirth,精靈重生說明,About Pokémon Rebirth,Tinh linh trùng sinh nói rõ,포켓몬 부활 설명
6727,cardDecomposeNote,About Pokémon Decomposition,精靈分解說明,About Pokémon Decomposition,Tinh linh phân giải nói rõ,포켓몬 분해 설명
6728,heldItemRebirthNote,About the Rebirth of Held Items,攜帶道具重生說明,About the Rebirth of Held Items,Mang theo đạo cụ trùng sinh nói rõ,휴대 아이템 부활 설명
6729,canNotLock,Unable to lock,當前無法鎖定,Unable to lock,Trước mắt không cách nào khóa chặt,현재 잠글 수 없습니다.
6730,inUnionTrain,In union training,公會訓練中,In union training,Công hội huấn luyện bên trong,길드 훈련 중
6731,decompose,Decompose,分 解,Decompose,Phân Giải,분 해
6732,insufficientGifts,Insufficient gift,禮物不足,Insufficient gift,Lễ vật không đủ,선물 부족
6733,feelReachedFullLevel,Friendship level of the Pokémon at maximum,該精靈的好感度已滿級,Friendship level of the Pokémon at maximum,Nên tinh linh độ thiện cảm đã đủ cấp,해당 포켓몬의 호감도가 이미 최대입니다.
6734,wantUpgradeWithOneClick,Do you want to Fast upgrade?,是否進行一鍵升級,Do you want to Fast upgrade?,Phải chăng tiến hành một khóa thăng cấp,일괄 레벨업을 진행하겠습니까?
6735,feelLevelNote,Friendship level Lv. %d:,好感度 Lv%d：,Friendship level Lv. %d:,Độ thiện cảm Lv%d:,호감도 Lv.%d:
6736,propertyChoiceFirst,Please select one Pokémon first!,請先選擇一隻精靈,Please select one Pokémon first!,,포켓몬을 하나 선택하세요.
6737,gateStory,Story,劇情,Story,Kịch bản,스토리
6738,gateDifficult,Hard,困難,Hard,Khó khăn,어려움
6739,wizardNotActivated,You've not activated the Pokémon,尚未啟動該精靈,You've not activated the Pokémon,Chưa kích hoạt nên tinh linh,해당 포켓몬을 활성화하지 않았습니다.
6740,savorableOpinionStatement,[About Friendship Level],【好感度說明】,[About Friendship Level],[ Độ thiện cảm nói rõ ],[호감도 설명]
6741,explorer,Device,探險器,Device,Thám hiểm khí,탐지기
6742,spaceExplorer,Explore,探 險,Explore,Dò xét Hiểm,탐 험
6743,notActivatedTip,Unactivated,未啟動,Unactivated,Chưa kích hoạt,미활성
6744,canActive,Can be activated,可啟動,Can be activated,Nhưng kích hoạt,활성화 가능
6745,spaceAdvance,Upgrade,進 階,Upgrade,Tiến Giai,진 화
6746,collectAllComponentsCanActive,Activates when all components are collected,收集齊所有組件後可啟動,Activates when all components are collected,Thu thập đủ tất cả bộ phận sau nhưng kích hoạt,모든 부품 수집 시 활성화 가능
6747,allComponentsNeedLevelCondition,All necessary components reaches Lv. %d,所有元件需要達到Lv.%d,All necessary components reaches Lv. %d,Tất cả bộ phận cần đạt tới Lv.%d,모든 부품 Lv.%d 도달 필요
6748,attributeAdd,#C0x5B545B#Stats bonus ( %s#C0x5B545B#):,#C0x5B545B#屬性加成（ %s#C0x5B545B#）:,#C0x5B545B#Stats bonus ( %s#C0x5B545B#):,#C0x5B545B# Thuộc tính tăng thêm ( %s#C0x5B545B#):,#C0x5B545B#속성 보너스(%s#C0x5B545B#):
6749,allTeamActive,#C0xE57422#Effective for whole team,#C0xE57422#全隊生效,#C0xE57422#Effective for whole team,#C0xE57422# Toàn đội có hiệu lực,#C0xE57422#전체 파티 유효
6750,noGet,Not obtained,未獲得,Not obtained,Chưa thu hoạch được,미획득
6751,active,Activate,啟動,Activate,Kích hoạt,활성화
6752,oneOrMoreNotReachCondition,"""Some components have not met the advanced requirement, please upgrade their levels first""",有組件沒有達到進階條件，請提升其等級,"""Some components have not met the advanced requirement, please upgrade their levels first""","Có bộ phận không có đạt tới tiến giai điều kiện, mời tăng lên đẳng cấp",진급 조건을 달성하지 못한 부품이 있습니다. 먼저 레벨을 높이세요.
6753,selectedHighQualityComponent,#C0x5B545B#You have selected#C0xF76B45# components of Epic and above#C0x5B545B#. Do you want to continue decomposing?,#C0x5B545B#已選擇#C0xF76B45#紫色或者紫色以上品質的元件#C0x5B545B#，是否繼續分解？,#C0x5B545B#You have selected#C0xF76B45# components of Epic and above#C0x5B545B#. Do you want to continue decomposing?,,#C0x5B545B##C0xF76B45#보라색 이상 등급의 부품을 선택했습니다. #C0x5B545B#정말 분해하겠습니까?
6754,spaceTips,Tip,提 示,Tip,Xách Bày ra,알 림
6755,explorerDrawItem,Explorer Treasure Hunt,探險尋寶,Explorer Treasure Hunt,Thám hiểm tầm bảo,탐험 보물찾기
6756,todayDrawItemLimit,You've reached the maximum No. of treasure hunt attempts!,今日尋寶次數已達上限,You've reached the maximum No. of treasure hunt attempts!,Hôm nay tầm bảo số lần đã đạt hạn mức cao nhất,오늘의 보물찾기 횟수가 이미 한도에 도달했습니다.
6757,todayDrawItemTimesLessFive,Treasure hunt is less than 5 times today,今日可尋寶次數不足5次,Treasure hunt is less than 5 times today,Hôm nay có thể tìm ra bảo số lần không đủ 5 Lần,오늘 보물찾기 가능 횟수가 5회보다 부족합니다.
6758,drawItemOne,Once more,再尋1次,Once more,Lại tìm 1 Lần,1회 더 뽑기
6759,drawItemFive,5 times more,再尋5次,5 times more,Lại tìm 5 Lần,5회 더 뽑기
6760,extraGetCoin4,#L10#Obtain additional %d Treasure Hunt Coins #I%s-50-50#,#L10#額外獲得%d枚尋寶幣#I%s-50-50#,#L10#Obtain additional %d Treasure Hunt Coins #I%s-50-50#,#L10# Ngoài định mức thu hoạch được %d Mai tầm bảo tệ #I%s-50-50#,#L10#보물찾기 코인 %d개 추가 획득#I%s-50-50#
6761,qualityComponent,%s grade component,%s品質組件,%s grade component,%s Phẩm chất bộ phận,%s 등급 부품
6762,reachLevelCanBuy,Purchasable at level %d,%d級可購買,Purchasable at level %d,%d Cấp có thể mua mua,%d레벨 구매 가능
6763,reachVipLevelCanBuy,Available for VIP %d to purchase,VIP%d 可以購買,Available for VIP %d to purchase,VIP%d Có thể mua,VIP%d 구매 가능
6764,currDayBuyLimit,#C0x5B545B#Daily limited %d/%d,#C0x5B545B#當日限購%d/%d,#C0x5B545B#Daily limited %d/%d,#C0x5B545B# Ngày đó hạn mua %d/%d,#C0x5B545B#당일 한정 구매 %d/%d
6765,currWeekBuyLimit,#C0x5B545B#Weekly limited %d/%d,#C0x5B545B#當周限購%d/%d,#C0x5B545B#Weekly limited %d/%d,#C0x5B545B# Đương tuần hạn mua %d/%d,#C0x5B545B#이번 주 한정 구매 %d/%d
6766,currMonthBuyLimit,#C0x5B545B#Monthly limited %d/%d,#C0x5B545B#當月限購%d/%d,#C0x5B545B#Monthly limited %d/%d,#C0x5B545B# Tháng đó hạn mua %d/%d,#C0x5B545B#이번 달 한정 구매 %d/%d
6767,foreverBuyLimit,#C0x5B545B#Permanent limited %d/%d,#C0x5B545B#永久限購%d/%d,#C0x5B545B#Permanent limited %d/%d,#C0x5B545B# Vĩnh cửu hạn mua %d/%d,#C0x5B545B#영구 한정 구매 %d/%d
6768,activeSuccess,Activated successfully!,啟動成功,Activated successfully!,,활성화 성공
6769,comingSoon,Coming soon!,敬請期待,Coming soon!,Kính thỉnh chờ mong,많은 기대 바랍니다
6770,redPacketSendSuccess,Red Packet sent successfully!,紅包發送成功,Red Packet sent successfully!,,보너스 발송 성공
6771,levelAndVip,Available for level %d and VIP %d to purchase,%d級或VIP%d可以購買,Available for level %d and VIP %d to purchase,%d Cấp hoặc VIP%d Có thể mua,%d레벨 또는 VIP%d 구매 가능
6772,starMaterialsNotEnough,Insufficient Star Up material,升星材料不足,Insufficient Star Up material,Thăng tinh vật liệu không đủ,승급 재료 부족
6773,uniqueForTheSameSeries,%s%s (Unique effects in the same series of Pokémons),%s%s（同一系列精靈效果唯一）,%s%s (Unique effects in the same series of Pokémons),%s%s( Cùng một hệ liệt tinh linh hiệu quả duy nhất ),%s %s(동일 계열 포켓몬은 단일 효과)
6774,wantConsumeFragsCombCard,Do you want to spend %s %s to combine into %s?,是否消耗%s個%s合成%s,Do you want to spend %s %s to combine into %s?,Phải chăng tiêu hao %s Cái %s Hợp thành %s,%s개의 %s 소모를 통해 %s 합성을 진행하겠습니까?
6775,firstChooseNeedAttr,Please select the type,請先勾選需要的屬性,Please select the type,,필요한 속성을 선택해 주세요.
6776,tipsForSelectingMaterials,#C0x5b545b#You've used training materials for the selected Pokémon has training materials. It will #not be returned #C0x5b545b#if you use it to increase the star level. Are you sure you want to use this Pokémon?# C0x60C456#(Training materials can be returned through rebirth),#C0x5b545b#所選精靈有養成材料投入，用作升星#C0xF76B45#消耗後將無返還，#C0x5b545b#是否確認添加材料？#C0x60C456#（可通過重生返還養成消耗）,#C0x5b545b#You've used training materials for the selected Pokémon has training materials. It will #not be returned #C0x5b545b#if you use it to increase the star level. Are you sure you want to use this Pokémon?# C0x60C456#(Training materials can be returned through rebirth),,#C0x5b545b#선택한 포켓몬은 육성 재료가 투입되었습니다. 승급에 사용 시 #C0xF76B45#반환되지 않습니다. #C0x5b545b#정말 재료로 추가하겠습니까?#C0x60C456#(부활을 통해 육성 소모 반환)
6777,refreshTimesNotEnough,"""No. of refreshes has been used up, please try again""",刷新次數已用完，下次再試,"""No. of refreshes has been used up, please try again""","Đổi mới số lần đã sử dụng hết, lần sau thử lại",부활 횟수를 모두 사용했습니다. 다음에 다시 시도하세요.
6778,mysteryShopClose,"""Mystery Shop has closed, may we see it again soon""",神秘商店已關閉，有緣再見,"""Mystery Shop has closed, may we see it again soon""","Thần bí cửa hàng đã đóng, hữu duyên gặp lại",신비한 상점이 닫혔습니다.
6779,noSpriteToDecompose,None of the Pokémons meet the requirements,沒有符合條件的精靈,None of the Pokémons meet the requirements,Không có điều kiện phù hợp tinh linh,조건에 맞는 포켓몬이 없습니다.
6780,selectedMaterialsNotEnough,Insufficient selected material,所選材料不足,Insufficient selected material,Lựa chọn vật liệu không đủ,선택 재료 부족
6781,coinNotEnough,"""Insufficient %s, unable to buy""",%s不足，無法購買,"""Insufficient %s, unable to buy""","%s Không đủ, không cách nào mua","""%s 부족, 구매할 수 없습니다."""
6782,mysteryShop,Mystery Shop,神秘商店,Mystery Shop,Thần bí cửa hàng,신비한 상점
6783,noChooseComponent,None of the components are selected,沒有選中任何組件,None of the components are selected,Không có chọn trúng bất luận cái gì bộ phận,어떤 부품도 선택되지 않았습니다.
6784,deComposeComponent,#C0x5B545B# will be decomposing the selected components to get #I%s#%d. Do you want to continue?,#C0x5B545B#即將分解所選的元件，可獲得#I%s#%d，是否繼續？,#C0x5B545B# will be decomposing the selected components to get #I%s#%d. Do you want to continue?,"#C0x5B545B# Sắp phân giải lựa chọn bộ phận, có thể đạt được #I%s#%d, phải chăng tiếp tục?","""#C0x5B545B#선택한 부품을 분해하며, #I%s#%d 획득이 가능합니다. 계속하겠습니까?"""
6785,todayCharacteristics,#C0x5b545b##L10#Today's potential:,#C0x5b545b##L10#今日潛能：,#C0x5b545b##L10#Today's potential:,#C0x5b545b##L10# Hôm nay tiềm năng:,#C0x5b545b##L10#오늘 잠재력:
6786,immuneInjury,#C0x5b545b#All Pokémons are immune to #C0xF76B45#%s#C0x5b545b#'s damage dealt,#C0x5b545b#所有怪物免疫#C0xF76B45#%s#C0x5b545b#造成的傷害,#C0x5b545b#All Pokémons are immune to #C0xF76B45#%s#C0x5b545b#'s damage dealt,#C0x5b545b# Tất cả quái vật miễn dịch #C0xF76B45#%s#C0x5b545b# Tạo thành tổn thương,#C0x5b545b#모든 몬스터가 #C0xF76B45#%s#C0x5b545b#의 피해에 면역
6787,recommendedToday,#C0x5b545b##L10#Today's recommendation:,#C0x5b545b##L10#今日推薦使用：,#C0x5b545b##L10#Today's recommendation:,#C0x5b545b##L10# Hôm nay đề cử sử dụng:,#C0x5b545b##L10#오늘의 추천 사용
6788,spriteFrags,Pokémon Shard,精靈碎片,Pokémon Shard,Tinh linh mảnh vỡ,포켓몬 조각
6789,favouriteGift,Friendship Gift,好感度禮物,Friendship Gift,Độ thiện cảm lễ vật,호감도 선물
6790,unionCreateLimit,Only VIP %d and above are allowed to create,VIP%d及以上才可以創建,Only VIP %d and above are allowed to create,VIP%d Trở lên mới có thể sáng tạo,VIP%d 이상부터 생성 가능
6791,titleHaveTimeLimitDays,Validity period: %s can be used for %d days,有效期：%s可使用%d天,Validity period: %s can be used for %d days,Thời hạn có hiệu lực: %s Nhưng sử dụng %d Trời,유효기간: %s %d일 사용 가능
6792,lvToUnlock,Lv.%d unlock,達到Lv%s解鎖,Lv.%d unlock,Đạt tới Lv%s Giải tỏa,Lv.%s 도달 시 개방
6793,afterObtaining,Obtained,獲得後,Obtained,Thu hoạch được sau,획득 후
6794,canUsedEnteringGuild,Can be used after joining the union,進入公會後可使用,Can be used after joining the union,Tiến vào công hội sau nhưng sử dụng,길드 진입 후 사용 가능
6795,battleCardCountEnough,Team is full!,隊伍已滿,Team is full!,,팀이 가득 찼습니다.
6796,currDay,Day %d,第 %d 天,Day %d,Thứ %d Trời,%d일
6797,trainerUnlockSkill,Upgrade to %s to unlock the feature,升階至%s解鎖該功能,Upgrade to %s to unlock the feature,Thăng giai đến %s Giải tỏa nên công năng,%s 도달 시 해당 기능 개방
6798,spaceQuality,Grade,品 質,Grade,Phẩm Chất,등 급
6799,serverOpenTime,The server opens at 10:00 on February 28,伺服器將於2月28日10點開放,The server opens at 10:00 on February 28,Server mở vào 10h ngày 28 tháng 2,서버가 12월 26일 11시에 정식 오픈됩니다.
6800,GiftTranscript,Gift Dungeon,禮物副本,Gift Dungeon,Lễ vật phó bản,선물 던전
6801,FragmentTranscript,Shard Dungeon,碎片副本,Shard Dungeon,Mảnh vỡ phó bản,조각 던전
6802,addSuccessRefuseOther,"""Added successfully, requests that exceed the maximum No. of friends are automatically rejected""",添加成功，已自動拒絕達到好友上限的申請,"""Added successfully, requests that exceed the maximum No. of friends are automatically rejected""","Tăng thêm thành công, đã tự động cự tuyệt đạt tới hảo hữu hạn mức cao nhất xin","""추가 성공, 자동으로 친구 한도를 초과한 신청을 거절했습니다."""
6803,rebirthSpace,Revive,重 生,Revive,,부 활
6804,rebirthTip,"""You only have 1 of this Pokémon in your bag, and the bond effect will disappear if you decompose it. Are you sure you want to continue?""",該精靈在背包內只有一個，分解後已啟動的羈絆效果將會消失，是否繼續？,"""You only have 1 of this Pokémon in your bag, and the bond effect will disappear if you decompose it. Are you sure you want to continue?""",,해당 포켓몬은 가방에 하나만 있습니다. 분해 시 활성화된 유대 효과가 사라집니다. 계속하겠습니까?
6805,rebirthTipDouble,"""You only have 1 of this Pokémon in your bag with relatively high rarity, and the bond effect will disappear if you decompose it. Are you sure you want to continue?""",該精靈在背包內只有一個，分解後已啟動的羈絆效果將會消失；且稀有度較高，是否繼續分解？,"""You only have 1 of this Pokémon in your bag with relatively high rarity, and the bond effect will disappear if you decompose it. Are you sure you want to continue?""",,"""해당 포켓몬은 가방에 하나만 있습니다. 분해 시 활성화된 유대 효과가 사라지며, 희귀도가 높습니다. 계속하겠습니까?"""
6806,contribute1,Standard donation,基礎捐獻,Standard donation,Cơ sở hiến cho,기본 기부
6807,contribute2,Grand Donation,豪華捐獻,Grand Donation,Xa hoa hiến cho,호화 기부
6808,contribute3,Supreme Donation,至尊捐獻,Supreme Donation,Chí tôn hiến cho,최고급 기부
6809,materialWizardBeenSelected,You've selected material Pokémon Ditto. Are you sure you want to decompose?,已選擇素材精靈百變怪，是否繼續分解？,You've selected material Pokémon Ditto. Are you sure you want to decompose?,"Đã chọn chọn tài liệu tinh linh bách biến quái, phải chăng tiếp tục phân giải?",재료 포켓몬 메타몽을 선택했습니다. 정말 분해하겠습니까?
6810,ballRefreshShop,#C0x5B545B#Spend one #Iconfig/item/icon_sxq.png# to refresh shop chances,#C0x5B545B#消耗一個#Iconfig/item/icon_sxq.png#刷新商店次數,#C0x5B545B#Spend one #Iconfig/item/icon_sxq.png# to refresh shop chances,#C0x5B545B# Tiêu hao một cái #IConfig/item/icon_sxq.png# Đổi mới cửa hàng số lần,"""#C0x5B545B##Iconfig/item/icon_sxq.png# 1개 소모, 상점 횟수 갱신"""
6811,ballNotCostTime,#C0x5B545B##F40#(Using Refresh Balls do not consume daily No. of refreshes),#C0x5B545B##F40#（使用刷新球不消耗每日刷新次數）,#C0x5B545B##F40#(Using Refresh Balls do not consume daily No. of refreshes),#C0x5B545B##F40#( Sử dụng đổi mới cầu không tiêu hao mỗi ngày đổi mới số lần ),#C0x5B545B##F40#(갱신 볼 사용 시 일일 갱신 횟수를 소모하지 않음)
6812,drawEquip,Trinket Card Draw,飾品抽卡,Trinket Card Draw,Trang sức rút thẻ,액세서리 뽑기
6813,serverOpenDiscount,#C0x5b545b#Are you sure you want to spend %d #Icommon/icon/icon_diamond.png-56-56#\n#C0x5b545b# to purchase the discount pack?,#C0x5b545b#購買折扣禮包需花費 %d #Icommon/icon/icon_diamond.png-56-56#\n#C0x5b545b#確定購買嗎？,#C0x5b545b#Are you sure you want to spend %d #Icommon/icon/icon_diamond.png-56-56#\n#C0x5b545b# to purchase the discount pack?,#C0x5b545b# Mua chiết khấu gói quà cần tốn hao %d#Icommon/icon/icon_diamond.png-56-56#\n#C0x5b545b# Xác định mua sao?,#C0x5b545b#할인 패키지 구매 시 %d #Icommon/icon/icon_diamond.png-56-56#를 소모합니다.\n#C0x5b545b#구매하겠습니까?
6814,directBuyLongTime,Gift Pack timeout! Gift items will be stored in the bag directly after you've confirmed the server!,獲取禮包超時！禮包物品會在伺服器確認後直接放入背包,Gift Pack timeout! Gift items will be stored in the bag directly after you've confirmed the server!,,선물 획득 시간 초과! 선물 아이템은 서버 확인 후 즉시 가방으로 넣어집니다.
6815,hasEnoughItemOrFrag,You've sufficient %s,已獲得足夠的%s,You've sufficient %s,Đã thu hoạch được đầy đủ %s,이미 충분한 %s 획득 완료
6816,decomposeText,Decompose,分解,Decompose,Phân giải,분해
6817,skillBreakAdvanceUnlocked,Unlocks when #C0xF76B45#Pokémon breaks through to %s#C0xF76B45# stage,#C0xF76B45#精靈突破至%s#C0xF76B45#階段後解鎖,Unlocks when #C0xF76B45#Pokémon breaks through to %s#C0xF76B45# stage,#C0xF76B45# Tinh linh đột phá tới %s#C0xF76B45# Giai đoạn sau giải tỏa,#C0xF76B45#포켓몬 %s#C0xF76B45# 단계까지 돌파 시 개방
6818,exploreNoGain,"""Explorer Device unactivated, please upgrade it after activation!""",探險器未啟動，請啟動後再升級！,"""Explorer Device unactivated, please upgrade it after activation!""","Thám hiểm khí chưa kích hoạt, mời kích hoạt sau lại tăng cấp!",탐지기가 활성화되지 않았습니다. 활성화 후 다시 레벨업하세요!
6819,yourHandIsTooFast,"""You're too fast, perhaps leave some Red Packets for the others?""",您手速太快了，留點紅包給別人吧,"""You're too fast, perhaps leave some Red Packets for the others?""","Ngài tốc độ tay quá nhanh, chừa chút hồng bao cho người khác đi",너무 빠르시군요. 다른 사람들에게도 좀 남겨 주세요.
6820,newWithdrawalFromTheGuild,Are you sure you want to leave this union? New trainers can change their union at  will within %d hours and use the union buildings normally.,確定退出公會？新晉訓練家%d小時內可以任意更換公會並正常使用公會建築。,Are you sure you want to leave this union? New trainers can change their union at  will within %d hours and use the union buildings normally.,Xác định rời khỏi công hội? Tân tấn huấn luyện nhà %d Giờ bên trong có thể tùy ý thay đổi công hội cũng bình thường sử dụng công hội kiến trúc.,"""정말 길드에서 탈퇴하겠습니까? 신규 트레이너는 %d시간 동안 임의로 길드를 변경할 수 있고, 정상적으로 길드 건물을 사용할 수 있습니다."""
6821,friendCannotFight,Trainer has not opened the arena feature and request to challenge,該好友尚未開啟競技場，無法挑戰,Trainer has not opened the arena feature and request to challenge,"Nên hảo hữu chưa mở ra sân thi đấu, không cách nào khiêu chiến",해당 친구는 아직 아레나가 개방되지 않아 도전할 수 없습니다.
6822,recordShareSuccess,Shared successfully,分享成功,Shared successfully,Chia sẻ thành công,공유 성공
6823,randomTowerFloor,Currently: Floor %d,當前：第%d層,Currently: Floor %d,,현재: %d층
6824,randomTowerRoom,Room:  %s,房間: %s,Room:  %s,Gian phòng: %s,방: %s
6825,randomTowerNextDay,"""Yesterday's Aether Paradise has been closed, a new round of challenge will begin""",昨日的以太樂園已關閉，當前開啟新一輪挑戰,"""Yesterday's Aether Paradise has been closed, a new round of challenge will begin""","Hôm qua aether nhạc viên đã đóng, trước mắt mở ra một vòng mới khiêu chiến",어제의 에테르파라다이스가 이미 닫혔습니다. 현재 새 라운드의 도전이 개방되었습니다.
6826,signup,Register,報 名,Register,Báo Tên,신 청
6827,craftNotOpen,Not started yet,未開始,Not started yet,Chưa bắt đầu,시작 전
6828,craftRankReward,Rewards,排行榜獎勵,Rewards,Bảng xếp hạng ban thưởng,순위 보상
6829,craftNoRank,Unranked,暫未上榜,Unranked,Tạm không lên bảng,순위 없음
6830,numNotEnough,"""You still have Pokémons that are not in the line-up, unable to register""",還有未上陣的精靈，無法報名,"""You still have Pokémons that are not in the line-up, unable to register""","Còn có không lên trận tinh linh, không cách nào báo danh",출전하지 않은 포켓몬이 있어 신청할 수 없습니다.
6831,signUpSuccess,Registered successfully,報名成功,Registered successfully,Báo danh thành công,신청 성공
6832,cardNotEnough,You own less than 10 Pokémons and cannot register successfully,精靈數量不足10只，無法報名,You own less than 10 Pokémons and cannot register successfully,,포켓몬 수량이 10마리 미만이므로 신청할 수 없습니다.
6833,isSaveCurBattle,Do you want to save the current line-up?,是否保存當前陣容？,Do you want to save the current line-up?,Phải chăng bảo tồn trước mắt đội hình?,현재 라인업을 저장하겠습니까?
6834,craftRankGaming,"""Match in progress, please again check later""",比賽進行中，請稍後檢視,"""Match in progress, please again check later""","Tranh tài đang tiến hành, xin sau xem xét","""경기 진행 중, 잠시 후 다시 시도하세요."""
6835,craftBetAlready,Bet has been placed today,今日已下註,Bet has been placed today,Hôm nay đã đặt cược,오늘은 이미 베팅했습니다.
6836,craftBetCanNot,You can't place a bet at this stage,當前階段無法進行下註,You can't place a bet at this stage,Trước mắt giai đoạn không cách nào tiến hành xuống chú,현재 단계에는 베팅할 수 없습니다.
6837,craftBetGoldNone,"""Insufficient coins, unable to place bets""",金幣不足，無法進行下註,"""Insufficient coins, unable to place bets""","Kim tệ không đủ, không cách nào tiến hành xuống chú",코인이 부족해 베팅할 수 없습니다.
6838,normalSkill,Basic attack,普通攻擊,Basic attack,Đòn công kích bình thường,일반공격
6839,craftIsOver,"""Indigo Plateau Conference has come to an end. As you have a total of %d victories and %d losses, you fail to advance to the next round.""",石英大會已結束，您獲得了%d勝%d負，未能晉級下一輪,"""Indigo Plateau Conference has come to an end. As you have a total of %d victories and %d losses, you fail to advance to the next round.""",,석영 대회가 이미 종료되었습니다. %d승 %d패를 거두어 다음 라운드 진출에 실패했습니다.
6840,whoIsMe,Who am I,我是誰,Who am I,Ta là ai,난 누구
6841,winAndLoseNum,%d victories %d defeats,%d勝%d負,%d victories %d defeats,%d Thắng %d Phụ,%d승 %d패
6842,battleResetSuccess,Line-up adjusted successfully,陣容調整成功,Line-up adjusted successfully,Đội hình điều chỉnh thành công,라인업 조정 성공
6843,budi,Loses to,不敵,Loses to,Không địch lại,패배 상대:
6844,wansheng,"""Brave and victorious, a complete victory""",驍勇善戰，完勝,"""Brave and victorious, a complete victory""","Dũng mãnh thiện chiến, toàn thắng",거뜬하게 완승
6845,zhansheng,Dominating victory,英勇無敵，戰勝,Dominating victory,"Anh dũng vô địch, chiến thắng",용감하게 승리
6846,xiansheng,"""What a close shave, a narrow victory!""",千鈞一髮，險勝,"""What a close shave, a narrow victory!""","Nghìn cân treo sợi tóc, thắng hiểm",아슬아슬하게 승리
6847,yihanluobai,Unfortunate defeat.,遺憾落敗。,Unfortunate defeat.,Tiếc nuối lạc bại.,석패
6848,chenggongjinji,Level up successfully.,成功晉級。,Level up successfully.,Thành công tấn cấp.,진출 성공.
6849,perNum,Round %d,第%d場,Round %d,Thứ %d Trận,%d라운드
6850,perNumTitle,Round %s of Qualifiers,預選賽第%d場,Round %s of Qualifiers,Vòng Loại trận %d,예선전 %d차전
6851,spaceTrial,Trial,試 煉,Trial,Thử Luyện,시 련
6852,notStartFighting,"""Tournament has not started yet, stay tuned""",尚未開賽，敬請期待,"""Tournament has not started yet, stay tuned""","Chưa bắt đầu thi đấu, kính thỉnh chờ mong",준비 중입니다.
6853,stateFighting,In progress,進行中,In progress,Đang tiến hành,진행 중
6854,stateReady,Preparing for battle,備戰中,Preparing for battle,Chuẩn bị chiến đấu bên trong,준비 중
6855,jinji,Promotion,晉 級,Promotion,,진 급
6856,beisai,Preparation,備 賽,Preparation,,준 비
6857,zhandou,Battle,戰 鬥,Battle,,전 투
6858,notjinji,Not advanced yet,未晉級,Not advanced yet,Chưa tấn cấp,미진급
6859,luobai,Defeat,落 敗,Defeat,,패 배
6860,huosheng,Win,獲 勝,Win,,승 리
6861,randomTowerGateDetailPoint,"#L10##C0x5b545b#Challenge points:   %d  ",#L10##C0x5b545b#挑戰積分:  %d,"#L10##C0x5b545b#Challenge points:   %d  ",,"#L10##C0x5b545b#도전 포인트:  %d  "
6862,notSignUp,Unregistered,尚未報名,Unregistered,Chưa báo danh,미신청
6863,isSIgnUping,Registering,報名中,Registering,Báo danh bên trong,신청 중
6864,isReading,Getting ready,準備中,Getting ready,Chuẩn bị bên trong,준비 중
6865,noSignupCantBattle,You can't enter the tournament as you've not registered yet,"尚未報名,無法參賽",You can't enter the tournament as you've not registered yet,"Chưa báo danh, không cách nào dự thi",참가 신청을 하지 않아 참가할 수 없습니다.
6866,isOutCantEnterEmbattle,You've been eliminated and unable to join my line-up,您已淘汰，無法進入我的陣容,You've been eliminated and unable to join my line-up,"Ngài đã đào thải, không cách nào tiến vào ta đội hình",이미 탈락해 라인업에 입장할 수 없습니다.
6867,isStreakWin,Achieved %s%s winning streak,已獲%s%s連勝,Achieved %s%s winning streak,Đã lấy được %s%s Thắng liên tiếp,%s%s연승 달성
6868,streakwin3,On a rampage,正大殺四方,On a rampage,Chính đại giết tứ phương,대살육 중입니다
6869,streakwin4,In a rampage,正在暴走,In a rampage,Ngay tại bạo tẩu,폭주 중입니다
6870,streakwin5,Unstoppable,已無人可擋,Unstoppable,Đã mất người có thể ngăn cản,아무도 막을 수 없습니다
6871,streakwin6,Dominating,正主宰比賽,Dominating,Chính chúa tể tranh tài,경기의 지배자입니다
6872,streakwin7,God-like,已接近神,God-like,Đã tiếp cận thần,신에 가까운 실력입니다
6873,streakwin8,The legendary exists!!!,超神存在！！！,The legendary exists!!!,Siêu thần tồn tại!!!,신의 재림입니다
6880,startChallenge,Challenge,開始挑戰,Challenge,Bắt đầu khiêu chiến,도전 시작
6881,complete,Completed,已完成,Completed,Đã hoàn thành,완료
6882,natureRoom,Room,元素房間,Room,Nguyên tố gian phòng,엘리먼트 방
6883,isOutCantResetBattle,You've been eliminated and unable to adjust your line-up,您已被淘汰，無法調整整容,You've been eliminated and unable to adjust your line-up,"Ngài đã bị đào thải, không cách nào điều chỉnh chỉnh dung",이미 탈락해 라인업을 조정할 수 없습니다.
6884,challengeTime,Challenge progress (%s/%s),挑戰進度(%s/%s),Challenge progress (%s/%s),Khiêu chiến tiến độ (%s/%s),도전 진행도(%s/%s)
6885,passport,Pass,通行證,Pass,Giấy thông hành,패스
6888,shareTimesNotEnough,"""You've used up your chances, please try again tomorrow""",次數已用完，請明天再試,"""You've used up your chances, please try again tomorrow""","Số lần đã sử dụng hết, xin ngày mai thử lại",남은 횟수가 없습니다. 내일 다시 시도하세요.
