"﻿变量名",name,name_tw,name_en,name_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,targetType,targetArg,targetArg2,attrNatureType,attrType,attrValue,languages
120,Collect 60 of all Pokémons,收集60全體精靈,Collect 60 of all Pokémons,전체 포켓몬 60마리 수집,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈水系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Nước tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 물 타입 피해 보너스 증가: #C0xFF60C456#1%,2,60,3,0,38,100,
121,Collect 30 of all Pokémons,收集30全體精靈,Collect 30 of all Pokémons,전체 포켓몬 30마리 수집,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈草系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Cỏ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 풀 타입 피해 보너스 증가: #C0xFF60C456#1%,2,30,4,0,39,100,
122,Collect 40 of all Pokémons,收集40全體精靈,Collect 40 of all Pokémons,전체 포켓몬 40마리 수집,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈草系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Cỏ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 풀 타입 피해 보너스 증가: #C0xFF60C456#1%,2,40,4,0,39,100,
,Collect 50 of all Pokémons,收集50全體精靈,Collect 50 of all Pokémons,전체 포켓몬 50마리 수집,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈草系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Cỏ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 풀 타입 피해 보너스 증가: #C0xFF60C456#1%,2,50,4,0,39,100,
,Collect 60 of all Pokémons,收集60全體精靈,Collect 60 of all Pokémons,전체 포켓몬 60마리 수집,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈草系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Cỏ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 풀 타입 피해 보너스 증가: #C0xFF60C456#1%,2,60,4,0,39,100,
,Collect 70 of all Pokémons,收集70全體精靈,Collect 70 of all Pokémons,전체 포켓몬 70마리 수집,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈草系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Cỏ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 풀 타입 피해 보너스 증가: #C0xFF60C456#1%,2,70,4,0,39,100,
126,Collect 20 of all Pokémons,收集20全體精靈,Collect 20 of all Pokémons,전체 포켓몬 20마리 수집,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈電系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Điện tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 전기 타입 피해 보너스 증가: #C0xFF60C456#1%,2,20,5,0,40,100,
127,Collect 25 of all Pokémons,收集25全體精靈,Collect 25 of all Pokémons,전체 포켓몬 25마리 수집,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈電系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Điện tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 전기 타입 피해 보너스 증가: #C0xFF60C456#1%,2,25,5,0,40,100,
128,Collect 35 of all Pokémons,收集35全體精靈,Collect 35 of all Pokémons,전체 포켓몬 35마리 수집,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈電系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Điện tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 전기 타입 피해 보너스 증가: #C0xFF60C456#1%,2,35,5,0,40,100,
,Collect 45 of all Pokémons,收集45全體精靈,Collect 45 of all Pokémons,전체 포켓몬 45마리 수집,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈電系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Điện tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 전기 타입 피해 보너스 증가: #C0xFF60C456#1%,2,45,5,0,40,100,
,Collect 50 of all Pokémons,收集50全體精靈,Collect 50 of all Pokémons,전체 포켓몬 50마리 수집,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈電系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Điện tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 전기 타입 피해 보너스 증가: #C0xFF60C456#1%,2,50,5,0,40,100,
131,Collect 18 of all Pokémons,收集18全體精靈,Collect 18 of all Pokémons,전체 포켓몬 18마리 수집,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈冰系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Băng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 얼음 타입 피해 보너스 증가: #C0xFF60C456#1%,2,18,6,0,41,100,
132,Collect 24 of all Pokémons,收集24全體精靈,Collect 24 of all Pokémons,전체 포켓몬 24마리 수집,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈冰系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Băng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 얼음 타입 피해 보너스 증가: #C0xFF60C456#1%,2,24,6,0,41,100,
133,Collect 30 of all Pokémons,收集30全體精靈,Collect 30 of all Pokémons,전체 포켓몬 30마리 수집,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈冰系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Băng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 얼음 타입 피해 보너스 증가: #C0xFF60C456#1%,2,30,6,0,41,100,
134,Collect 35 of all Pokémons,收集35全體精靈,Collect 35 of all Pokémons,전체 포켓몬 35마리 수집,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈冰系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Băng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 얼음 타입 피해 보너스 증가: #C0xFF60C456#1%,2,35,6,0,41,100,
,Collect 40 of all Pokémons,收集40全體精靈,Collect 40 of all Pokémons,전체 포켓몬 40마리 수집,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈冰系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Băng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 얼음 타입 피해 보너스 증가: #C0xFF60C456#1%,2,40,6,0,41,100,
136,Collect 24 of all Pokémons,收集24全體精靈,Collect 24 of all Pokémons,전체 포켓몬 24마리 수집,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈格鬥系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đấu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 격투 타입 피해 보너스 증가: #C0xFF60C456#1%,2,24,7,0,42,100,
137,Collect 30 of all Pokémons,收集30全體精靈,Collect 30 of all Pokémons,전체 포켓몬 30마리 수집,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈格鬥系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đấu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 격투 타입 피해 보너스 증가: #C0xFF60C456#1%,2,30,7,0,42,100,
138,Collect 35 of all Pokémons,收集35全體精靈,Collect 35 of all Pokémons,전체 포켓몬 35마리 수집,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈格鬥系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đấu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 격투 타입 피해 보너스 증가: #C0xFF60C456#1%,2,35,7,0,42,100,
,Collect 40 of all Pokémons,收集40全體精靈,Collect 40 of all Pokémons,전체 포켓몬 40마리 수집,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈格鬥系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đấu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 격투 타입 피해 보너스 증가: #C0xFF60C456#1%,2,40,7,0,42,100,
140,Collect 30 of all Pokémons,收集30全體精靈,Collect 30 of all Pokémons,전체 포켓몬 30마리 수집,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈毒系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Độc tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 독 타입 피해 보너스 증가: #C0xFF60C456#1%,2,30,8,0,43,100,
141,Collect 40 of all Pokémons,收集40全體精靈,Collect 40 of all Pokémons,전체 포켓몬 40마리 수집,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈毒系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Độc tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 독 타입 피해 보너스 증가: #C0xFF60C456#1%,2,40,8,0,43,100,
142,Collect 50 of all Pokémons,收集50全體精靈,Collect 50 of all Pokémons,전체 포켓몬 50마리 수집,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈毒系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Độc tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 독 타입 피해 보너스 증가: #C0xFF60C456#1%,2,50,8,0,43,100,
,Collect 60 of all Pokémons,收集60全體精靈,Collect 60 of all Pokémons,전체 포켓몬 60마리 수집,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈毒系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Độc tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 독 타입 피해 보너스 증가: #C0xFF60C456#1%,2,60,8,0,43,100,
144,Collect 30 of all Pokémons,收集30全體精靈,Collect 30 of all Pokémons,전체 포켓몬 30마리 수집,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈地面系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đất tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 땅 타입 피해 보너스 증가: #C0xFF60C456#1%,2,30,9,0,44,100,
145,Collect 40 of all Pokémons,收集40全體精靈,Collect 40 of all Pokémons,전체 포켓몬 40마리 수집,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈地面系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đất tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 땅 타입 피해 보너스 증가: #C0xFF60C456#1%,2,40,9,0,44,100,
,Collect 50 of all Pokémons,收集50全體精靈,Collect 50 of all Pokémons,전체 포켓몬 50마리 수집,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈地面系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đất tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 땅 타입 피해 보너스 증가: #C0xFF60C456#1%,2,50,9,0,44,100,
,Collect 60 of all Pokémons,收集60全體精靈,Collect 60 of all Pokémons,전체 포켓몬 60마리 수집,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈地面系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đất tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 땅 타입 피해 보너스 증가: #C0xFF60C456#1%,2,60,9,0,44,100,
148,Collect 30 of all Pokémons,收集30全體精靈,Collect 30 of all Pokémons,전체 포켓몬 30마리 수집,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈飛行系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bay tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 비행 타입 피해 보너스 증가: #C0xFF60C456#1%,2,30,10,0,45,100,
149,Collect 40 of all Pokémons,收集40全體精靈,Collect 40 of all Pokémons,전체 포켓몬 40마리 수집,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈飛行系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bay tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 비행 타입 피해 보너스 증가: #C0xFF60C456#1%,2,40,10,0,45,100,
,Collect 55 of all Pokémons,收集55全體精靈,Collect 55 of all Pokémons,전체 포켓몬 55마리 수집,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈飛行系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bay tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 비행 타입 피해 보너스 증가: #C0xFF60C456#1%,2,55,10,0,45,100,
,Collect 65 of all Pokémons,收集65全體精靈,Collect 65 of all Pokémons,전체 포켓몬 65마리 수집,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈飛行系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bay tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 비행 타입 피해 보너스 증가: #C0xFF60C456#1%,2,65,10,0,45,100,
152,Collect 27 of all Pokémons,收集27全體精靈,Collect 27 of all Pokémons,전체 포켓몬 27마리 수집,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈超能系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Siêu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 에스퍼 타입 피해 보너스 증가: #C0xFF60C456#1%,2,27,11,0,46,100,
153,Collect 40 of all Pokémons,收集40全體精靈,Collect 40 of all Pokémons,전체 포켓몬 40마리 수집,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈超能系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Siêu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 에스퍼 타입 피해 보너스 증가: #C0xFF60C456#1%,2,40,11,0,46,100,
,Collect 50 of all Pokémons,收集50全體精靈,Collect 50 of all Pokémons,전체 포켓몬 50마리 수집,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈超能系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Siêu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 에스퍼 타입 피해 보너스 증가: #C0xFF60C456#1%,2,50,11,0,46,100,
,Collect 60 of all Pokémons,收集60全體精靈,Collect 60 of all Pokémons,전체 포켓몬 60마리 수집,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈超能系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Siêu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 에스퍼 타입 피해 보너스 증가: #C0xFF60C456#1%,2,60,11,0,46,100,
,Collect 70 of all Pokémons,收集70全體精靈,Collect 70 of all Pokémons,전체 포켓몬 70마리 수집,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈超能系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Siêu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 에스퍼 타입 피해 보너스 증가: #C0xFF60C456#1%,2,70,11,0,46,100,
157,Collect 16 of all Pokémons,收集16全體精靈,Collect 16 of all Pokémons,전체 포켓몬 16마리 수집,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈蟲系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bọ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 벌레 타입 피해 보너스 증가: #C0xFF60C456#1%,2,16,12,0,47,100,
158,Collect 20 of all Pokémons,收集20全體精靈,Collect 20 of all Pokémons,전체 포켓몬 20마리 수집,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈蟲系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bọ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 벌레 타입 피해 보너스 증가: #C0xFF60C456#1%,2,20,12,0,47,100,
159,Collect 24 of all Pokémons,收集24全體精靈,Collect 24 of all Pokémons,전체 포켓몬 24마리 수집,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈蟲系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bọ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 벌레 타입 피해 보너스 증가: #C0xFF60C456#1%,2,24,12,0,47,100,
,Collect 28 of all Pokémons,收集28全體精靈,Collect 28 of all Pokémons,전체 포켓몬 28마리 수집,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈蟲系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bọ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 벌레 타입 피해 보너스 증가: #C0xFF60C456#1%,2,28,12,0,47,100,
,Collect 32 of all Pokémons,收集32全體精靈,Collect 32 of all Pokémons,전체 포켓몬 32마리 수집,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈蟲系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bọ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 벌레 타입 피해 보너스 증가: #C0xFF60C456#1%,2,32,12,0,47,100,
162,Collect 25 of all Pokémons,收集25全體精靈,Collect 25 of all Pokémons,전체 포켓몬 25마리 수집,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈岩石系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đá tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 바위 타입 피해 보너스 증가: #C0xFF60C456#1%,2,25,13,0,48,100,
163,Collect 35 of all Pokémons,收集35全體精靈,Collect 35 of all Pokémons,전체 포켓몬 35마리 수집,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈岩石系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đá tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 바위 타입 피해 보너스 증가: #C0xFF60C456#1%,2,35,13,0,48,100,
,Collect 45 of all Pokémons,收集45全體精靈,Collect 45 of all Pokémons,전체 포켓몬 45마리 수집,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈岩石系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đá tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 바위 타입 피해 보너스 증가: #C0xFF60C456#1%,2,45,13,0,48,100,
,Collect 55 of all Pokémons,收集55全體精靈,Collect 55 of all Pokémons,전체 포켓몬 55마리 수집,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈岩石系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đá tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 바위 타입 피해 보너스 증가: #C0xFF60C456#1%,2,55,13,0,48,100,
166,Collect 25 of all Pokémons,收集25全體精靈,Collect 25 of all Pokémons,전체 포켓몬 25마리 수집,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈幽靈系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Ma tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 고스트 타입 피해 보너스 증가: #C0xFF60C456#1%,2,25,14,0,49,100,
