变量名,name,_desc,_mark1,_mark2,easyEffectFunc,_effect,_easy,skillTimePos,group,groupPower,ignoreControlVal,immuneBuff,dispelBuff,dispelType,overlayType,overlayLimit,skin,isShow,iconResPath,isIconFrame,effectResPath,effectAniName,effectAniChoose,effectResDelay,effectPos,effectAssignLayer,effectOffsetPos,effectShowOnAttack,onceEffectResPath,onceEffectAniName,onceEffectDelay,onceEffectPos,onceEffectAssignLayer,onceEffectOffsetPos,onceEffectWait,linkEffect,effectOnEnd,holderActionType,textResPath,deepCorrect,triggerPriority,specialVal,specialTarget,ignoreHolder,ignoreCaster,triggerBehaviors,limitTimes,lifeRoundType,lifeTimeEnd,buffshader,waveInherit,craftTriggerLimit,gateLimit,noDelWhenFakeDeath,showExplorer,explorerID,showHeldItem,heldItemID,buffActionEffect,stageArgs
3271641,Explosion damage,Fry all,,被动-自毁,buffDamage,,未分组,1,3274612,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,<{processId=32713;damageType=1}>,"<{input=enemyForce|nodead;process=buffDifferExclude('group',{c.egg_fly_oc()})|random(6)}>",,,,,,,,,,,,,,,,,
3271642,Interrupt charge,,,被动-自毁,breakCharging,,,1,3274611,,,,<3274311>,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,<{nodeId=0;triggerPoint=1};{nodeId=1;triggerPoint=42;effectFuncs=<castBuff>;funcArgs=<<{cfgId=3271643;caster=2;holder=2;lifeRound=1;value=0}>>}>,,,,,TRUE,,,1,,,,,,
3271643,Dispersion Control,,,被动-自毁,,,,2,10029,,,,,<1;10>,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3271644,,Hits mark,,,,,,1,3274611,,,,,,2,99,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,TRUE,,,1,,,,,,
3271645,,Immune to damage,,,immuneDamage,,未分组,1,80015,,,,<1982124;1981110;641311;3271631>,,1,1,,,battle/buff_icon/logo_mysh.png,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,TRUE,,,1,,,,,,
3271646,,Self-destruct special effects,,,,,,1,3274611,,,,,,0,1,,,,,,,,,,,,,koudai_gainuosaikete2/hero_gainuosaikete.skel,zibao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3271647,Automatic charging,Silent basic attack and small skills,,,silence,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,<2>,,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3281221,Harley Chestnut,treat,A,A,addHP,,未分组,2,,,,,,,1,1,,,,1,,,,,0,,,,buff/zhiliao/zhiliao.skel,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,
3281222,Harley Chestnut,Immune to damage over time,A,A,,,未分组,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3281223,Harley Chestnut,Physical Defense Improvement,A,A,defence,,,2,1203,,,,,,1,1,,,battle/buff_icon/logo_wf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wftg.png,,,,,,,,,,,,,,,,,,,,,
3281224,Harley Chestnut,Special Defense Improvement,A,A,specialDefence,,,2,1203,,,,,,1,1,,,battle/buff_icon/logo_tf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tftg.png,,,,,,,,,,,,,,,,,,,,,
3281225,Harley Chestnut,Increased resilience,A,A,block,,,1,1203,,,,,,1,1,,,battle/buff_icon/logo_dyl_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_dyltg.png,,,,,,,,,,,,,,,,,,,,,
3281226,Harley Chestnut,continuous treatment,A,A,addHP,,未分组,2,,,,,,,1,1,,,battle/buff_icon/logo_cxzl.png,1,buff/zhiliao/zhiliao.skel,<chixuzhiliao_loop>,,,2,,,,,zhiliao_lv,,,,,,,,,,,,,,,,<{nodeId=0;triggerPoint=5}>,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3281311,Harley Chestnut,Increased resilience,A,A,block,,,1,1203,,,,,,1,1,,,battle/buff_icon/logo_dyl_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_dyltg.png,,,,,,,,,,,,,,,,,,,,,
3281312,Harley Chestnut,Increased resilience,A,A,block,,,1,1203,,,,,,1,1,,,battle/buff_icon/logo_dyl_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_dyltg.png,,,,,,,,,,,,,,,,,,,,,
3281313,Harley Chestnut,Increased resistance,A,A,blockPower,,,1,1203,,,,,,1,1,,,battle/buff_icon/logo_dyqd_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_dyqdtg.png,,,,,,,,,,,,,,,,,,,,,
3281314,Harley Chestnut,increase rebound,,,rebound,,未分组,1,,,,,,,1,1,,,battle/buff_icon/logo_fs.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3281315,Harley Chestnut,Hit trigger,S,S,,,未分组,2,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=10;effectFuncs=<castBuff;>;funcArgs=<<{cfgId=3281316;caster=2;holder=1;lifeRound=1;value=target:defence()*1.5}>>;onSomeFlag=<target:getDamageStateToMe('block')> }>,,,,,,,,,,,,,,
3281316,Harley Chestnut,treat,S,S,addHP,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,buff/zhiliao/zhiliao.skel,,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,
3281317,Harley Chestnut,physical attack increased,Z,被动,damage,,特殊,1,1222,102,,,,,1,1,,,battle/buff_icon/logo_wg_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_wgtg.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3291221,Firefox,ignore special defense,A,A,specialDefenceIgnore,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3291222,Firefox,Double the damage,A,A,,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3291223,Firefox,half damage,A,A,,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3291224,Firefox,transfer,S,S,transferBuffToOther,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,<2>,,,,<{nodeId=0;triggerPoint=1};{nodeId=1;triggerPoint=28;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1050012;caster=2;holder=1;lifeRound=1;value=0}>>}>,,,,,,,,,,,,,,
3291225,Firefox,Steal directly,S,S,,,未分组,2,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=1;triggerPoint=1;effectFuncs=<castBuff;castBuff>;funcArgs=<<{cfgId=3291226;caster=2;holder=6;lifeRound=self:flagZ3() and 3 or 2;value=moreEqualThan(self:star(),11) and target:specialDamage()*0.35 or target:specialDamage()*0.2}>;<{cfgId=3291227;caster=2;holder=1;lifeRound=self:flagZ3() and 3 or 2;value=moreEqualThan(self:star(),11) and -target:specialDamage()*0.35 or -target:specialDamage()*0.2}>>}>",,,,,,,,,,,,,,
3291226,Firefox,Special attack increased,S,S,specialDamage,,,1,1212,,,,,,2,3,,,battle/buff_icon/logo_tg_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tgtg.png,,,,,,,,,,,,,,,,,,,,,
3291227,Firefox,special attack reduction,S,S,specialDamage,,,1,1312,,,,,,2,3,,,battle/buff_icon/logo_tg_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tgjd.png,,,,,,,,,,,,,,,,,,,,,
3291228,Firefox,incidental reduction,S,S,,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=8;effectFuncs=<castBuff>;funcArgs=<<{cfgId=3291229;caster=2;holder=8;lifeRound=2;value=-target:specialDamage()*(0.05+fromSkillLevel*0.0005-0.0005) }>>}>,,,,,,,,,,,,,,
3291229,Firefox,special attack reduction,S,S,specialDamage,,,1,1312,,,,,,2,3,,,battle/buff_icon/logo_tg_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tgjd.png,,,,,,,,,,,,,,,,,,,,,
3291230,Firefox,Special attack increased,Z,S,specialDamage,,,1,1212,,,,,,1,1,,,battle/buff_icon/logo_tg_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tgtg.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,croaking frog,ignore special defense,S,S,specialDefenceIgnore,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,croaking frog,dizziness,S,S,stun,,,2,21,,,,,,1,1,,,battle/buff_icon/logo_xy.png,,buff/xuanyun/xuanyun.skel,<xuanyun_loop>,,,1,,{'x'=0;'y'=-320},,,,,,,,,,,,battle/txt/txt_xy.png,,,,,,,,,,,,,,,,,,,,,
,croaking frog,kill,S,S,behead,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,croaking frog,Increased crit rate,S,S,strike,,,1,1212,,,,,,1,1,,,battle/buff_icon/logo_bjl_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjltg.png,,,,,,,,,,,,,,,,,,,,,
,croaking frog,Increased critical damage,S,S,strikeDamage,,,1,1212,,,,,,1,1,,,battle/buff_icon/logo_bjsh_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjshtg.png,,,,,,,,,,,,,,,,,,,,,
,croaking frog,suck blood,S,S,suckBlood,,,1,,,,,,,1,1,,,battle/buff_icon/logo_xx.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,croaking frog,Ignoring physical defense,S,S,defenceIgnore,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,croaking frog,ignore special defense,S,S,specialDefenceIgnore,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,croaking frog,Hit Triggers Damage Reduction,S,S,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=10;triggerTimes=<2;2>;delSelfWhenTriggered=1;effectFuncs=<castBuff>;funcArgs=<<{cfgId=3301130;caster=2;holder=1;lifeRound=1;value=1500;prob=0.3}>>}>,,,,,,,,,,,,,,
,croaking frog,damage reduction,S,S,damageSub,,,1,,,,,,,1,1,,,battle/buff_icon/logo_shjm_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_shjmtg.png,,,,,,,,,,,,,,,,,,,,,
,croaking frog,damage increase,S,S,damageRateAdd,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_shtg.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3301121,Koga Ninja Frog,slow down,S,S,speed,,,1,1311,,,,,,1,1,,,battle/buff_icon/logo_sd_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_sdjd.png,,,,,,,,,,,,,,,,,,,,,
3301122,Koga Ninja Frog,slow down,S,S,speed,,,1,1311,,,,,,8,1,,,battle/buff_icon/logo_sd_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_sdjd.png,,,,,,,,,,,,,,,,,,,,,
3301123,Koga Ninja Frog,speed boost,S,S,speed,,,1,1211,,,,,,8,1,,,battle/buff_icon/logo_sd_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_sdtg.png,,,,,,,,,,,,,,,,,,,,,
3301124,Koga Ninja Frog,dizziness,S,S,stun,,,2,21,,,,,,1,1,,,battle/buff_icon/logo_xy.png,,buff/xuanyun/xuanyun.skel,<xuanyun_loop>,,,1,,{'x'=0;'y'=-320},,,,,,,,,,,,battle/txt/txt_xy.png,,,,,,,,,,,,,,,,,,,,,
3301125,Koga Ninja Frog,Increased crit rate,S,S,strike,,,1,1212,,,,,,1,1,,,battle/buff_icon/logo_bjl_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjltg.png,,,,,,,,,,,,,,,,,,,,,
3301126,Koga Ninja Frog,Increased critical damage,S,S,strikeDamage,,,1,1212,,,,,,1,1,,,battle/buff_icon/logo_bjsh_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjshtg.png,,,,,,,,,,,,,,,,,,,,,
3301127,Koga Ninja Frog,ignore special defense,S,S,specialDefenceIgnore,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3301128,Koga Ninja Frog,damage increase,S,S,damageRateAdd,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=0;triggerPoint=5}>,,,,,,,,,,,,,,
3301129,Koga Ninja Frog,steal speed,S,S,buff1,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=1;effectFuncs=<castBuff;castBuff>;funcArgs=<<{cfgId=3301123;caster=2;holder=2;lifeRound=3;value=target:speed()*0.1;childBind=<2;1>}>;<{cfgId=3301122;caster=2;holder=1;lifeRound=3;value=-target:speed()*0.1;childBind=<1;1>}>> }>,,,,,,,,,,,,,,
3301130,Koga Ninja Frog,ignore special defense,S,S,buff2,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=1;triggerPoint=1;effectFuncs=<castBuff>;funcArgs=<<{cfgId=3301127;caster=2;holder=2;lifeRound=1;value=1000+(skillLv(33016, 33026, 33036) or 0)*10-10}>>}>",,,,,,,,,,,,,,
3301131,Koga Ninja Frog,speed boost,S,S,speed,,特殊,1,1211,102,,,,,1,1,,,battle/buff_icon/logo_sd_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_sdtg.png,,,,,,,,,,,,,,,,,,,,,
3301132,Koga Ninja Frog,Increased crit rate,S,S,strike,,,1,1212,,,,,,1,1,,,battle/buff_icon/logo_bjl_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjltg.png,,,,,,,,,,,,,,,,,,,,,
3301133,Koga Ninja Frog,Increased critical damage,S,S,strikeDamage,,,1,1212,,,,,,1,1,,,battle/buff_icon/logo_bjsh_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjshtg.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3341221,little lion,Reduced critical resistance,A,skill2,ultimateSub,,,2,1303,,,,,,1,1,,,battle/buff_icon/logo_bskx_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bskxjd.png,,,,,,,,,,,,,,,,,,,,,
3341222,little lion,Increased crit rate,A,skill3,strike,,,1,1202,,,,,,1,1,,,battle/buff_icon/logo_bjl_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjltg.png,,,,,,,,,,,,,,,,,,,,,
3341223,little lion,Hit trigger,A,被动,,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=1;triggerPoint=13;effectFuncs=<castBuff;castBuff>;funcArgs=<<{cfgId=3341224;caster=2;holder=2;lifeRound=99;value=self:flag(99) and self:specialDamage()*0.05 or self:specialDamage()*(8+(skillLv(33416,33426) or 0)*0.09-0.09)*0.01}>;<{cfgId=3341225;caster=2;holder=2;lifeRound=99;value=1000; prob=lessThan(getForceNum(self:force()),2) and (moreThan(getNowRound(),3)and (moreE(self:star(),8) and 1 or 0) or 0) or 0}>> }>",,,,,,,,1,,,,,,
3341224,little lion,Special attack increased,A,被动,specialDamage,,特殊,1,1202,102,,,,,2,99,,,battle/buff_icon/logo_tg_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_tgtg.png,,,,,,,,,,,,,,,,,,,,,
3341225,little lion,Increased anger,A,被动,addMp1,,未分组,1,,,,,,,0,1,,,,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqtg.png,,,,,,,,,,,,,,,,,,,,,
3341226,little lion,Hit trigger,A,被动,,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=1;triggerPoint=4;effectFuncs=<castBuff>;funcArgs=<<{cfgId=3341225;caster=2;holder=2;lifeRound=1;value=500; prob=lessThan(getForceNum(self:force()),2) and (moreEqualThan(self:star(),8) and 1 or (moreEqualThan(getNowRound(),(self:flagZ4() and 2 or 3))and 1 or 0)) or 0}>> }>",,,,,,,,,,,,,,
3341227,little lion,Increased critical damage,S,S,strikeDamage,,,1,1212,,,,,,1,1,,,battle/buff_icon/logo_bjsh_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjshtg.png,,,,,,,,,,,,,,,,,,,,,
3341228,little lion,Special attack increased,S,S,specialDamage,,,1,1212,,,,,,1,1,,,battle/buff_icon/logo_tg_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tgtg.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3351121,Heal rate increased,,S,特殊属性增益S,cure,,,2,1013,,,,,,1,1,,,battle/buff_icon/logo_zll_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_zlltg.png,,,,,,,,,,,,,,,,,,,,,
3351122,Hua Beibei,treat,S,S,addHP,,未分组,2,,,,,,,1,1,,,,1,,,,,,,,,buff/zhiliao/zhiliao.skel,,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,
3351123,Hua Beibei,Increased control rate,S,S,immuneControlVal,,,2,1012,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_mkltg.png,,,<50021>,,,,,,,,,,,,,,,,,,
3351124,Hua Beibei,disperse,S,S,qusan,,,2,10005,,,,,<1;1>,1,1,,,,,,,,,,,,,buff/qusan/qusan.skel,qusan,,,,,,,,,battle/txt/txt_qs.png,,,,,,,,,,,,,,,,,,,,,
3351125,Hua Beibei,Increased damage bonus,S,S,damageAdd,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_shtg.png,,,,,,,,,,,,,,,,,,,,,
3351126,Hua Beibei,Improved effectiveness of treatment,S,S,beHealAdd,,特殊,1,1004,102,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_zlxgtg.png,,,,,,,,,,,,,,,1,,,,,,
3351127,Hua Beibei,Hit trigger,S,S,,,未分组,2,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=1;triggerPoint=10;effectFuncs=<castBuff;>;funcArgs=<<{cfgId=3351128;caster=2;holder=1;lifeRound=1;value=self:specialDamage()*((80+(skillLv(33516,33526,33536) or 0)*0.3-0.3))*0.01*(( target:getDamageStateToMe('strike') and moreEqualThan(self:star(),8) ) and 1.5 or 1)}>>;onSomeFlag=<target:getDamageStateToMe('strike')> }>",,,,,,,,1,,,,,,
3351128,Hua Beibei,treat,S,S,addHP,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,buff/zhiliao/zhiliao.skel,,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,
3351129,Hua Beibei,Improved effectiveness of treatment,S,S,beHealAdd,,未分组,1,1004,102,,,,,1,1,,FALSE,battle/buff_icon/logo_zlxg_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_zlxgtg.png,,,,,,,,,,,,,,,,,,,,,
3351130,Hua Beibei,Hit trigger,S,S,,,未分组,2,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=1;triggerPoint=10;effectFuncs=<castBuff;>;funcArgs=<<{cfgId=3351128;caster=2;holder=1;lifeRound=1;value=self:specialDamage()*((80+(skillLv(33516,33526,33536) or 0)*0.3-0.3))*0.01*(target:getDamageStateToMe('strike')and 1.5 or 1)}>> }>",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Single scabbard,Physical Defense Improvement,S,3411221,defence,,,2,1213,,,,,,1,1,,,battle/buff_icon/logo_wf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wftg.png,,,,,,,,,,,,,,,,,,,,,
,Single scabbard,Special Defense Improvement,S,3411222,specialDefence,,,2,1213,,,,,,1,1,,,battle/buff_icon/logo_tf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tftg.png,,,,,,,,,,,,,,,,,,,,,
,Single scabbard,physical attack reduction,S,3411223,damage,,,1,1312,,,,,,1,1,,,battle/buff_icon/logo_wg_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wgjd.png,,,,,,,,,,,,,,,,,,,,,
,Single scabbard,special attack reduction,S,3411224,specialDamage,,,1,1312,,,,,,1,1,,,battle/buff_icon/logo_tg_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tgjd.png,,,,,,,,,,,,,,,,,,,,,
,Single scabbard,Crit rate reduced,S,3411225,strike,,,1,1312,,,,,,2,3,,,battle/buff_icon/logo_bjl_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjljd.png,,,,,,,,,,,,,,,,,,,,,
,Single scabbard,Increased resilience,S,3411226,block,,,1,1213,,,,,,1,1,,,battle/buff_icon/logo_dyl_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_dyltg.png,,,,,,,<{nodeId=1;triggerPoint=14;effectFuncs=<castBuff>;funcArgs=<<{cfgId=3411225;caster=2;holder=7;lifeRound=2;value=-800}>>;onSomeFlag=<getDamageStateToMe('strike')>}>,,,,,,,,,,,,,,
,Single scabbard,Physical Defense Improvement,S,3411227,defence,,,2,1213,,,,,,2,3,,,battle/buff_icon/logo_wf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wftg.png,,,,,,,,,,,,,,,,,,,,,
,Single scabbard,Special Defense Improvement,S,3411228,specialDefence,,,2,1213,,,,,,2,3,,,battle/buff_icon/logo_tf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tftg.png,,,,,,,,,,,,,,,,,,,,,
,Single scabbard,damage reduction,S,3411229,damageSub,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_shjmtg.png,,,,,,,,,,,,,,,,,,,,,
,Single scabbard,Physical Defense Improvement,S,3411230,defence,,,2,1213,,,,,,1,1,,,battle/buff_icon/logo_wf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wftg.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=1;triggerPoint=5;effectFuncs=<castSkill;castBuff;castBuff>;funcArgs=<{skillId=34117;caster=2;prob=(self:hasBuff(3411100) or self:hasBuff(3411910) ) and (more(self:hp()/self:hpMax(),0.2) and 1 or 0) or 0};<{cfgId=3411122;caster=2;holder=14;lifeRound=1;value=0;prob=(self:hasBuff(3411100) or self:hasBuff(3411910) ) and (less(self:hp()/self:hpMax(),0.2) and 1 or 0) or 1 }>;<{cfgId=3411122;caster=2;holder=14;lifeRound=1;value=0;prob=(self:hasBuff(3411100) or self:hasBuff(3411910) ) and (less(self:hp()/self:hpMax(),0.2) and 1 or 0) or 1}>>}>",,,,,,,,,,,,,,
3411100,Single scabbard · shield,Shield Shape Mark,S,,,,未分组,2,,,,,<3411200>,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=1;triggerPoint=1;effectFuncs=<castBuff;castBuff;castBuff;castBuff>;funcArgs=<<{cfgId=3411101;caster=2;holder=1;lifeRound=99;value=-self:Bdamage()*0.3;bond=1}>;<{cfgId=3411102;caster=2;holder=1;lifeRound=99;value=-self:BspecialDamage()*0.3;bond=1}>;<{cfgId=3411103;caster=2;holder=1;lifeRound=99;value=((self:flag(99)  and -30 or 20)+(skillLv(34116,34126,34136) or 0)*0.4-0.4)*100;bond=1}>;<{cfgId=3411125;caster=2;holder=1;lifeRound=99;value=0;prob=0;bond=1}>>}>",,,,,,,,,,,,,{attack=attack;hit=hit;run_loop=run_loop;skill1=skill1;skill2=skill2;standby=standby_loop;win_loop=win_loop;},
3411101,Single scabbard · shield,physical attack reduction,S,被动,damage,,未分组,2,,,,,,,1,1,,,battle/buff_icon/logo_wg_down.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_wgjd.png,,,,,,,,,,,,,,,,,,,,,
3411102,Single scabbard · shield,special attack reduction,S,被动,specialDamage,,未分组,2,,,,,,,1,1,,,battle/buff_icon/logo_tg_down.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_tgjd.png,,,,,,,,,,,,,,,,,,,,,
3411103,Single scabbard · shield,Increased resilience,S,被动,block,,未分组,2,,,,,,,1,1,,,battle/buff_icon/logo_dyl_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_dyltg.png,,,,,,,,,,,,,,,,,,,,,
3411104,Single scabbard · shield,Increased resistance,S,skill1,blockPower,,,2,1223,,,,,,2,5,,,battle/buff_icon/logo_dyqd_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_dyqdtg.png,,,,,,,,,,,,,,,,,,,,,
3411105,Single scabbard · shield,Increased resilience,S,skill2,block,,,2,1223,,,,,,1,1,,,battle/buff_icon/logo_dyl_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_dyltg.png,,,,,,,,,,,,,,,,,,,,,
3411106,Single scabbard · shield,Crit rate reduced,S,skill3,strike,,,2,1312,,,,,,1,1,,,battle/buff_icon/logo_bjl_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjljd.png,,,,,,,,,,,,,,,,,,,,,
3411107,Single scabbard · shield,Increased trigger speed,S,skill3,,,未分组,2,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=1;effectFuncs=<castBuff;castBuff>;funcArgs=<<{cfgId=3411108;caster=2;holder=5;lifeRound=1;value=target2:speed()*0.2}>;<{cfgId=3411108;caster=2;holder=1;lifeRound=1;value=self:speed()*0.4}>>}>,,,,,,,,,,,,,,
3411108,Single scabbard · shield,speed increase,S,skill3,speed,,,2,1311,,,,,,1,1,,,battle/buff_icon/logo_sd_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_sdtg.png,,,,,,,,,,,,,,,,,,,,,
