"﻿变量名",name,languages,name_tw,name_en,name_vn,name_kr,logo,res,resAct,resSpine,crossMineResSpine,qFigureres,qRoleSpine,zOrder,resBack,type,showIdx,pos,actPos,desc,desc_tw,desc_en,desc_kr,unlock,unlockDesc,unlockDesc_tw,unlockDesc_en,unlockDesc_vn,unlockDesc_kr,unavalibleDesc,activeCost,attrNatureType1,attrType1,attrValue1,attrNatureType2,attrType2,attrValue2,attrNatureType3,attrType3,attrValue3,skills,activeLevel,hide,hide_tw,hide_en,hide_vn,hide_kr,overture,offPos,chattext1,chattext1_tw,chattext1_en,chattext1_vn,chattext1_kr,chattext2,chattext2_tw,chattext2_en,chattext2_vn,chattext2_kr,chattext3,chattext3_tw,chattext3_en,chattext3_vn,chattext3_kr,crossArenaPos
40,Gladio,<cn>,格拉吉欧,,,,config/portrait/toptouxiang/img_role_40@.png,config/big_role/show/img_role_40@.png,config/big_role/show/img_role_40@.png,figure/gelajiou/gelajiou.skel,crossmine/q_xiaozhi.skel,,,,personal/img_bjt.png,2,120,,,,,,,{1=10},Put in for Special Event,特殊活動投放,Put in for Special Event,Đặc thù hoạt động tung ra,특수 이벤트 지급,,{2245=1},,7,1%,,8,1%,,,,<70024>,<1>,1,1,1,1,1,,,Gladio,,,,,Gladio,,,,,Gladio,,,,,{x=0;y=0}
41,mao,<cn>,玛奥,,,,config/portrait/toptouxiang/img_role_41@.png,config/big_role/show/img_role_41@.png,config/big_role/show/img_role_41@.png,figure/maao/maao.skel,crossmine/q_xiaozhi.skel,,,,personal/img_bjt4.png,2,110,,,,,,,{1=10},Put in for Special Event,特殊活動投放,Put in for Special Event,Đặc thù hoạt động tung ra,특수 이벤트 지급,,{2246=1},,9,1%,,10,1%,,,,<70033>,<1>,,1,1,1,1,,,Come and taste my true skills!,,,,,Golden Nectar! Everything is to make Magic Cuisine the signature dish of Aina Restaurant!,,,,,My dream is to make Aina the best restaurant in Alola!,,,,,{x=0;y=0}
42,Lillie,<cn>,莉莉艾,,,,config/portrait/toptouxiang/img_role_42@.png,config/big_role/show/img_role_42@.png,config/big_role/show/img_role_42@.png,figure/liliai/liliai.skel,crossmine/q_xiaozhi.skel,,,,personal/img_bjt1.png,2,100,,,,,,,{1=10},Put in for Special Event,特殊活動投放,Put in for Special Event,Đặc thù hoạt động tung ra,특수 이벤트 지급,,{2247=1},,1,1%,,,,,,,<70028>,<1>,,1,1,1,1,,,I will meet many excellent Pokémon and become a trainer... I will travel to various places like a pilgrimage to the islands!,,,,,It was great to meet you all.,,,,,"So, sooner or later... I will come back to Alola!",,,,,{x=0;y=0}
43,Acerola,<cn>,阿塞蘿拉,,,,config/portrait/toptouxiang/img_role_43@.png,config/big_role/show/img_role_43@.png,config/big_role/show/img_role_43@.png,figure/asll/asll.skel,crossmine/q_xiaozhi.skel,,,,personal/img_bjt3.png,2,100,,,,,,,{1=10},Put in for Special Event,特殊活動投放,Put in for Special Event,Đặc thù hoạt động tung ra,특수 이벤트 지급,,{2248=1},,1,1%,,,,,,,<70038>,<1>,,1,1,1,1,,,"Hi~ I am the ancient princess, Acerola! He is also the Four Heavenly Kings of Alola!",,,,,"Gaoh~! If you don't give me a snack, I'm going to make trouble!",,,,,Acerola is here again!,,,,,{x=0;y=0}
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,League Conference Host,,聯盟大賽主持人,League Conference Host,404404,포켓몬 리그 사회자.,,config/big_role/show/img_role_11@.png,,,,,,,,2,,,,,,,,{1=199},Attain level 10 to unlock,等級到達10級後可解鎖,Attain level 10 to unlock,404404,10레벨 달성 후 개방 가능,,{gold=1000},1,1,100,,8,0,,,,,,1,1,1,1,1,,,1111,1111,1111,404404,404404,2222,2222,2222,404404,404404,3333,3333,3333,404404,404404,
101,Rotom Pokédex,,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,login/new_character/img_tjltm@.png,,,,,,,,2,,,,,,,,{1=199},,,,,,,{gold=1000},,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,404404,404404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Jasmine,,阿蜜,Jasmine,404404,규리,config/portrait/toptouxiang/img_am@.png,config/big_role/show/ami@.png,config/big_role/show/ami@.png,figure/gym/daoguan_ami.skel,,,,,,2,,,,,,,,{1=199},,,,,,,{gold=1000},,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
202,Falkner,,阿速,Falkner,404404,비상,config/portrait/toptouxiang/img_as@.png,config/big_role/show/asu@.png,config/big_role/show/asu@.png,figure/gym/daoguan_asu.skel,,,,,,2,,,,,,,,{1=199},,,,,,,{gold=1000},,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
203,Valerie,,瑪繡,Valerie,404404,마슈,config/portrait/toptouxiang/img_mx@.png,config/big_role/show/maxiu@.png,config/big_role/show/maxiu@.png,figure/gym/daoguan_maxiu.skel,,,,,,2,,,,,,,,{1=199},,,,,,,{gold=1000},,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
204,Blue,,青綠,Blue,404404,그린,config/portrait/toptouxiang/img_ql@.png,config/big_role/show/qinglv@.png,config/big_role/show/qinglv@.png,figure/gym/daoguan_qinglv.skel,,,,,,2,,,,,,,,{1=199},,,,,,,{gold=1000},,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
205,Morty,,松葉,Morty,404404,유빈,config/portrait/toptouxiang/img_sy@.png,config/big_role/show/songye@.png,config/big_role/show/songye@.png,figure/gym/daoguan_songye.skel,,,,,,2,,,,,,,,{1=199},,,,,,,{gold=1000},,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
206,Blaine,,夏伯,Blaine,404404,강연,config/portrait/toptouxiang/img_xb@.png,config/big_role/show/xiabo@.png,config/big_role/show/xiabo@.png,figure/gym/daoguan_xiabo.skel,,,,,,2,,,,,,,,{1=199},,,,,,,{gold=1000},,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
207,Drayden,,夏卡,Drayden,404404,사간,config/portrait/toptouxiang/img_xk@.png,config/big_role/show/xiaka@.png,config/big_role/show/xiaka@.png,figure/gym/daoguan_xiaka.skel,,,,,,2,,,,,,,,{1=199},,,,,,,{gold=1000},,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
208,Candice,,小崧,Candice,404404,무청,config/portrait/toptouxiang/img_xs@.png,config/big_role/show/xiasong@.png,config/big_role/show/xiasong@.png,figure/gym/daoguan_xiaosong.skel,,,,,,2,,,,,,,,{1=199},,,,,,,{gold=1000},,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
