"﻿变量名",sceneName,sceneName_tw,sceneName_en,sceneName_vn,sceneName_kr,_beizhu,languages,monsters,boss,icon,gateType,sceneType,roundLimit,backMusic,backGround,bg_boss,bg_boss_pos,openLevel,desc,sceneCount,showLevel,sceneLevel,skillLevel,sceneLevelCorrect,demonCorrect,demonCorrectSelf,limitType,limitArg,firstAward,firstAwardShow,saodangAward,saodangAwardShow,lowestFightingPoint,gateDesc,gateDesc_tw,gateDesc_en,gateDesc_vn,gateDesc_kr
100229,Stage 229,第229關,Stage 229,Thứ 229 Quan,스테이지 229,,,<{unitId=231903;level=423;advance=36};{unitId=221903;level=423;advance=36};{unitId=231903;level=423;advance=36};{unitId=231221;level=423;advance=36};{unitId=231241;level=423;advance=36}>,<{unitId=251229;level=423;advance=37}>,config/portrait/jinglingtouxiang1/img_244_yd@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,423,973,973,,,,5,<<1;0;8%>;<22;0;8%>>,{gold=245000;451=30;452=20},<<gold;245000;1>;<451;30;1>;<452;20;1>>,{gold=6500;451=2;libs=<110;111>},<<gold;6500;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100230,Stage 230,第230關,Stage 230,Thứ 230 Quan,스테이지 230,boss,,<{unitId=230273;level=425;advance=36};{unitId=220464;level=425;advance=36};{unitId=230273;level=425;advance=36};{unitId=230462;level=425;advance=36};{unitId=230462;level=425;advance=36}>,<{unitId=251230;level=425;advance=37}>,config/portrait/jinglingtouxiang1/img_289_qjw@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,425,977,977,,,,5,<<1;1;20%>;<22;0;20%>>,{gold=245000;451=30;501=1},<<gold;245000;1>;<451;30;1>;<501;1;1>>,{gold=6500;452=2;libs=<110;111;112>},<<gold;6500;0>;<451;1;1>;<452;1;1>>,429005,"The monster's mortal damage has been increased, and the aura has been eliminated",怪物全體必殺傷害提升，擊殺光環怪清除,"The monster's mortal damage has been increased, and the aura has been eliminated",404404,"모든 몬스터의 필살기 피해가 증가하며, 아우라 유닛을 처치하면 해당 효과가 디스펠된다"
100231,Stage 231,第231關,Stage 231,Thứ 231 Quan,스테이지 231,,,<{unitId=232633;level=427;advance=37};{unitId=223342;level=427;advance=37};{unitId=233432;level=427;advance=37};{unitId=230593;level=427;advance=37};{unitId=230593;level=427;advance=37}>,<{unitId=251231;level=427;advance=38}>,config/portrait/jinglingtouxiang1/img_145_sdn@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,427,981,981,,,,3,<<9;1;7%>;<10;1;7%>>,{gold=250000;451=30;452=20},<<gold;250000;1>;<451;30;1>;<452;20;1>>,{gold=6600;451=2;libs=<110;111>},<<gold;6600;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100232,Stage 232,第232關,Stage 232,Thứ 232 Quan,스테이지 232,,,<{unitId=232723;level=429;advance=37};{unitId=222013;level=429;advance=37};{unitId=232723;level=429;advance=37};{unitId=230402;level=429;advance=37};{unitId=230402;level=429;advance=37}>,<{unitId=251232;level=429;advance=38}>,config/portrait/jinglingtouxiang1/img_719_dax@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,429,985,985,,,,4,<<9;0;7%>;<10;0;7%>;<17;0;7%>>,{gold=250000;451=30;502=1},<<gold;250000;1>;<451;30;1>;<502;1;1>>,{gold=6600;451=2;libs=<110;111>},<<gold;6600;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100233,Stage 233,第233關,Stage 233,Thứ 233 Quan,스테이지 233,,,<{unitId=232683;level=431;advance=37};{unitId=221071;level=431;advance=37};{unitId=232683;level=431;advance=37};{unitId=230572;level=431;advance=37};{unitId=230572;level=431;advance=37}>,<{unitId=251233;level=431;advance=38}>,config/portrait/jinglingtouxiang1/img_212_jqtl@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,431,989,989,,,,5,<<9;0;8%>;<10;0;8%>>,{gold=250000;451=30;rmb=100},<<gold;250000;1>;<451;30;1>;<rmb;100;1>>,{gold=6600;451=2;libs=<110;111>},<<gold;6600;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100234,Stage 234,第234關,Stage 234,Thứ 234 Quan,스테이지 234,,,<{unitId=230493;level=433;advance=37};{unitId=221903;level=433;advance=37};{unitId=230493;level=433;advance=37};{unitId=231253;level=433;advance=37};{unitId=231253;level=433;advance=37}>,<{unitId=251234;level=433;advance=38}>,config/portrait/jinglingtouxiang1/img_383_gld@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,433,993,993,,,,5,<<9;0;8%>;<10;0;8%>;<24;0;8%>>,{gold=250000;451=30;452=20},<<gold;250000;1>;<451;30;1>;<452;20;1>>,{gold=6600;451=2;libs=<110;111>},<<gold;6600;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100235,Stage 235,第235關,Stage 235,Thứ 235 Quan,스테이지 235,boss,,<{unitId=231503;level=435;advance=37};{unitId=223501;level=435;advance=37};{unitId=231503;level=435;advance=37};{unitId=230781;level=435;advance=37};{unitId=230781;level=435;advance=37}>,<{unitId=251235;level=435;advance=38}>,config/portrait/jinglingtouxiang1/img_719_dax@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,435,997,997,,,,5,<<9;1;10%>;<10;0;10%>;<22;0;10%>>,{gold=250000;451=30;519=1},<<gold;250000;1>;<451;30;1>;<519;1;1>>,{gold=6600;452=1;libs=<110;111;112>},<<gold;6600;0>;<451;1;1>;<452;1;1>>,429005,"The monster's overall healing is increased, and the aura is killed and cleared",怪物全體治療量提升，擊殺光環怪清除,"The monster's overall healing is increased, and the aura is killed and cleared",404404,"모든 몬스터의 치료량이 증가하며, 아우라 유닛을 처치하면 해당 효과가 디스펠된다"
100236,Stage 236,第236關,Stage 236,Thứ 236 Quan,스테이지 236,,,<{unitId=230372;level=437;advance=38};{unitId=220393;level=437;advance=38};{unitId=230552;level=437;advance=38};{unitId=231813;level=437;advance=38};{unitId=231813;level=437;advance=38}>,<{unitId=251236;level=437;advance=39}>,config/portrait/jinglingtouxiang1/img_477_hyml@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,437,1001,1001,,,,3,<<13;1;7%>>,{gold=255000;451=30;452=20},<<gold;255000;1>;<451;30;1>;<452;20;1>>,{gold=6700;451=2;libs=<110;111>},<<gold;6700;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100237,Stage 237,第237關,Stage 237,Thứ 237 Quan,스테이지 237,,,<{unitId=230771;level=439;advance=38};{unitId=220753;level=439;advance=38};{unitId=230771;level=439;advance=38};{unitId=230893;level=439;advance=38};{unitId=230893;level=439;advance=38}>,<{unitId=251237;level=439;advance=39}>,config/portrait/jinglingtouxiang1/img_150_cm@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,439,1005,1005,,,,4,<<13;0;7%>;<24;0;7%>>,{gold=255000;451=30;502=1},<<gold;255000;1>;<451;30;1>;<502;1;1>>,{gold=6700;451=2;libs=<110;111>},<<gold;6700;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100238,Stage 238,第238關,Stage 238,Thứ 238 Quan,스테이지 238,,,<{unitId=230023;level=441;advance=38};{unitId=221313;level=441;advance=38};{unitId=230552;level=441;advance=38};{unitId=233303;level=441;advance=38};{unitId=231241;level=441;advance=38}>,<{unitId=251238;level=441;advance=39}>,config/portrait/jinglingtouxiang1/img_130_bll@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,441,1009,1009,,,,5,<<9;0;8%>;<10;0;8%>>,{gold=255000;451=30;rmb=100},<<gold;255000;1>;<451;30;1>;<rmb;100;1>>,{gold=6700;451=2;libs=<110;111>},<<gold;6700;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100239,Stage 239,第239關,Stage 239,Thứ 239 Quan,스테이지 239,,,<{unitId=233353;level=443;advance=38};{unitId=221503;level=443;advance=38};{unitId=233353;level=443;advance=38};{unitId=233472;level=443;advance=38};{unitId=233472;level=443;advance=38}>,<{unitId=251239;level=443;advance=39}>,config/portrait/jinglingtouxiang1/img_719_dax@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,443,1013,1013,,,,5,<<9;0;8%>;<10;0;8%>;<24;0;8%>>,{gold=255000;451=30;452=20},<<gold;255000;1>;<451;30;1>;<452;20;1>>,{gold=6700;451=2;libs=<110;111>},<<gold;6700;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100240,Stage 240,第240關,Stage 240,Thứ 240 Quan,스테이지 240,boss,,<{unitId=231253;level=445;advance=38};{unitId=221253;level=445;advance=38};{unitId=231253;level=445;advance=38};{unitId=231231;level=445;advance=38};{unitId=231231;level=445;advance=38}>,<{unitId=251240;level=445;advance=39}>,config/portrait/jinglingtouxiang1/img_59_fsg@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,445,1017,1017,,,,5,<<9;1;20%>;<10;0;20%>;<22;0;20%>>,{gold=255000;451=30;501=1},<<gold;255000;1>;<451;30;1>;<501;1;1>>,{gold=6700;452=2;libs=<110;111;112>},<<gold;6700;0>;<451;1;1>;<452;1;1>>,429005,"The lower the total health of the monster, the higher the damage.",怪物全體血量越低傷害越高，擊殺光環怪清除,"The lower the total health of the monster, the higher the damage.",404404,"모든 몬스터는 HP가 낮을수록 피해가 증가하며, 아우라 유닛을 처치하면 해당 효과가 디스펠된다"
100241,Stage 241,第241關,Stage 241,Thứ 241 Quan,스테이지 241,,,<{unitId=230093;level=447;advance=39};{unitId=221443;level=447;advance=39};{unitId=232302;level=447;advance=39};{unitId=230741;level=447;advance=39};{unitId=230741;level=447;advance=39}>,<{unitId=251241;level=447;advance=40}>,config/portrait/jinglingtouxiang1/img_467_yzys@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,447,1021,1021,,,,3,<<1;1;8%>>,{gold=260000;451=30;452=20},<<gold;260000;1>;<451;30;1>;<452;20;1>>,{gold=6800;451=2;libs=<110;111>},<<gold;6800;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100242,Stage 242,第242關,Stage 242,Thứ 242 Quan,스테이지 242,,,<{unitId=232593;level=449;advance=39};{unitId=222612;level=449;advance=39};{unitId=232593;level=449;advance=39};{unitId=232963;level=449;advance=39};{unitId=232963;level=449;advance=39}>,<{unitId=251242;level=449;advance=40}>,config/portrait/jinglingtouxiang1/img_306_bskdl@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,449,1025,1025,,,,4,<<1;0;8%>;<28;0;8%>>,{gold=260000;451=30;502=1},<<gold;260000;1>;<451;30;1>;<502;1;1>>,{gold=6800;451=2;libs=<110;111>},<<gold;6800;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100243,Stage 243,第243關,Stage 243,Thứ 243 Quan,스테이지 243,,,<{unitId=232013;level=451;advance=39};{unitId=222302;level=451;advance=39};{unitId=233283;level=451;advance=39};{unitId=231353;level=451;advance=39};{unitId=231353;level=451;advance=39}>,<{unitId=251243;level=451;advance=40}>,config/portrait/jinglingtouxiang1/img_254_xyw@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,451,1029,1029,,,,5,<<27;0;8%>;<24;0;8%>>,{gold=260000;451=30;rmb=100},<<gold;260000;1>;<451;30;1>;<rmb;100;1>>,{gold=6800;451=2;libs=<110;111>},<<gold;6800;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100244,Stage 244,第244關,Stage 244,Thứ 244 Quan,스테이지 244,,,<{unitId=230771;level=453;advance=39};{unitId=221903;level=453;advance=39};{unitId=230771;level=453;advance=39};{unitId=230333;level=453;advance=39};{unitId=230333;level=453;advance=39}>,<{unitId=251244;level=453;advance=40}>,config/portrait/jinglingtouxiang1/img_150_cm@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,453,1033,1033,,,,5,<<1;0;8%>;<24;0;8%>>,{gold=260000;451=30;452=20},<<gold;260000;1>;<451;30;1>;<452;20;1>>,{gold=6800;451=2;libs=<110;111>},<<gold;6800;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100245,Stage 245,第245關,Stage 245,Thứ 245 Quan,스테이지 245,boss,,<{unitId=230731;level=455;advance=39};{unitId=223021;level=455;advance=39};{unitId=230731;level=455;advance=39};{unitId=230721;level=455;advance=39};{unitId=230721;level=455;advance=39}>,<{unitId=251245;level=455;advance=40}>,config/portrait/jinglingtouxiang1/img_145_sdn@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,455,1037,1037,,,,5,<<27;0;10%>;<22;0;10%>;<26;1;10%>>,{gold=260000;451=30;519=1},<<gold;260000;1>;<451;30;1>;<519;1;1>>,{gold=6800;452=1;libs=<110;111;112>},<<gold;6800;0>;<451;1;1>;<452;1;1>>,429005,"When the aura unit is killed, it will increase anger for other monsters",光環單位擊殺時，會為其他怪物提升怒氣,"When the aura unit is killed, it will increase anger for other monsters",404404,"아우라 유닛 처치 시, 다른 몬스터의 분노가 증가한다"
100246,Stage 246,第246關,Stage 246,Thứ 246 Quan,스테이지 246,,,<{unitId=232483;level=457;advance=40};{unitId=222483;level=457;advance=40};{unitId=232483;level=457;advance=40};{unitId=230263;level=457;advance=40};{unitId=230263;level=457;advance=40}>,<{unitId=251246;level=457;advance=41}>,config/portrait/jinglingtouxiang1/img_151_mh@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,457,1041,1041,,,,3,<<7;1;8%>;<8;1;8%>>,{gold=265000;451=30;452=20},<<gold;265000;1>;<451;30;1>;<452;20;1>>,{gold=6900;451=2;libs=<110;111>},<<gold;6900;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100247,Stage 247,第247關,Stage 247,Thứ 247 Quan,스테이지 247,,,<{unitId=231813;level=459;advance=40};{unitId=221221;level=459;advance=40};{unitId=231813;level=459;advance=40};{unitId=230263;level=459;advance=40};{unitId=230771;level=459;advance=40}>,<{unitId=251247;level=459;advance=41}>,config/portrait/jinglingtouxiang1/img_94_gg@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,459,1045,1045,,,,4,<<7;0;8%>;<8;0;8%>;<14;0;8%>>,{gold=265000;451=30;502=1},<<gold;265000;1>;<451;30;1>;<502;1;1>>,{gold=6900;451=2;libs=<110;111>},<<gold;6900;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100248,Stage 248,第248關,Stage 248,Thứ 248 Quan,스테이지 248,,,<{unitId=231393;level=461;advance=40};{unitId=223353;level=461;advance=40};{unitId=231393;level=461;advance=40};{unitId=230133;level=461;advance=40};{unitId=233432;level=461;advance=40}>,<{unitId=251248;level=461;advance=41}>,config/portrait/jinglingtouxiang1/img_719_dax@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,461,1049,1049,,,,5,<<27;0;8%>;<24;0;8%>>,{gold=265000;451=30;rmb=100},<<gold;265000;1>;<451;30;1>;<rmb;100;1>>,{gold=6900;451=2;libs=<110;111>},<<gold;6900;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100249,Stage 249,第249關,Stage 249,Thứ 249 Quan,스테이지 249,,,<{unitId=231893;level=463;advance=40};{unitId=221893;level=463;advance=40};{unitId=231893;level=463;advance=40};{unitId=231303;level=463;advance=40};{unitId=231303;level=463;advance=40}>,<{unitId=251249;level=463;advance=41}>,config/portrait/jinglingtouxiang1/img_250_fw@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,463,1053,1053,,,,5,<<1;0;8%>;<24;0;8%>>,{gold=265000;451=30;452=20},<<gold;265000;1>;<451;30;1>;<452;20;1>>,{gold=6900;451=2;libs=<110;111>},<<gold;6900;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100250,Stage 250,第250關,Stage 250,Thứ 250 Quan,스테이지 250,boss,,<{unitId=231393;level=465;advance=40};{unitId=220771;level=465;advance=40};{unitId=230263;level=465;advance=40};{unitId=233293;level=465;advance=40};{unitId=232272;level=465;advance=40}>,<{unitId=251250;level=465;advance=41}>,config/portrait/jinglingtouxiang1/img_359_absl@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,465,1057,1057,,,,5,<<27;0;20%>;<22;0;20%>;<26;1;20%>>,{gold=265000;451=30;501=1},<<gold;265000;1>;<451;30;1>;<501;1;1>>,{gold=6900;452=2;libs=<110;111;112>},<<gold;6900;0>;<451;1;1>;<452;1;1>>,429005,"Increase the overall control rate of monsters, kill aura monsters and clear them",怪物全體控制率提升，擊殺光環怪物清除,"Increase the overall control rate of monsters, kill aura monsters and clear them",404404,"모든 몬스터의 제어율이 증가하며, 아우라 유닛을 처치하면 해당 효과가 디스펠된다"
100251,Stage 251,第251關,Stage 251,Thứ 251 Quan,스테이지 251,,,<{unitId=232612;level=467;advance=41};{unitId=222683;level=467;advance=41};{unitId=230793;level=467;advance=41};{unitId=230883;level=467;advance=41};{unitId=230883;level=467;advance=41}>,<{unitId=251251;level=467;advance=42}>,config/portrait/jinglingtouxiang1/img_145_sdn@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,467,1061,1061,,,,3,<<9;1;8%>;<10;1;8%>>,{gold=270000;451=30;452=20},<<gold;270000;1>;<451;30;1>;<452;20;1>>,{gold=7000;451=2;libs=<110;111>},<<gold;7000;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100252,Stage 252,第252關,Stage 252,Thứ 252 Quan,스테이지 252,,,<{unitId=231313;level=469;advance=41};{unitId=220493;level=469;advance=41};{unitId=231313;level=469;advance=41};{unitId=230283;level=469;advance=41};{unitId=233283;level=469;advance=41}>,<{unitId=251252;level=469;advance=42}>,config/portrait/jinglingtouxiang1/img_272_ltht@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,469,1065,1065,,,,4,<<9;0;8%>;<10;0;8%>;<17;0;8%>>,{gold=270000;451=30;502=1},<<gold;270000;1>;<451;30;1>;<502;1;1>>,{gold=7000;451=2;libs=<110;111>},<<gold;7000;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100253,Stage 253,第253關,Stage 253,Thứ 253 Quan,스테이지 253,,,<{unitId=230783;level=471;advance=41};{unitId=220283;level=471;advance=41};{unitId=233283;level=471;advance=41};{unitId=231293;level=471;advance=41};{unitId=231293;level=471;advance=41}>,<{unitId=251253;level=471;advance=42}>,config/portrait/jinglingtouxiang1/img_254_xyw@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,471,1069,1069,,,,5,<<1;0;8%>;<24;0;8%>>,{gold=270000;451=30;rmb=100},<<gold;270000;1>;<451;30;1>;<rmb;100;1>>,{gold=7000;451=2;libs=<110;111>},<<gold;7000;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100254,Stage 254,第254關,Stage 254,Thứ 254 Quan,스테이지 254,,,<{unitId=230043;level=473;advance=41};{unitId=220062;level=473;advance=41};{unitId=230072;level=473;advance=41};{unitId=233303;level=473;advance=41};{unitId=233303;level=473;advance=41}>,<{unitId=251254;level=473;advance=42}>,config/portrait/jinglingtouxiang1/img_658_jhrw@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,473,1073,1073,,,,5,<<27;0;8%>;<24;0;8%>>,{gold=270000;451=30;452=20},<<gold;270000;1>;<451;30;1>;<452;20;1>>,{gold=7000;451=2;libs=<110;111>},<<gold;7000;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100255,Stage 255,第255關,Stage 255,Thứ 255 Quan,스테이지 255,boss,,<{unitId=232721;level=475;advance=41};{unitId=222721;level=475;advance=41};{unitId=231172;level=475;advance=41};{unitId=231082;level=475;advance=41};{unitId=231172;level=475;advance=41}>,<{unitId=251255;level=475;advance=42}>,config/portrait/jinglingtouxiang1/img_306_bskdl@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,475,1077,1077,,,,5,<<1;1;10%>;<13;0;10%>;<13;0;10%>>,{gold=270000;451=30;519=1},<<gold;270000;1>;<451;30;1>;<519;1;1>>,{gold=7000;452=1;libs=<110;111;112>},<<gold;7000;0>;<451;1;1>;<452;1;1>>,429005,"After several rounds, all monsters will add a shield",若干回合後，全體怪物會添加一個護盾,"After several rounds, all monsters will add a shield",404404,"일정 턴이 지나고, 모든 몬스터에게 실드가 부여된다"
100256,Stage 256,第256關,Stage 256,Thứ 256 Quan,스테이지 256,,,<{unitId=233012;level=477;advance=42};{unitId=221863;level=477;advance=42};{unitId=233012;level=477;advance=42};{unitId=231082;level=477;advance=42};{unitId=231082;level=477;advance=42}>,<{unitId=251256;level=477;advance=43}>,config/portrait/jinglingtouxiang1/img_144_jdn@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,477,1081,1081,,,,3,<<13;1;8%>>,{gold=275000;451=30;452=20},<<gold;275000;1>;<451;30;1>;<452;20;1>>,{gold=7100;451=2;libs=<110;111>},<<gold;7100;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100257,Stage 257,第257關,Stage 257,Thứ 257 Quan,스테이지 257,,,<{unitId=230472;level=479;advance=42};{unitId=221841;level=479;advance=42};{unitId=230273;level=479;advance=42};{unitId=231423;level=479;advance=42};{unitId=231423;level=479;advance=42}>,<{unitId=251257;level=479;advance=43}>,config/portrait/jinglingtouxiang1/img_289_qjw@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,479,1085,1085,,,,4,<<13;0;8%>;<24;0;8%>>,{gold=275000;451=30;502=1},<<gold;275000;1>;<451;30;1>;<502;1;1>>,{gold=7100;451=2;libs=<110;111>},<<gold;7100;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100258,Stage 258,第258關,Stage 258,Thứ 258 Quan,스테이지 258,,,<{unitId=232612;level=481;advance=42};{unitId=220493;level=481;advance=42};{unitId=232822;level=481;advance=42};{unitId=230692;level=481;advance=42};{unitId=232073;level=481;advance=42}>,<{unitId=251258;level=481;advance=43}>,config/portrait/jinglingtouxiang1/img_359_absl@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,481,1089,1089,,,,5,<<1;0;8%>;<24;0;8%>>,{gold=275000;451=30;rmb=100},<<gold;275000;1>;<451;30;1>;<rmb;100;1>>,{gold=7100;451=2;libs=<110;111>},<<gold;7100;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100259,Stage 259,第259關,Stage 259,Thứ 259 Quan,스테이지 259,,,<{unitId=230082;level=483;advance=42};{unitId=220123;level=483;advance=42};{unitId=230232;level=483;advance=42};{unitId=233562;level=483;advance=42};{unitId=230173;level=483;advance=42}>,<{unitId=251259;level=483;advance=43}>,config/portrait/jinglingtouxiang1/img_65_hd@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,483,1093,1093,,,,5,<<27;0;8%>;<24;0;8%>>,{gold=275000;451=30;452=20},<<gold;275000;1>;<451;30;1>;<452;20;1>>,{gold=7100;451=2;libs=<110;111>},<<gold;7100;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100260,Stage 260,第260關,Stage 260,Thứ 260 Quan,스테이지 260,boss,,<{unitId=231863;level=485;advance=42};{unitId=221863;level=485;advance=42};{unitId=231863;level=485;advance=42};{unitId=230372;level=485;advance=42};{unitId=230372;level=485;advance=42}>,<{unitId=251260;level=485;advance=43}>,config/portrait/jinglingtouxiang1/img_462_zbcg@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,485,1097,1097,,,,5,<<1;1;20%>;<13;0;20%>;<13;0;20%>>,{gold=275000;451=30;501=1},<<gold;275000;1>;<451;30;1>;<501;1;1>>,{gold=7100;452=2;libs=<110;111;112>},<<gold;7100;0>;<451;1;1>;<452;1;1>>,429005,"The anti-injury rate of all monsters has been improved, killing aura monsters to clear",全體怪物反傷率提升，擊殺光環怪物清除,"The anti-injury rate of all monsters has been improved, killing aura monsters to clear",404404,"모든 몬스터의 피해 반사율이 증가하며, 아우라 유닛을 처치하면 해당 효과가 디스펠된다"
100261,Stage 261,第261關,Stage 261,Thứ 261 Quan,스테이지 261,,,<{unitId=233293;level=487;advance=43};{unitId=222073;level=487;advance=43};{unitId=232891;level=487;advance=43};{unitId=230133;level=487;advance=43};{unitId=230133;level=487;advance=43}>,<{unitId=251261;level=487;advance=44}>,config/portrait/jinglingtouxiang1/img_151_mh@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,487,1101,1101,,,,3,<<1;1;8%>>,{gold=280000;451=30;452=20},<<gold;280000;1>;<451;30;1>;<452;20;1>>,{gold=7200;451=2;libs=<110;111>},<<gold;7200;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100262,Stage 262,第262關,Stage 262,Thứ 262 Quan,스테이지 262,,,<{unitId=221443;level=489;advance=43};{unitId=232633;level=489;advance=43};{unitId=231082;level=489;advance=43}>,<{unitId=251262;level=489;advance=44}>,config/portrait/jinglingtouxiang1/img_376_jjg@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,489,1105,1105,,,,4,<<1;0;8%>;<28;0;8%>>,{gold=280000;451=30;502=1},<<gold;280000;1>;<451;30;1>;<502;1;1>>,{gold=7200;451=2;libs=<110;111>},<<gold;7200;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100263,Stage 263,第263關,Stage 263,Thứ 263 Quan,스테이지 263,,,<{unitId=232891;level=491;advance=43};{unitId=222073;level=491;advance=43};{unitId=232963;level=491;advance=43};{unitId=230883;level=491;advance=43};{unitId=231221;level=491;advance=43}>,<{unitId=251263;level=491;advance=44}>,config/portrait/jinglingtouxiang1/img_145_sdn@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,491,1109,1109,,,,5,<<9;0;8%>;<10;0;8%>;<24;0;8%>>,{gold=280000;451=30;rmb=100},<<gold;280000;1>;<451;30;1>;<rmb;100;1>>,{gold=7200;451=2;libs=<110;111>},<<gold;7200;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100264,Stage 264,第264關,Stage 264,Thứ 264 Quan,스테이지 264,,,<{unitId=230102;level=493;advance=43};{unitId=220173;level=493;advance=43};{unitId=230352;level=493;advance=43};{unitId=232963;level=493;advance=43};{unitId=232963;level=493;advance=43}>,<{unitId=251264;level=493;advance=44}>,config/portrait/jinglingtouxiang1/img_614_dyx@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,493,1113,1113,,,,5,<<9;0;8%>;<10;0;8%>>,{gold=280000;451=30;452=20},<<gold;280000;1>;<451;30;1>;<452;20;1>>,{gold=7200;451=2;libs=<110;111>},<<gold;7200;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100265,Stage 265,第265關,Stage 265,Thứ 265 Quan,스테이지 265,boss,,<{unitId=230482;level=495;advance=43};{unitId=220372;level=495;advance=43};{unitId=232272;level=495;advance=43};{unitId=232683;level=495;advance=43};{unitId=232683;level=495;advance=43}>,<{unitId=251265;level=495;advance=44}>,config/portrait/jinglingtouxiang1/img_545_wgw@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,495,1117,1117,,,,5,<<9;1;10%>;<10;1;10%>;<13;0;10%>>,{gold=280000;451=30;519=1},<<gold;280000;1>;<451;30;1>;<519;1;1>>,{gold=7200;452=1;libs=<110;111;112>},<<gold;7200;0>;<451;1;1>;<452;1;1>>,429005,Each monster death increases the aura monster's blast damage,全體怪物死亡會對全體造成自爆傷害,Each monster death increases the aura monster's blast damage,404404,몬스터를 처치할 때마다 아우라 몬스터의 자폭 대미지가 증가한다
100266,Stage 266,第266關,Stage 266,Thứ 266 Quan,스테이지 266,,,<{unitId=232633;level=497;advance=44};{unitId=222963;level=497;advance=44};{unitId=232633;level=497;advance=44};{unitId=230393;level=497;advance=44};{unitId=230393;level=497;advance=44}>,<{unitId=251266;level=497;advance=45}>,config/portrait/jinglingtouxiang1/img_553_lme@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,497,1121,1121,,,,3,<<7;1;8%>;<8;1;8%>>,{gold=285000;451=30;452=20},<<gold;285000;1>;<451;30;1>;<452;20;1>>,{gold=7300;451=2;libs=<110;111>},<<gold;7300;0>;<451;1;1>;<452;1;1>>,429005,,,,,
