"﻿变量名",_mailType,tab,icon,sender,sender_tw,sender_en,sender_vn,sender_kr,subject,subject_tw,subject_en,subject_vn,subject_kr,content,content_tw,content_en,content_vn,content_kr,attachs,special
64,Cross-server arena 7-day settlement rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Global Arena 7-day Rewards,跨服竞技场7日结算奖励,Global Arena 7-day Rewards,404404,글로벌 아레나 7일 결산 보상,Dear Player: \n    Congrats! You won in Rank %s No. %d in Cross-server Arena (Weekly Settlement). Your reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,親愛的小夥伴:\n    恭喜您在跨服競技場7日結算時位於%s第%d名哦，段位獎勵已隨郵件發送，請及時查收。望再接再厲，勇攀高峰。\n    祝您遊戲愉快!,Dear Player: \n    Congrats! You won in Rank %s No. %d in Cross-server Arena (Weekly Settlement). Your reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,404404,"""트레이너님: \n   축하합니다. 글로벌 아레나 7일 결산 시 %s %d위를 달성하였으며, 랭크 보상을 우편으로 지급합니다. 제때 수령해 주세요. 앞으로도 계속 분발해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
65,End settlement rewards for cross-server arenas,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,End of Global Arena Rewards,跨服竞技场结束结算奖励,End of Global Arena Rewards,404404,글로벌 아레나 종료 결산 보상,Dear Player: \n    Congrats! You won in Rank %s No. %d in Cross-server Arena (Seasonal Settlement). Your reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,親愛的小夥伴:\n    恭喜您在跨服競技場季終結算時位於%s第%d名哦，段位獎勵已隨郵件發送，請及時查收。望再接再厲，勇攀高峰。\n    祝您遊戲愉快!,Dear Player: \n    Congrats! You won in Rank %s No. %d in Cross-server Arena (Seasonal Settlement). Your reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,404404,"""트레이너님: \n   축하합니다. 글로벌 아레나 시즌 종료 결산 시 %s %d위를 달성하였으며, 랭크 보상을 우편으로 지급합니다. 제때 수령해 주세요. 앞으로도 계속 분발해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
66,Fishing Contest Ranking Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Fishing Tournament Ranking Reward,釣魚大賽排名獎勵,Fishing Tournament Ranking Reward,404404,낚시대회 순위 보상,Dear Player: \n    Congrats! You won No.%d in the Fishing Tournament. Your reward has been sent by mail. Please check in time. \n    Enjoy your game!,親愛的小夥伴:\n    恭喜您在釣魚大賽中獲得了第%d名，排名獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear Player: \n    Congrats! You won No.%d in the Fishing Tournament. Your reward has been sent by mail. Please check in time. \n    Enjoy your game!,404404,"""트레이너님: \n   축하합니다. 낚시대회에서 %d위를 달성하였으며, 순위 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
67,Reissue of automatic fishing rewards for fishing competitions,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Fishing Tournament Auto-fishing Reward,釣魚大賽自動釣魚獎勵,Fishing Tournament Auto-fishing Reward,404404,낚시대회 자동 낚시 보상,"Dear Player: \n    In this Fishing Tournament, you succeeded %d times and failed %d times with auto-fishing. Your reward has been sent by mail. Please check in time. \n    Enjoy your game!",親愛的小夥伴:\n    您在本次釣魚大賽中，自動釣魚成功%d次，失敗%d次，累積獲得的獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear Player: \n    In this Fishing Tournament, you succeeded %d times and failed %d times with auto-fishing. Your reward has been sent by mail. Please check in time. \n    Enjoy your game!",404404,"""트레이너님: \n   이번 낚시대회에서 자동 낚시에 %d회 성공하고, %d회 실패했습니다. 누적 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
68,Gymnasium server honorary owner reward,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Honorary Gym Leader Reward (Your Server),道館本服榮譽館主獎勵,Honorary Gym Leader Reward (Your Server),404404,체육관 본 서버 명예 관장 보상,Dear Player: \n    Congrats! You became %s Honorary Gym Leader of your server. Your reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,親愛的小夥伴:\n    恭喜您在道館結算時成為本服%s榮譽館主，獎勵已隨郵件發送，請及時查收。望再接再厲，勇攀高峰。\n    祝您遊戲愉快!,Dear Player: \n    Congrats! You became %s Honorary Gym Leader of your server. Your reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,404404,트레이너님: \n   축하합니다. 체육관 결산 시 본 서버 %s 명예 관장의 자리에 올랐습니다. 보상을 우편으로 지급합니다. 제때 수령해 주세요. 앞으로도 계속 분발해 주세요. \n   즐거운 게임 되시길 바랍니다!,,
69,Rewards for the honorary owner of cross-server gymnasiums,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Honorary Gym Leader Reward (Cross-server),跨服道館榮譽館主獎勵,Honorary Gym Leader Reward (Cross-server),404404,글로벌 체육관 명예 관장 보상,Dear Player: \n    Congrats! You became %s Honorary Gym Leader of Cross-server. Your reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,親愛的小夥伴:\n    恭喜您在跨服道館結算時成為%s榮譽館主，獎勵已隨郵件發送，請及時查收。望再接再厲，勇攀高峰。\n    祝您遊戲愉快!,Dear Player: \n    Congrats! You became %s Honorary Gym Leader of Cross-server. Your reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,404404,트레이너님: \n   축하합니다. 글로벌 체육관 결산 시 %s 명예 관장의 자리에 올랐습니다. 보상을 우편으로 지급합니다. 제때 수령해 주세요. 앞으로도 계속 분발해 주세요. \n   즐거운 게임 되시길 바랍니다!,,
70,Rewards for honorary librarians of cross-server gymnasiums,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Honorary Gym Member Reward (Cross-server),跨服道館榮譽館員獎勵,Honorary Gym Member Reward (Cross-server),404404,글로벌 체육관 명예 트레이너 보상,Dear Player: \n    Congrats! You became %s Honorary Gym Member of Cross-server. Your reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,親愛的小夥伴:\n    恭喜您在跨服道館結算時成為%s榮譽館員，獎勵已隨郵件發送，請及時查收。望再接再厲，勇攀高峰。\n    祝您遊戲愉快!,Dear Player: \n    Congrats! You became %s Honorary Gym Member of Cross-server. Your reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,404404,트레이너님: \n   축하합니다. 글로벌 체육관 결산 시 %s 명예 트레이너의 자리에 올랐습니다. 보상을 우편으로 지급합니다. 제때 수령해 주세요. 앞으로도 계속 분발해 주세요. \n   즐거운 게임 되시길 바랍니다!,,
71,Gym dungeon customs clearance reward reissued,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Gym Dungeon Reward Makeup,道館副本通關獎勵補發,Gym Dungeon Reward Makeup,404404,체육관 던전 클리어 보상 보충,Dear Player: \n    You haven't claim your Gym Dungeon Reward. Reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,親愛的小夥伴:\n    恭喜您在%s道館副本通關獎勵未領取，進行補發獎勵已隨郵件發送，請及時查收。望再接再厲，勇攀高峰。\n    祝您遊戲愉快!,Dear Player: \n    You haven't claim your Gym Dungeon Reward. Reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,404404,트레이너님: \n   축하합니다. 수령하지 않은 %s 체육관 던전 클리어 보상을 우편으로 지급합니다. 제때 수령해 주세요. 앞으로도 계속 분발해 주세요. \n   즐거운 게임 되시길 바랍니다!,,
72,elemental challenge is presented room,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Elemental Challenge - Kickout Notice,元素挑戰—請出通知,Elemental Challenge - Kickout Notice,404404,엘리멘탈 챌린지-강퇴 알림,"Dear Player: \n    Unfortunately, you have been kicked out the Elemental Challenge room as you didn't complete any challenge for a long time.",親愛的小夥伴:\n    很遺憾的通知妳，由於妳加入了元素挑戰房間但是很長時間內沒有完成至少1次挑戰，所以被請出了房間。,"Dear Player: \n    Unfortunately, you have been kicked out the Elemental Challenge room as you didn't complete any challenge for a long time.",404404,친구에게: \n    아쉽게도 귀하가 들어간 엘리멘탈 챌린지 방에서 귀하가 오랜 시간 동안 최소 1회의 도전도 진행하지 않아 방에서 강퇴되었습니다,,
73,Elemental Challenge Notification Vote,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Elemental Challenge - Vote Invitation,元素挑戰—邀請投票,Elemental Challenge - Vote Invitation,404404,엘리멘탈 챌린지-투표 요청,Dear Player: \n    Players in your room initiated the Host Removal Vote. It is important for you to get the Participants Reward. Join it now!\n    Enjoy your game!,親愛的小夥伴:\n    妳所在的房間內有小夥伴發起了請出房主的投票，趕快去參與呀！這對於妳是否能拿到房間內完成挑戰人數達成獎勵來說非常重要！\n    祝您遊戲愉快!,Dear Player: \n    Players in your room initiated the Host Removal Vote. It is important for you to get the Participants Reward. Join it now!\n    Enjoy your game!,404404,친구에게: \n    귀하가 속한 방에서 어떤 동료가 방장 강퇴 투표를 올렸습니다. 어서 참여하세요! 방의 도전 완료 인원수 달성 보상 획득 여부와 관련된 중요한 안건입니다! \n    즐거운 게임 되세요!,,
74,Elemental Challenge warns homeowners,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Elemental Challenge - Kickout Warning,元素挑戰—被T警告,Elemental Challenge - Kickout Warning,404404,엘리멘탈 챌린지-강퇴 경고,"Dear Player: \n    As a Host of the room, you haven't completed any challenge so far. Thus other players are voting to kick you out. Go to the room and complete the challenge before it's too late!",親愛的小夥伴:\n    作為壹房之主的妳，因為當前沒有完成至少1次挑戰，受到了其他小夥伴的請出房間的投票，投票正在進行，現在還來得及，趕快前往房間完成挑戰吧！,"Dear Player: \n    As a Host of the room, you haven't completed any challenge so far. Thus other players are voting to kick you out. Go to the room and complete the challenge before it's too late!",404404,친구에게: \n    방장으로서 현재 최고 1회의 도전도 진행하지 않아 다른 동료의 강퇴 투표 대상이 되었습니다. 투표는 진행중이니 아직 늦지 않았습니다. 어서 도전을 진행하세요!,,
75,Elements challenges new homeowners,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Elemental Challenge - New Host Notice,元素挑戰—新房主通知,Elemental Challenge - New Host Notice,404404,엘리멘탈 챌린지-새로운 방장 알림,Dear Player: \n    The former Host has been kicked out for inactivity. Now you are the new Host. Invite players to challenge now. It is important for you to get the Participants Reward!\n    Enjoy your game!,親愛的小夥伴:\n    妳所在的挑戰房間內前房主不作為，已被請出房間，現在妳是新房主啦，快去邀請其他小夥伴來房間挑戰吧，這對妳們是否能夠拿到所有完成挑戰的人次獎勵來說非常重要呀！\n    祝您遊戲愉快!,Dear Player: \n    The former Host has been kicked out for inactivity. Now you are the new Host. Invite players to challenge now. It is important for you to get the Participants Reward!\n    Enjoy your game!,404404,친구에게: \n    귀하가 속한 도전 방의 방장이 아무것도 하지 않아 방에서 강퇴되었습니다. 이제 귀하가 방장이 되었으며 어서 다른 동료들을 방으로 초대해 도전을 진행하세요. 방의 도전 완료 인원수 달성 보상 획득 여부와 관련된 중요한 안건입니다! \n    즐거운 게임 되세요!,,
76,Iterative Reissue of Ether Paradise Point Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Aether Paradise Point Reward Makeup,以太樂園積分獎勵未領補發,Aether Paradise Point Reward Makeup,404404,에테르파라다이스 포인트 미수령 보상 발급,Dear Player: \n    We updated contents in Point Reward. Your unclaimed reward is attached. Hope to see you again in the Aether Paradise!\n    Enjoy your game!,親愛的小夥伴:\n    我們更新了積分獎勵的內容，之前妳有達成但卻未領取的獎勵查收附件如下，希望能在以太樂園中再看到妳矯健的身姿！\n    祝您遊戲愉快!,Dear Player: \n    We updated contents in Point Reward. Your unclaimed reward is attached. Hope to see you again in the Aether Paradise!\n    Enjoy your game!,404404,친구에게: \n    포인트 보상 내용이 업데이트됐습니다. 이전에 달성했지만 아직 수령하지 않은 보상은 첨부파일에서 확인할 수 있습니다. 에테르파라다이스에서 다시 뵙길 기대하고 있겠습니다! \n    즐거운 게임 되세요!,,
77,Double Eleven winning email,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Fortune Incoming Redeem Mail,天降好運活動兌獎郵件,Fortune Incoming Redeem Mail,404404,행운이 내림' 이벤트 당첨 정보 메일,Dear Player: \n    Here is your Coupon Info from No.%d Red Pack Rain in the Fortune Incoming: \n    Coupon No.: %d; Redeem Details: %s \n    Enjoy your game!,親愛的小夥伴:\n    以下是妳在天降好運活動中，參與的第%d場紅包雨後獲得的獎券兌獎信息：\n    獎券號碼為%d號，兌獎情況為：%s \n    祝您遊戲愉快!,Dear Player: \n    Here is your Coupon Info from No.%d Red Pack Rain in the Fortune Incoming: \n    Coupon No.: %d; Redeem Details: %s \n    Enjoy your game!,404404,"친구에게: \n   아래는 귀하가 '행운이 내림' 이벤트에서 %d번째 보너스 이벤트를 참여한 후 당첨된 보상 쿠폰 교환 정보입니다: \n   쿠폰 번호는 %d번이며, 교환 상황은 아래와 같습니다: %s\n    즐거운 게임 되세요!",,
78,Cross-server Commercial Street Daily Ranking Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Cross-server Mall Daily Reward,跨服商業街日結算獎勵,Cross-server Mall Daily Reward,404404,글로벌 상업 단지 일일 결산 보상,Dear Player: \n    Congrats! You won No.%d in the Cross-server Mall (Daily Settlement). Your reward has been sent by mail. Please check in time. Keep on trying your best!\n    Enjoy your game!,親愛的小夥伴:\n    恭喜您在跨服商業街日結算時處於排行榜第%d名，結算獎勵已隨郵件發送，請及時查收。請繼續加油，早日成為金融巨鱷~ \n    祝您遊戲愉快!,Dear Player: \n    Congrats! You won No.%d in the Cross-server Mall (Daily Settlement). Your reward has been sent by mail. Please check in time. Keep on trying your best!\n    Enjoy your game!,404404,"친구에게: \n    축하합니다. 글로벌 상업 단지 결산에서 %d위를 달성하였으며, 보상을 우편으로 지급합니다. 제때 수령해 주세요. 계속해서 분발해서 금윰계의 거물이 되세요~\n    즐거운 게임 되세요!",,
79,Overall Ranking Rewards for Cross-Server Commercial Street,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Cross-server Mall Total Reward,跨服商業街總結算獎勵,Cross-server Mall Total Reward,404404,글로벌 상업 단지 최종 결산 보상,Dear Player: \n    Congrats! You won No.%d in the Cross-server Mall (Seasonal Settlement). Your reward has been sent by mail. Please check in time. Hope to see you again!\n    Enjoy your game!,親愛的小夥伴:\n    恭喜您在跨服商業街賽季結束時處於排行榜第%d名，賽季結算獎勵已隨郵件發送，請及時查收。下次，請壹定要繼續來玩呀~ \n    祝您遊戲愉快!,Dear Player: \n    Congrats! You won No.%d in the Cross-server Mall (Seasonal Settlement). Your reward has been sent by mail. Please check in time. Hope to see you again!\n    Enjoy your game!,404404,"친구에게: \n    축하합니다. 글로벌 상업 단지 최종 결산에서 %d위를 달성하였으며, 보상을 우편으로 지급합니다. 제때 수령해 주세요. 다음번에도 꼭 놀러 와주세요~\n    즐거운 게임 되세요!",,
80,Rewards for overall ranking of cross-server commercial street servers,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Cross-server Mall Server Total Reward,跨服商業街伺服器總結算獎勵,Cross-server Mall Server Total Reward,404404,글로벌 상업 단지 서버 최종 결산 보상,Dear Player: \n    Congrats! Your server won No.%d in the Cross-server Mall (Seasonal Settlement). Your reward has been sent by mail. Please check in time. Hope to see you again!\n    Enjoy your game!,親愛的小夥伴:\n    恭喜您所在的伺服器排名在跨服商業街賽季結束時處於第%d名，伺服器排行的結算獎勵已隨郵件發送，請及時查收。下次，請壹定要繼續來玩呀~ \n    祝您遊戲愉快!,Dear Player: \n    Congrats! Your server won No.%d in the Cross-server Mall (Seasonal Settlement). Your reward has been sent by mail. Please check in time. Hope to see you again!\n    Enjoy your game!,404404,"친구에게: \n    축하합니다. 글로벌 상업 단지 서버 최종 결산에서 %d위를 달성하였으며, 보상을 우편으로 지급합니다. 제때 수령해 주세요. 다음번에도 꼭 놀러 와주세요~\n    즐거운 게임 되세요!",,
81,Cross-server Commercial Street Boss Ranking Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Cross-server Mall Boss Reward,跨服商業街BOSS結算獎勵,Cross-server Mall Boss Reward,404404,글로벌 상업 단지 보스 결산 보상,Dear Player: \n    Congrats! Your total damage dealt won No.%d in the Cross-server Mall (Boss Battle). Your reward has been sent by mail. Please check in time. Thank you for keeping the peace of Mall!\n    Enjoy your game!,親愛的小夥伴:\n    恭喜您在跨服商業街BOSS戰中總傷害排行榜處於第%d名，結算獎勵已隨郵件發送，請及時查收。感謝妳為維護商業街和平所做的努力！ \n    祝您遊戲愉快!,Dear Player: \n    Congrats! Your total damage dealt won No.%d in the Cross-server Mall (Boss Battle). Your reward has been sent by mail. Please check in time. Thank you for keeping the peace of Mall!\n    Enjoy your game!,404404,"친구에게: \n    축하합니다. 글로벌 상업 단지 보스 결산에서 %d위를 달성하였으며, 보상을 우편으로 지급합니다. 제때 수령해 주세요. 상업 단지의 평화를 지켜주셔서 감사드립니다! \n    즐거운 게임 되세요!",,
82,Guild Questions and Answers Personal Ranking Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,union Q & a individual ranking Award,公會問答個人排名獎勵,union Q & a individual ranking Award,404404,길드 퀴즈 개인 랭 킹 보상,"Dear friends：\n   Congratulations on your winning the %d place in the union Q & a ， the ranking reward has been sent with the email, please check it in time. Hope to make persistent efforts and climb the summit bravely. \n  I wish you a happy game!",親愛的小夥伴:\n    恭喜您在精靈問答中獲得第%d名，排名獎勵已隨郵件發送，請及時查收。望再接再厲，勇攀高峰。\n    祝您遊戲愉快!,"Dear friends：\n   Congratulations on your winning the %d place in the union Q & a ， the ranking reward has been sent with the email, please check it in time. Hope to make persistent efforts and climb the summit bravely. \n  I wish you a happy game!",404404,"트레이너님: \n  엘 프 퀴즈 중%d위 획득 을 축하합니다. 랭 킹 보상 은 이미 메 일 에 따라 발송 하 였 습 니 다. 적절 한 시기 에 확인 하 세 요.더욱 분발 하여, 용감하게 고봉 에 오 르 기 를 바 랍 니 다.\n  즐 거 운 게임 되 세 요!",,
83,Guild Quiz Guild Ranking Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,union Q & a guild ranking Award,公會問答公會排名獎勵,union Q & a guild ranking Award,404404,길드 퀴즈 길드 랭 킹 보상,"Dear friends：\n Congratulations, your  won the %d place in the union Q & A. the ranking reward has been sent by email. Please check it in time. Hope to participate in the collective, brave new heights. \n I wish you a happy game!",親愛的小夥伴:\n    恭喜您，您所在的公會在精靈問答中獲得第%d名，排名獎勵已隨郵件發送，請及時查收。望集體參與，勇創新高。\n    祝您遊戲愉快!,"Dear friends：\n Congratulations, your  won the %d place in the union Q & A. the ranking reward has been sent by email. Please check it in time. Hope to participate in the collective, brave new heights. \n I wish you a happy game!",404404,"트레이너님: \n  축하합니다. 당신 이 속 한 길드 가 엘 프 퀴즈 중%d위 를 획득 하 였 습 니 다. 랭 킹 보상 은 이미 메 일 에 따라 발송 하 였 습 니 다. 적절 한 시기 에 확인 하 세 요.집단 참 여 를 희망 하 며, 용 기 롭 고 혁신 적 이 기 를 바란다. \n 즐 거 운 게임 되 세 요!",,
84,Preliminary Ranking Reward Email,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Ranking rewards for the first round of the house battle,部屋大作战初赛排名奖励,404404,404404,404404,"Dear friends:\n Your performance in the preliminary round of the House Wars was fantastic. Your ranking is %d. The settlement reward has been sent by email, please check it in time. \n I wish you a happy game!",亲爱的小伙伴:\n    您在部屋大作战初赛中的表现精彩绝伦，您的名次是%d，结算奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,404404,404404,404404,,
85,Ranking Reward Email for the House Battle Finals,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Ranking rewards for the first round of the house battle,部屋大作战初赛排名奖励,404404,404404,404404,"Dear friends:\n Your performance in the finals of the House Wars was fantastic. Your ranking is %d. The settlement reward has been sent by email, please check it in time. \n I wish you a happy game!",亲爱的小伙伴:\n    您在部屋大作战决赛中的表现精彩绝伦，您的名次是%d，结算奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,404404,404404,404404,,
86,Preliminary competition quiz reward email,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Preliminary competition quiz reward,部屋大作战初赛竞猜奖励,404404,404404,404404,"Dear friends:\n You are in the preliminary quiz of the room battle, your guess result is %s, the settlement reward has been sent with the email, please check it in time. \n I wish you a happy game!",亲爱的小伙伴:\n    您在部屋大作战初赛竞猜中，您竞猜结果是%s，结算奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,404404,404404,404404,,
87,The final quiz reward email of the house battle,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Preliminary competition quiz reward,部屋大作战初赛竞猜奖励,404404,404404,404404,"Dear friends:\n You are in the final quiz of the big battle in the room, your guess result is %s, the settlement reward has been sent by email, please check it in time. \n I wish you a happy game!",亲爱的小伙伴:\n    您在部屋大作战决赛竞猜中，您竞猜结果是%s，结算奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,404404,404404,404404,,
88,Preliminary competition quiz reward email,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,404404,,404404,404404,404404,404404,404404,404404,404404,404404,,
89,The final quiz reward email of the house battle,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,404404,,404404,404404,404404,404404,404404,404404,404404,404404,,
,,,,,,,,,,,,,,,,,,,,
101,lost elf mail,2,,Pokémon Center,精靈中心,Pokémon Center,404404,포켓몬 센터,Lost Pokémon Mail,遺失精靈郵件,Lost Pokémon Mail,Di thất tinh linh bưu kiện,사라진 포켓몬 우편,"""Dear trainer:\n    We found a few missing Pokémons, please bring them home soon! \n    All the best for your adventure!""",親愛的訓練家:\n    在精靈中心發現了幾隻迷路的小傢伙，請您及時領回~\n    祝您冒險愉快!,"""Dear trainer:\n    We found a few missing Pokémons, please bring them home soon! \n    All the best for your adventure!""",404404,"안녕하세요,트레이너님: \n포켓몬센터에서 길 잃은 꼬마 몇 마리를 발견하였습니다.트레이너님의 \n      모험을 즐기시기를 바랍니다.",,
102,Elf Month Card Mail,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Monthly subscription unclaimed rewards notice,精靈月卡通知,Monthly subscription unclaimed rewards notice,404404,포켓몬 월간카드 알림,"Dear trainer: \n    As you've not claimed the Monthly Subscription  daily rewards given on the day before, please check the rewards that have been sent via mail. n    Happy gaming!",親愛的訓練家:\n    這是今日的精靈月卡每日獎勵，獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear trainer: \n    As you've not claimed the Monthly Subscription  daily rewards given on the day before, please check the rewards that have been sent via mail. n    Happy gaming!",404404,트레이너님: \n   오늘의 포켓몬 월간카드 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,,
103,Master Monthly Card Email,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Extreme Month Card Replacement notice,大師月卡通知,Extreme Month Card Replacement notice,404404,마스터 월간카드 알림,"Dear trainer: \n    As you've not claimed the Supreme Monthly Subscription daily rewards given on the day before, please check the rewards that have been sent via mail.  n    Happy gaming!",親愛的訓練家:\n   這是今日的大師月卡每日獎勵，獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear trainer: \n    As you've not claimed the Supreme Monthly Subscription daily rewards given on the day before, please check the rewards that have been sent via mail.  n    Happy gaming!",404404,트레이너님: \n   오늘의 포켓몬 마스터 월간카드 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,,
104,Resend emails for operating event rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,%s rewards return,%s獎勵補發,%s rewards return,404404,%s 보상 지급,"Dear trainer:\n    Since you have not claimed the rewards completed during the event, we're reissuing the rewards to you. Please check and claim the following rewards.\n    Happy gaming!",親愛的訓練家:\n    由於您在活動時間內未領取已完成的目標獎勵，特此進行郵件補發獎勵，以下為您未領取的活動獎勵，請及時查收。\n    祝您遊戲愉快!,"Dear trainer:\n    Since you have not claimed the rewards completed during the event, we're reissuing the rewards to you. Please check and claim the following rewards.\n    Happy gaming!",404404,트레이너님: \n   이벤트 기간 중 수령하지 않은 목표 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,,
105,Agree to membership application,1,,Alliance Human Resource Center,聯盟人事中心,Alliance Human Resource Center,404404,연맹 인사본부,Your union request has been processed,您的入會申請已受理,Your union request has been processed,404404,가입 신청 처리 완료,Dear trainer:\n  %s has approved your request to join the union. Time to say hello to your union members!,親愛的訓練家:\n  %s通過了您的入會申請，快到公會和大家打個招呼吧。,Dear trainer:\n  %s has approved your request to join the union. Time to say hello to your union members!,404404,트레이너님: \n   %s 님이 길드 가입 신청을 승인했습니다. 어서 길드원들과 인사를 나누세요.,,
106,Newbie welcome email,2,,Pokémon Alliance,精靈聯盟,Pokémon Alliance,Tinh linh liên minh,포켓몬 연맹,Welcome to the Pokémon World,歡迎您來到口袋精靈世界,Welcome to the Pokémon World,Chào mừng ngài đi vào túi thế giới pokemon,포켓몬 세계에 오신 것을 환영합니다,"Dear trainer:\n    Welcome to this mysterious and interesting Pokémon World. This is a small token for you, hope that this can help you in your future adventure.\n    Happy gaming!",親愛的小夥伴:\n    歡迎您加入神秘有趣的口袋精靈世界，這是一點小禮物，希望能在今後的旅途中幫助到你。\n    祝您遊戲愉快!,"Dear trainer:\n    Welcome to this mysterious and interesting Pokémon World. This is a small token for you, hope that this can help you in your future adventure.\n    Happy gaming!","Thân ái tiểu đồng bọn:\n   Chào mừng ngài gia nhập thần bí thú vị túi thế giới pokemon, đây là một điểm nhỏ lễ vật, hi vọng có thể tại sau này đang đi đường trợ giúp cho ngươi.\n    Chúc ngài trò chơi vui sướng!",트레이너님: \n   신비한 포켓몬 세계에 오신 것을 환영합니다. 환영의 뜻으로 작은 선물을 준비했습니다. 부디 앞으로의 여정에 도움이 되길 바랍니다. \n   즐거운 게임 되시길 바랍니다!,{rmb=50;gold=20000;11=50},
107,reward mail,2,,Pokémon Alliance,精靈聯盟,Pokémon Alliance,Tinh linh liên minh,포켓몬 연맹,Rewards mail,獎勵郵件,Rewards mail,404404,보상 우편,"Dear trainer:\n    Welcome to this mysterious and interesting Pokémon World. This is a small token for you, hope that this can help you in your future adventure.\n    Happy gaming!",親愛的小夥伴:\n    歡迎您加入神秘有趣的口袋精靈世界，這是一點小禮物，希望能在今後的旅途中幫助到你。\n    祝您遊戲愉快!,"Dear trainer:\n    Welcome to this mysterious and interesting Pokémon World. This is a small token for you, hope that this can help you in your future adventure.\n    Happy gaming!","Thân ái tiểu đồng bọn:\n   Chào mừng ngài gia nhập thần bí thú vị túi thế giới pokemon, đây là một điểm nhỏ lễ vật, hi vọng có thể tại sau này đang đi đường trợ giúp cho ngươi.\n    Chúc ngài trò chơi vui sướng!",트레이너님: \n   신비한 포켓몬 세계에 오신 것을 환영합니다. 환영의 뜻으로 작은 선물을 준비했습니다. 부디 앞으로의 여정에 도움이 되길 바랍니다. \n   즐거운 게임 되시길 바랍니다!,{gold=10},
