变量名,fmt,fmt_tw,fmt_en,fmt_vn,fmt_kr
63004,4. Weekly tasks are refreshed at 05:00 every Monday,4.周常任務為每週一的5點刷新,4. Weekly tasks are refreshed at 05:00 every Monday,,4. 주간 퀘스트는 매주 월요일 0시에 갱신됩니다.
63005,5. Trainers can buy #C0xF76B45##F48# Master Pass #C0x5b545b##F40# to get more rewards,5.玩家可購買#C0xF76B45##F48#大師通行證#C0x5b545b##F40#來獲得更多的獎勵,5. Trainers can buy #C0xF76B45##F48# Master Pass #C0x5b545b##F40# to get more rewards,,5. 유저는 #C0xF76B45##F48#마스터 패스#C0x5b545b##F40#를 구매해 더 많은 보상을 획득할 수 있습니다.
63006,"6. During the event period, players can only buy either the Master Pass or the Master Pass Gold Pack and limited to one purchase","6.活動時間內, 大師通行證和大師通行證黃金包 僅限購買二選一且限購1次","6. During the event period, players can only buy either the Master Pass or the Master Pass Gold Pack and limited to one purchase",,
,,,,,
64001,"1.Every trainer has a free single draw, which will be reset at 00:00.",1.玩家每天會有一次免費抽取的機會，重置時間為次日5點,"1.Every trainer has a free single draw, which will be reset at 00:00.",,"""1. 유저는 매일 무료로 뽑기 기회가 주어지며, 초기화 시간은 다음 날 0시입니다."""
64002,"2. Trainers get corresponding points after each draw, and will be ranked according to the points earned",2.每次抽取後玩家會獲得相應的積分，會根據玩家的積分高低進行排名,"2. Trainers get corresponding points after each draw, and will be ranked according to the points earned",,"""2. 뽑기 시 유저는 상응하는 포인트를 획득하며, 유저의 포인트에 따라 순위가 결정됩니다."""
64003,3. Trainer's rank and points will be updated in real time,3.玩家的積分排名將即時更新,3. Trainer's rank and points will be updated in real time,,3. 유저의 포인트 순위는 실시간으로 갱신됩니다.
64004,"4. When trainers have the same No. of points, they will be ranked according to who reaches the points first",4.玩家積分相同時，則根據達到該積分的先後順序進行排名，優先的在前,"4. When trainers have the same No. of points, they will be ranked according to who reaches the points first",,"""4. 유저의 포인트가 동일할 경우, 해당 포인트을 달성한 순서에 따라 순위가 결정됩니다."""
64005,5. The ranking displays top 30 trainers,5.排名顯示前30名玩家,5. The ranking displays top 30 trainers,,5. 순위는 상위 30명의 유저만 표시됩니다.
,,,,,
65001,1. Trainers can get point rewards when they earned a specified number of points. Each level of point rewards can only be claimed once.,1.玩家達到規定積分可領取積分獎勵，每檔積分獎勵限領1次,1. Trainers can get point rewards when they earned a specified number of points. Each level of point rewards can only be claimed once.,,"""1. 플레이어가 지정 포인트를 달성하면 포인트 보상을 수령할 수 있고, 각 포인트 보상은 1번만 수령이 가능합니다."""
65002,2. Rewards will be given at 21:30 on the last day of the event.,2.活動會在最後一天的21:30時進行獎勵結算,2. Rewards will be given at 21:30 on the last day of the event.,,2. 이벤트는 마지막 날 21:30에 보상 결산을 진행합니다.
65003,"3. At the end of the event, the system will distribute ranking rewards via email according to the points ranking",3.活動結束系統根據積分排名來通過郵件進行排名獎勵的發放,"3. At the end of the event, the system will  distribute ranking rewards via email according to the points ranking",,3. 이벤트 종료 후 시스템이 포인트 순위에 따라 우편으로 보상을 지급합니다.
65004,4.Ranking rewards are given based on the points and ranking of the trainer. Only points based reward is given if not reaches the points limitation of certain rank.,4.排名獎勵根據玩家的積分和排名發放排名獎勵，玩家若未達到排名限制的積分則發放與自己對應檔位積分的獎勵。,4.Ranking rewards are given based on the points and ranking of the trainer. Only points based reward is given if not reaches the points limitation of certain rank.,,"""4. 순위 보상은 유저의 포인트와 순위에 따라 발송되며, 유저가 순위의 제한 포인트를 달성하지 못한 경우, 자신에게 해당하는 포인트의 보상만 획득할 수 있습니다."""
,,,,,
66001,1. Complete daily quests to get Privilege Coins,1.完成日常任務可獲得特權幣,1. Complete daily quests to get Privilege Coins,,1. 매일 일일 퀘스트 완료 시 특권 코인을 획득할 수 있습니다.
66002,2. Privilege Coins can be obtained from monthly subscription daily rewards.,2.月卡每日獎勵可獲得特權幣,2. Privilege Coins can be obtained from monthly subscription daily rewards.,,2. 월간카드의 일일 보상을 통해 특권 코인을 획득할 수 있습니다.
66003,3. Privilege Coins can be used to upgrade Privileged Moves,3.特權幣可用作升級特權技能使用,3. Privilege Coins can be used to upgrade Privileged Moves,,3. 특권 코인으로 특권 기술을 레벨업할 수 있습니다.
66004,"4. Trainers also get a chance to obtain Privilege Coins in ordinary operating events, so stay tuned!",4.平時運營活動中也有獲得特權幣機會，敬請期待,"4. Trainers also get a chance to obtain Privilege Coins in ordinary operating events, so stay tuned!",,4. 운영 이벤트를 통해서도 특권 코인을 획득할 수 있습니다. 많은 기대 바랍니다.
,,,,,
67001,"1. Explorer Device components can be upgraded, and each upgrade consumes the corresponding materials",1.探險器的元件可進行升級，每次升級消耗對應材料,"1. Explorer Device components can be upgraded, and each upgrade consumes the corresponding materials",,"""1. 탐지기의 부품은 레벨업이 가능하며, 레벨업 시 해당하는 재료를 소모합니다."""
67002,2. Explorer Device can be activated once all the components are activated,2.單一探險器的組件全啟動後，可啟動探險器,2. Explorer Device can be activated once all the components are activated,,2. 탐지기의 부품을 모두 활성화하면 탐지기를 활성화할 수 있습니다.
67003,3. Advanced Explorer Device must correspond with components and Upgraded Explorer Device of the same level.,3.進階探險器必須對應元件等級和升級探險器的等級一致,3. Advanced Explorer Device must correspond with components and Upgraded Explorer Device of the same level.,,3. 탐지기 진급 시 해당하는 부품 레벨과 탐지기 레벨이 일치해야 합니다.
67004,4. Players can decompose excess components to get Treasure Hunt Coins,4.玩家可對多餘的元件進行分解獲得尋寶幣,4. Players can decompose excess components to get Treasure Hunt Coins,,4. 유저는 남는 부품을 분해해 보물찾기 코인을 획득할 수 있습니다.
67005,5. Treasure hunt coins can be used to purchase items from the Explorer Shop,5.尋寶幣可用作探險商店裡的商品購買,5. Treasure hunt coins can be used to purchase items from the Explorer Shop,,5. 보물찾기 코인은 탐험 상점에서 상품 구매에 사용할 수 있습니다.
67006,6. Trainers have one free treasure hunt per day,6.玩家每天有一次免費的尋寶次數,6. Trainers have one free treasure hunt per day,,6. 유저는 매일 무료로 보물찾기 기회가 주어집니다.
67007,7. Explorer Device type will be adjusted during the Indigo Plateau Conference,7.探險器屬性會在石英大會中進行修正調整,7. Explorer Device type will be adjusted during the Indigo Plateau Conference,,7. 탐지기의 속성은 석영 대회에서 수정할 수 있습니다.
,,,,,
68001,1. Complete quests daily to get chances to draw,1.每天完成任務可獲得抽取次數,1. Complete quests daily to get chances to draw,,1. 매일 일일 퀘스트 완료 시 뽑기 횟수를 획득할 수 있습니다.
68002,2. There's a limit to the number of draws available daily,2.每天可獲得的抽取次數有上限,2. There's a limit to the number of draws available daily,,2. 매일 획득 가능한 뽑기 횟수는 제한이 있습니다.
68003,3. Draw to guarantee getting prizes,3.抽取可100%獲得獎勵,3. Draw to guarantee getting prizes,,3. 뽑기 시 보상을 100% 획득할 수 있습니다.
68004,4. Draw chances and get free chances when the quest reset at 05:00 the next day,4.次日5點重置任務可獲得的抽取機會和免費次數,4. Draw chances and get free chances when the quest reset at 05:00 the next day,,4. 다음 날 0시에 퀘스트로 획득할 수 있는 뽑기 기회와 무료 횟수가 초기화됩니다.
68005,5. You can accumulate the nu. of draws,5.抽取次數可累積使用,5. You can accumulate the nu. of draws,,5. 뽑기 횟수는 누적 사용할 수 있습니다.
68006,6. The number of draws is only valid during the event period,6.抽取次數只對本期活動有效,6. The number of draws is only valid during the event period,,6. 뽑기 횟수는 이번 이벤트에서만 유효합니다.
,,,,,
69001,"1. You can get a certain number of points with purchase, which can be used for spinning the wheel",1.通過儲值可獲得一定積分，積分可用作轉盤抽取使用,"1. You can get a certain number of points with purchase, which can be used for spinning the wheel",,"""1. 충전을 통해 일정 포인트를 획득하며, 포인트는 룰렛 뽑기에 사용할 수 있습니다."""
69002,2. 100% chance of getting rewards,2.100%可獲得獎勵,2. 100% chance of getting rewards,,2. 보상을 100% 획득할 수 있습니다.
69003,3. There is a limit to the number of points players can collect daily,3.每日可獲得積分有上限，達到上限後，今日積分不再獲得,3. There is a limit to the number of points players can collect daily,,"""3. 매일 획득 가능한 포인트는 제한이 있으며, 한도 도달 시 더는 획득할 수 없습니다."""
69004,4. Drawing all will use up all the available points,4.全部抽取會消耗所有可用積分,4. Drawing all will use up all the available points,,4. 전체 뽑기 시 모든 포인트를 소모합니다.
69005,5. My points can be kept until the event ends,5.我的積分可保留至活動結束,5. My points can be kept until the event ends,5. Điểm được bảo lưu đến khi kết thúc sự kiện,5. 포인트는 이벤트 종료 전까지만 유지됩니다.
69006,6. Points are only valid during the event period,6.積分只對當期活動有效,6. Points are only valid during the event period,6. Điểm chỉ có hiệu lực trong sự kiện,6. 포인트는 이번 이벤트에서만 유효합니다.
69007,7. Purchase points refreshes at 05:00 on the next day,7.次日5點刷新儲值積分,7. Purchase points refreshes at 05:00 on the next day,7. 5h hôm sau làm mới điểm nạp,7. 다음 날 0시에 충전 포인트가 갱신됩니다.
,,,,,
70001,1. Trainers can use Gashapon Coins or Diamonds to get a chance to spin a Gashapon,1.玩家可用扭蛋幣或直接用鑽石進行扭蛋機的抽取,1. Trainers can use Gashapon Coins or Diamonds to get a chance to spin a Gashapon,,1. 유저는 뽑기 코인 또는 다이아를 소모해 뽑기 기계에서 뽑기를 진행할 수 있습니다.
70002,3. Gashapon points can be drawn from the Gashapon machine to exchange for items,3.扭蛋機中可抽出扭蛋積分用來兌換道具物品,3. Gashapon points can be drawn from the Gashapon machine to exchange for items,,3. 뽑기 기계에서는 뽑기 포인트로 아이템을 교환할 수 있습니다.
70003,4. Gashapon Points are only valid during the current event period and will be invalid once it expires,4.扭蛋積分只針對當期活動有效，過期作廢,4. Gashapon Points are only valid during the current event period and will be invalid once it expires,,4. 뽑기 포인트는 이번 이벤트에서만 유효합니다.
70004,5. One free Gashapon is given daily,5.每日有一次免費扭蛋的機會,5. One free Gashapon is given daily,,5. 매일 1회 무료로 뽑기를 진행할 수 있습니다.
70005,6. The No. of times resets at 05:00 on the next day,6.次日5點重置免費次數,6. The No. of times resets at 05:00 on the next day,,6. 다음 날 0시에 무료 횟수가 초기화됩니다.
,,,,,
71001,1. Single purchase can get diamond returns that corresponds the number of diamonds received,1.單筆儲值對應鑽石可獲得返鑽,1. Single purchase can get diamond returns that corresponds the number of diamonds received,,1. 다이아 단일 충전 시 상응하는 반환 다이아를 획득할 수 있습니다.
71002,2. Total purchase is not included in the event,2.累計儲值不計入活動中,2. Total purchase is not included in the event,,2. 누적 충전은 이벤트에 반영되지 않습니다.
71003,3. One account can only claim the returns once,3.每檔返利限領一次,3. One account can only claim the returns once,,3. 각 반환 혜택은 한 번만 수령할 수 있습니다.
71004,4. Direct purchase gift packs and monthly subscription are excluded in this event,4.直購禮包和月卡不參與此活動,4. Direct purchase gift packs and monthly subscription are excluded in this event,,4. 직구 패키지와 월간카드는 본 이벤트에 포함되지 않습니다.
,,,,,
72001,1. Training bonus types require trainers to own the same type of Pokémon that has reached a certain star level to be effective.,1.培養加成屬性，需要精靈背包內同系列精靈培養至一定的星級後自動生效,1. Training bonus types require trainers to own the same type of Pokémon that has reached a certain star level to be effective.,,1. 육성 보너스 속성은 포켓몬 가방 안에 같은 계열의 포켓몬을 일정 성급까지 육성할 경우 자동으로 적용됩니다.
72002,"2. Increasing bonus stats are effective for all Pokémons; if there are multiple Pokémons in the same evolution series, total Pokédex bonus will only be taken once.",2.培養加成屬性，對所有精靈生效；若同一進化系列有多個精靈時，總的圖鑒加成隻會計算一次,"2. Increasing bonus stats are effective for all Pokémons; if there are multiple Pokémons in the same evolution series, total Pokédex bonus will only be taken once.",,"""2. 육성 보너스 속성은 모든 포켓몬에게 적용되며, 동일 진화 계열의 포켓몬이 다수 있을 경우 도감 보너스는 한 번만 적용됩니다."""
72003,"3. The bonus training stats are calculated based on the highest star level among the Pokémon of same series in the bag; if the Pokémon with the highest star is decomposed, it will be recalculated based on the Pokémon with second highest star level in the bag",3.培養加成屬性，是按照精靈背包內所有同系列精靈的最高星級來計算；若擁有最高星級的精靈被分解，則會按照精靈背包內次高星級的精靈星級重新計算,"3. The bonus training stats are calculated based on the highest star level among the Pokémon of same series in the bag; if the Pokémon with the highest star is decomposed, it will be recalculated based on the Pokémon with second highest star level in the bag",,"""3. 육성 보너스 속성은 포켓몬 가방 내 모든 동일 계열의 포켓몬 중 최고 성급을 기준으로 계산합니다. 만약 보유 중인 최고 성급 포켓몬을 분해할 경우, 포켓몬 가방 내 다음 성급의 포켓몬을 기준으로 적용됩니다."""
72004,"4. If the total number of Pokémons of a certain series in the bag is 0, the corresponding training bonus stats will also be 0",4.若精靈背包內某一系列精靈總數量為0，則對應的培養加成屬性為0,"4. If the total number of Pokémons of a certain series in the bag is 0, the corresponding training bonus stats will also be 0",,"""4. 포켓몬 가방 안에 특정 계열의 포켓몬 총 수량이 0인 경우, 해당하는 육성 보너스 속성은 0입니다."""
,,,,,
73001,"1. The more the IV is being refreshed, the higher the base value of a single IV",1.個體值洗煉次數越多，單項個體值保底數值越高,"1. The more the IV is being refreshed, the higher the base value of a single IV","1. Lần tẩy luyện Individual Value càng nhiều, giá trị tối thiểu của từng Individual Value càng cao",1. 개체값 재련 횟수가 높을수록 단일 개체값의 최저 보장 수치가 증가합니다.
73002,"2. When a single IV is #C0xF76B45##L10#[perfectly]#C0x5b545b# refreshed, additional type bonus will be given",2.單項個體值#C0xF76B45##L10#【完美】#C0x5b545b#洗煉時，可獲得額外的屬性加成,"2. When a single IV is #C0xF76B45##L10#[perfectly]#C0x5b545b# refreshed, additional type bonus will be given","2. Mỗi Individual Value khi tẩy luyện #C0xF76B45##L10#[Hoàn Mỹ]#C0x5b545b#, được tăng thêm thuộc tính",2. 단일 개체값을 #C0xF76B45##L10#[완벽]#C0x5b545b# 재련할 경우 추가 속성 보너스를 획득할 수 있습니다.
73003,"3. When all six IVs are #C0xF76B45##L10# [Perfectly]#C0x5b545b# refreshed, additional type bonus will be given",3.六項個體值全部#C0xF76B45##L10#【完美】#C0x5b545b#洗煉時，可獲得更高的額外屬性加成,"3. When all six IVs are #C0xF76B45##L10# [Perfectly]#C0x5b545b# refreshed, additional type bonus will be given","3. Toàn bộ 6 Individual Value đều tẩy luyện #C0xF76B45##L10#[Hoàn Mỹ]#C0x5b545b#, nhận tăng thuộc tính cao hơn",3. 여섯 개의 개체값을 #C0xF76B45##L10#[완벽]#C0x5b545b# 재련할 경우 더 높은 추가 속성 보너스를 획득할 수 있습니다.
,,,,,
74001,1. Registration time: #C0xF76B45#13:00-21:50 on Monday and Friday,1.報名時間：#C0xF76B45#週一、週五10:00-18:50,1. Registration time: #C0xF76B45#13:00-21:50 on Monday and Friday,"1.Thời gian đăng ký: #C0xF76B45# 10:00-18:50 thứ 2, 6","""1. 신청 시간: #C0xF76B45#월, 금요일 10:00~18:50"""
74002,2. Tournament period: #C0xF76B45#Monday and Tuesday/Friday and Saturday at 22:00,2.比賽時間：#C0xF76B45#週一、週二/週五、週六19:00,2. Tournament period: #C0xF76B45#Monday and Tuesday/Friday and Saturday at 22:00,"2.Thời gian thi đấu: #C0xF76B45# 19:00 thứ 2, 3/ thứ 6, 7","""2. 경기 시간: #C0xF76B45#월, 화/금, 토요일 19:00"""
74003,3. Trainers can select up to 12 Pokémons to battle during the registration. Pokémons can be switched after the registration,3.報名時最多選擇12名精靈上場，報名成功後可自由替換精靈,3. Trainers can select up to 12 Pokémons to battle during the registration. Pokémons can be switched after the registration,"3. Khi đăng ký chọn tối đa 12 Pokémon lên trận, đăng ký thành công được tự do thay đổi Pokémon","""3. 신청 시 최대 12마리의 포켓몬 출전이 가능하며, 참가 신청 성공 후에도 자유롭게 포켓몬을 교체할 수 있습니다."""
74004,"4. The tournament will last for 2 days, including qualifiers, promotions, pro battles. The top 8 players who emerge from the promotional games are qualified for the pro battles.",4.比賽分2天進行，包括預選賽、晉級賽、巔峰賽，晉級賽的8強可進入巔峰賽,"4. The tournament will last for 2 days, including qualifiers, promotions, pro battles. The top 8 players who emerge from the promotional games are qualified for the pro battles.","4. Thi đấu chia 2 ngày, gồm Vòng Loại, Vòng Tăng Cấp, Vòng Đỉnh Cao, TOP8 của Vòng Tăng Cấp vào Vòng Đỉnh Cao","""4. 경기는 2일간 진행되며, 예선전, 승급전, 정상전을 포함합니다. 승급전 8강은 정상전에 진출합니다."""
74006,5. Trainers of VIP 3 and above register automatically everyday,5.VIP3以上的玩家每天可以自動報名,5. Trainers of VIP 3 and above register automatically everyday,5. Người chơi VI{3 trở lên có thể đăng ký tự động hàng ngày,5. VIP 3레벨 이상의 유저는 매일 자동으로 참가 신청을 진행합니다.
74007,"6. Each qualifying match lasts for 4 minutes, while each promotional match and pro battle lasts for 5 minutes",6.預選賽每場比賽持續4分鐘，晉級賽和巔峰賽每場比賽持續5分鐘,"6. Each qualifying match lasts for 4 minutes, while each promotional match and pro battle lasts for 5 minutes ","6. Mỗi trận đấu Vòng Loại dài 4 phút, mỗi trận Vòng Tăng Cấp và Vòng Đỉnh Cao dài 5 phút","""6. 예선전 경기는 4분간 진행되며, 승급전과 정상전 경기는 5분간 진행됩니다."""
,,,,,
75001,13:00-21:50 on Day1 —— Registration,第1天10:00-18:50——報名,13:00-21:50 on Day1 —— Registration,10:00-18:50 ngày 1——Đăng ký,1일 차 10:00~18:50 - 신청
75002,22:00-22:16 on the 1st day —— First match of the qualifiers,第1天19:00-19:16——預選賽第一輪比賽,22:00-22:16 on the 1st day —— First match of the qualifiers,19:00-19:16 ngày 1——Vòng Loại 1,1일 차 19:00~19:16 - 예선전 1라운드 경기
75003,22:16-22:32 on the 1st day —— Second match of the qualifiers,第1天19:16-19:32——預選賽第二輪比賽,22:16-22:32 on the 1st day —— Second match of the qualifiers,19:16-19:32 ngày 1——Vòng Loại 2,1일 차 19:16~19:32 - 예선전 2라운드 경기
75004,22:32 on Day 1 -22:50 on Day 2 —— Off days,第1天19:32-第2天18:50——休息時間,22:32 on Day 1 -22:50 on Day 2 —— Off days,19:32 ngày 1-18:50 ngày 2——Nghỉ giải lao,1일 차 19:32~2일 차 18:50 - 휴식 시간
75005,22:00-22:16 on the 2nd day —— Third match of the qualifiers,第2天19:00-19:16——預選賽第三輪比賽,22:00-22:16 on the 2nd day —— Third match of the qualifiers,19:00-19:16 ngày 2——Vòng Loại 3,2일 차 19:00~19:16 - 예선전 3라운드 경기
75006,22:16-22:31 the next day —— Qualifying match,第2天19:16-19:31——晉級賽,22:16-22:31 the next day —— Qualifying match,19:16-19:31 ngày 2——Vòng Tăng Cấp,2일 차 19:16~19:31 - 승급전
75007,22:31-22:46 on the 2nd day —— Pro Battle,第2天19:31-19:46——巔峰賽,22:31-22:46 on the 2nd day —— Pro Battle,19:31-19:46 ngày 2——Vòng Đỉnh Cao,2일 차 19:31~19:46 - 정상전
,,,,,
76001,1. The qualifier adopts a point eliminated system,1.預選賽為積分淘汰制,1. The qualifier adopts a point eliminated system,"1. Vòng Loại áp dụng loại điểm ",1. 예선전은 포인트 승자전으로 진행됩니다.
76002,"2. There are 3 rounds of qualifiers, 2 rounds on the first day and 1 on the second day. There will be 4 rounds of 12 matches in total, each lasting 4 minutes.",2.預選賽分為3輪，第1天進行2輪，第2天進行1輪。每輪進行4場比賽，一共12場比賽，每場比賽4分鐘,"2. There are 3 rounds of qualifiers, 2 rounds on the first day and 1 on the second day. There will be 4 rounds of 12 matches in total, each lasting 4 minutes.","2. Vòng Loại chia 3 vòng, ngày 1 2 vòng, ngày 2 1 vòng. Mỗi vòng có 4 trận, tổng 12 trận, mỗi trận 4 phút","""2. 예선전은 총 3라운드로 구성되며, 1일 차에 2개 라운드, 2일 차에 1개 라운드가 진행됩니다. 경기는 라운드당 4회, 총 12회 진행되며, 각 경기는 4분간 진행됩니다."""
76003,3. Trainers get the corresponding number of points for entering each match.,3.每進行一場比賽，玩家可獲得相應積分,3. Trainers get the corresponding number of points for entering each match.,"3. Mỗi 1 trận đấu, người chơi nhận điểm tương ứng",3. 매회 경기에서 유저는 포인트를 획득할 수 있습니다.
76004,4. The contestant is eliminated if the team losses #C0xF76B45#5 matches in total,4.預選賽累計#C0xF76B45#5負直接淘汰出局,4. The contestant is eliminated if the team losses #C0xF76B45#5 matches in total,4. Vòng Loại tích luỹ #C0xF76B45#5 thua sẽ bị loại,4. 예선전 #C0xF76B45#누적 5회 패배 시 탈락합니다.
76005,"5. Pokémons cannot be used repeatedly for single round matches, but Pokémons can be reused for different matches",5.單輪比賽精靈不能重複使用，不同輪次之間精靈可重複使用,"5. Pokémons cannot be used repeatedly for single round matches, but Pokémons can be reused for different matches","5. Mỗi vòng thi đấu không thể sử dụng lặp Pokémon, giữa các vòng có thể sử dụng lặp","""5. 한 라운드 내 경기에서 포켓몬은 중복 사용할 수 없으며, 다른 라운드에서는 가능합니다."""
,,,,,
77001,"1. At the end of the qualifying matches, the top 64 will be selected according to their rankings for the promotion matches. The promotion matches will be conducted in 8 different battlefields",1.預選賽結束後根據排名選出前64強進行晉級賽，晉級賽分為8個賽場,"1. At the end of the qualifying matches, the top 64 will be selected according to their rankings for the promotion matches. The promotion matches will be conducted in 8 different battlefields","1. Kết thúc Vòng Loại, xếp hạng TOP64 vào Vòng Tăng Cấp, vòng này chia thành 8 trận","""1. 예선전 종료 후 순위에 따라 상위 64위를 선발해 승급전을 진행하며, 승급전은 경기가 8회 진행됩니다."""
77002,"2. The promotional match is conducted in the elimination formation, including the top 32, top 16 and top 8 matches",2.晉級賽為淘汰制，其中包括32強賽、16強賽、8強賽共三場比賽,"2. The promotional match is conducted in the elimination formation, including the top 32, top 16 and top 8 matches","2. Vòng Tăng Cấp áp dụng loại trực tiếp, trong đó có 3 vòng đấu Vòng TOP32, Vòng TOP16, VÒng TOP8","""2. 승급전은 토너먼트제로, 32강전, 16강전, 8강전 경기를 포함합니다."""
77003,"3. Each match lasts for 5 minutes, players are eliminated when they're defeated",3.每場比賽5分鐘，失敗的即為淘汰,"3. Each match lasts for 5 minutes, players are eliminated when they're defeated","3. Mỗi trận đấu 5 phút, thua sẽ bị loại","""3. 각 경기는 5분간 진행되며, 패배 즉시 탈락합니다."""
77004,4. Pokémon cannot be used repeatedly,4.精靈不能重複使用,4. Pokémon cannot be used repeatedly,,4. 포켓몬은 중복 사용할 수 없습니다.
,,,,,
78001,1. The 8 players who won the promotional match can enter the Pro Battle,1.晉級賽最後勝利的8名玩家可進入巔峰賽,1. The 8 players who won the promotional match can enter the Pro Battle,1. 8 người chơi chiến thắng Vòng Tăng Cấp vào Vòng Đỉnh Cao,1. 승급전 최후 승자 8명은 정상전에 진출할 수 있습니다.
78002,"2. The Pro Battle is conducted in the elimination format with 4 matches, including quarterfinals, semi-finals, championship match and third place match",2.巔峰賽為淘汰制，包括4強賽、半決賽、冠軍賽、季軍賽四場比賽,"2. The Pro Battle is conducted in the elimination format with 4 matches, including quarterfinals, semi-finals, championship match and third place match","2. Vòng Đỉnh Cao áp dụng loại trực tiếp, gồm 4 vòng đấu Vòng TOP4, Vòng Bán Kết, Vòng Quán Quân, Vòng Hạng Ba","""2. 정상전은 토너먼트제로, 4강전, 준결승전, 결승전, 3·4위전 경기를 포함합니다."""
78003,3. Championship and Third Place Match are conducted concurrently,3.冠軍賽和季軍賽是同時進行,3. Championship and Third Place Match are conducted concurrently,3. Vòng Quán Quân và Vòng Hạng Ba tổ chức cùng lúc,3. 결승전과 3·4위전은 동시에 진행됩니다.
78004,4. Duration of each match is 5 minutes,4.每場比賽5分鐘時間,4. Duration of each match is 5 minutes,4. Mỗi trận đấu 5 phút,4. 각 경기는 5분간 진행됩니다.
78005,5. Pokémon cannot be used repeatedly,5.精靈不能重複使用,5. Pokémon cannot be used repeatedly,,5. 포켓몬은 중복 사용할 수 없습니다.
,,,,,
79001,"1. The qualifiers, promotions and pro battles are conducted in a 3v3 tag match format.",1.預選賽、晉級賽和巔峰賽均為3V3的車輪戰,"1. The qualifiers, promotions and pro battles are conducted in a 3v3 tag match format.","1. Vòng Loại, Vòng Tăng Cấp và Vòng Đỉnh Cao đều là đấu vòng tròn 3V3","""1. 예선전, 승급전, 정상전은 모두 3대3 태그매치로 진행됩니다."""
79002,"2. Among the Pokémons in battle, the one with the highest Speed makes the first move",2.上陣的精靈，根據精靈自身的速度，速度高的優先出手,"2. Among the Pokémons in battle, the one with the highest Speed makes the first move","2. Pokémon lên trận, Pokémon có tốc độ cao hơn ưu tiên ra đòn",2. 출전 포켓몬의 스피드 수치가 빠른 쪽이 먼저 공격합니다.
79003,"3. In an 1v1 battle, it last for 10 rounds at most",3.精靈1v1對戰，最高戰鬥為10回合,"3. In an 1v1 battle, it last for 10 rounds at most","3. Pokémon chiến đấu 1v1, tối đa 10 hiệp","""3. 두 포켓몬은 1대1 대전을 벌이며, 최대 10턴간 전투가 진행됩니다."""
79004,"4. If the winner is undecided at the end of the 10th round, the party with the higher HP percentage wins",4.10回合結束後雙方未分勝負，若雙方血量都高於90%，則按照造成傷害較高的一方勝出，若其中只要有一方血量百分比低於90%，則按照最終血量百分比較高的一方勝出,"4. If the winner is undecided at the end of the 10th round, the party with the higher HP percentage wins",,"""4. 턴 종료 후 승부가 나지 않고, 양측의 HP가 모두 90% 이상일 시 피해량이 높은 쪽이 승리합니다. 한쪽만 HP 퍼센트가 90% 미만일 경우, 최종 HP 퍼센트가 높은 쪽이 승리합니다."""
79005,5. The side with surviving Pokémons wins.,5.最終有存活精靈的一方獲勝,5. The side with surviving Pokémons wins.,,5. 최종 생존 포켓몬이 있는 쪽이 승리합니다.
,,,,,
80001,1. Players can begin betting for qualifying matches on the first day of the tournament,1.玩家可在比賽第一天進行預選賽下註,1. Players can begin betting for qualifying matches on the first day of the tournament,1. Người chơi có thể đặt cược Vòng Loại vào ngày thi đấu đầu tiên,1. 유저는 1일 차에 예선전 베팅을 진행할 수 있습니다.
80002,2. Betting time for qualifiers is on the 1st day of the tournament at 10:00-18:50,2.預選賽下註時間為比賽第一天10:00-18:50,2. Betting time for qualifiers is on the 1st day of the tournament at 10:00-18:50,2. Thời gian đặt cược Vòng Loại từ 10:00-18:50 ngày thi đấu đầu tiên,2. 예선전 베팅 시간은 1일 차 10:00~18:50입니다.
80003,3. Make a bet and guess the players who will emerge in the top three with most number of points at the end of the qualifiers,3.下註競猜本服在預選賽結束積分排名前三的玩家,3. Make a bet and guess the players who will emerge in the top three with most number of points at the end of the qualifiers,3. Đặt cược dự đoán TOP3 người chơi xếp hạng điểm Vòng Loại của server,3. 본 서버 예선전 종료 시점의 포인트 순위 3위의 유저를 두고 베팅할 수 있습니다.
80004,4. Players can make a bet on up to 3 players,4.玩家最多可選擇3名玩家進行下註,4. Players can make a bet on up to 3 players,4. Người chơi chọn đặt cược tối đa 3 người chơi,4. 유저는 최대 3명의 유저에게 베팅할 수 있습니다.
80005,"5. Double of the bet will be returned if players make a correct guess. Otherwise, half of the bet will be returned.",5.每競猜成功一名玩家則雙倍返還下註金額，若競猜失敗則返還一半金額,"5. Double of the bet will be returned if players make a correct guess. Otherwise, half of the bet will be returned.","5. Mỗi dự đoán thành công 1 người chơi được hoàn lại gấp đôi tiền đặt cược, đoán sai hoàn lại một nửa tiền","""5. 베팅에 성공할 때마다 베팅 금액의 2배를 반환하며, 실패할 경우 절반의 금액을 반환합니다."""
80006,6. Players get additional rewards for guessing all 3 contestants correctly,6.三名玩家全部競猜成功則會獲得額外獎勵,6. Players get additional rewards for guessing all 3 contestants correctly,6. Đoán đúng cả 3 người chơi nhận thêm thưởng,6. 세 명의 유저 베팅에 모두 성공할 경우 추가 보상을 획득할 수 있습니다.
,,,,,
