变量名,name,name_tw,name_en,name_vn,name_kr,attributeType,rarity,natureType,natureType2,twinFlag,battleFlag,rectSize,bossCard_id,bossLife,cardID,star,icon,cardIcon,cardIcon2,iconSimple,cardShow,cardShowScale,cardShowPosC,unitRes,skin,show,bansxScale,bansxPosC,passiveSkillList,skillList,combinationObjCardId,combinationSkillId,everyPos,lifeScale,specBind,killResumeMp1,scale,scaleC,scaleCMode,scaleU,scaleX,scaleSkin,bornTime,rebornTime,deathTime,deathSound,fightingPoint,buffId,buffLifeRound,buffProb,buffLevel,buffValue1,hpGrow,speedGrow,damageGrow,specialDamageGrow,defenceGrow,specialDefenceGrow,hpBaseC,speedBaseC,damageBaseC,defenceBaseC,specialDamageBaseC,specialDefenceBaseC,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefenceC,defenceIgnoreC,specialDefenceIgnoreC,speedC,strikeC,strikeDamageC,strikeResistanceC,blockC,breakBlockC,blockPowerC,dodgeC,hitC,damageDodgeC,damageHitC,damageAddC,damageSubC,ultimateAddC,ultimateSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,cureC,natureRestraintC,controlPerC,immuneControlC,effectPowerId,summonCalDamage
90192,Venomoth,摩魯蛾,Venomoth,404404,도나리,bossmonster,1,12,8,,<99>,,,,192,,config/portrait/speedranktouxiang/img_49_mle@.png,config/portrait/jinglingtouxiang/img_49_mle@.png,config/portrait/jinglingtouxiang1/img_49_mle@.png,config/portrait/simple/img_49_mle@.png,config/big_hero/normal/img_49_mle@.png,1.8,{x=-5;y=10},koudai_molue/hero_molue.skel,,config/big_hero/standby/img_49_mle@.png,,{x=100;y=-30},,<1921;1922;1923>,,,{'hitPos'={'x'=0;'y'=130};'lifePos'={'x'=0;'y'=280};'headPos'={'x'=0;'y'=240};'namePos'={'x'=0;'y'=280}},,,,1,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90221,Psyduck,可達鴨,Psyduck,404404,고라파덕,bossmonster,2,3,,,<99>,,,,221,,config/portrait/speedranktouxiang/img_54_kdy@.png,config/portrait/jinglingtouxiang/img_54_kdy@.png,config/portrait/jinglingtouxiang1/img_54_kdy@.png,config/portrait/simple/img_54_kdy@.png,config/big_hero/normal/img_54_kdy@.png,1.2,{x=20;y=40},koudai_kedaya/hero_kedaya.skel,,config/big_hero/standby/img_54_kdy@.png,,,,<2211;2212;2213>,,,{'hitPos'={'x'=0;'y'=115};'lifePos'={'x'=0;'y'=250};'headPos'={'x'=0;'y'=210};'namePos'={'x'=0;'y'=250}},,,,2.2,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90222,Psyduck,哥達鴨,Psyduck,404404,골덕,bossmonster,2,3,,,<99>,,,,222,,config/portrait/speedranktouxiang/img_55_gdy@.png,config/portrait/jinglingtouxiang/img_55_gdy@.png,config/portrait/jinglingtouxiang1/img_55_gdy@.png,config/portrait/simple/img_55_gdy@.png,config/big_hero/normal/img_55_gdy@.png,1.2,{x=10;y=20},koudai_gedaya/hero_gedaya.skel,,config/big_hero/standby/img_55_gdy@.png,,,,<2221;2222;2223>,,,{'hitPos'={'x'=0;'y'=155};'lifePos'={'x'=0;'y'=330};'headPos'={'x'=0;'y'=290};'namePos'={'x'=0;'y'=330}},,,,2.1,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90231,Mankey,猴怪,Mankey,404404,망키,bossmonster,1,7,,,<99>,,,,231,,config/portrait/speedranktouxiang/img_56_hg@.png,config/portrait/jinglingtouxiang/img_56_hg@.png,config/portrait/jinglingtouxiang1/img_56_hg@.png,config/portrait/simple/img_56_hg@.png,config/big_hero/normal/img_56_hg@.png,1.2,{x=100;y=0},koudai_houguai/hero_houguai.skel,,config/big_hero/standby/img_56_hg@.png,,{x=120;y=-30},,<2311;2312;2313>,,,{'hitPos'={'x'=0;'y'=130};'lifePos'={'x'=0;'y'=280};'headPos'={'x'=0;'y'=240};'namePos'={'x'=0;'y'=280}},,,,2.3,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90232,Primeape,火暴猴,Primeape,404404,성원숭,bossmonster,1,7,,,<99>,,,,232,,config/portrait/speedranktouxiang/img_57_hbh@.png,config/portrait/jinglingtouxiang/img_57_hbh@.png,config/portrait/jinglingtouxiang1/img_57_hbh@.png,config/portrait/simple/img_57_hbh@.png,config/big_hero/normal/img_57_hbh@.png,1.05,{x=10;y=10},koudai_huobaohou/hero_huobaohou.skel,,config/big_hero/standby/img_57_hbh@.png,,{x=140;y=-40},,<2321;2322;2323>,,,{'hitPos'={'x'=0;'y'=140};'lifePos'={'x'=0;'y'=300};'headPos'={'x'=0;'y'=260};'namePos'={'x'=0;'y'=300}},,,,2.1,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90241,Growlithe,卡蒂狗,Growlithe,404404,가디,bossmonster,3,2,,,<99>,,,,241,,config/portrait/speedranktouxiang/img_58_kdg@.png,config/portrait/jinglingtouxiang/img_58_kdg@.png,config/portrait/jinglingtouxiang1/img_58_kdg@.png,config/portrait/simple/img_58_kdg@.png,config/big_hero/normal/img_58_kdg@.png,1,{x=0;y=30},koudai_kadigou/hero_kadigou.skel,,config/big_hero/standby/img_58_kdg@.png,,{x=120;y=-30},,<2411;2412;2413>,,,{'hitPos'={'x'=0;'y'=125};'lifePos'={'x'=0;'y'=270};'headPos'={'x'=0;'y'=230};'namePos'={'x'=0;'y'=320}},,,,2.3,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90242,Arcanine,風速狗,Arcanine,404404,윈디,bossmonster,3,2,,,<99>,,,,242,,config/portrait/speedranktouxiang/img_59_fsg@.png,config/portrait/jinglingtouxiang/img_59_fsg@.png,config/portrait/jinglingtouxiang1/img_59_fsg@.png,config/portrait/simple/img_59_fsg@.png,config/big_hero/normal/img_59_fsg@.png,,,koudai_fengsugou/hero_fengsugou.skel,,config/big_hero/standby/img_59_fsg@.png,,{x=120;y=-30},,<2421;2422;2423>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=320}},,,,2.5,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90261,Abra,凱西,Abra,404404,캐이시,bossmonster,3,11,,,<99>,,,,261,,config/portrait/speedranktouxiang/img_63_kx@.png,config/portrait/jinglingtouxiang/img_63_kx@.png,config/portrait/jinglingtouxiang1/img_63_kx@.png,config/portrait/simple/img_63_kx@.png,config/big_hero/normal/img_63_kx@.png,1.2,{x=25;y=-20},koudai_kaixi/hero_kaixi.skel,,config/big_hero/standby/img_63_kx@.png,,{x=100;y=0},,<2611;2612;2613>,,,{'hitPos'={'x'=0;'y'=130};'lifePos'={'x'=0;'y'=280};'headPos'={'x'=0;'y'=240};'namePos'={'x'=0;'y'=280}},,,,2.1,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90262,Kadabra,勇基拉,Kadabra,404404,윤겔라,bossmonster,3,11,,,<99>,,,,262,,config/portrait/speedranktouxiang/img_64_yjl@.png,config/portrait/jinglingtouxiang/img_64_yjl@.png,config/portrait/jinglingtouxiang1/img_64_yjl@.png,config/portrait/simple/img_64_yjl@.png,config/big_hero/normal/img_64_yjl@.png,1.05,{x=0;y=5},koudai_yongjila/hero_yongjila.skel,,config/big_hero/standby/img_64_yjl@.png,,{x=140;y=-40},,<2621;2622;2623>,,,{'hitPos'={'x'=0;'y'=140};'lifePos'={'x'=0;'y'=300};'headPos'={'x'=0;'y'=260};'namePos'={'x'=0;'y'=300}},,,,2.8,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90263,Alakazam,胡地,Alakazam,404404,후딘,bossmonster,3,11,,,<99>,,,,263,,config/portrait/speedranktouxiang/img_65_hd@.png,config/portrait/jinglingtouxiang/img_65_hd@.png,config/portrait/jinglingtouxiang1/img_65_hd@.png,config/portrait/simple/img_65_hd@.png,config/big_hero/normal/img_65_hd@.png,1.3,{x=-25;y=30},koudai_hudi/hero_hudi.skel,,config/big_hero/standby/img_65_hd@.png,1.2,{x=140;y=-100},,<2631;2632;2633>,,,,,,,2.5,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90264,Mega Alakazam,超級胡地,Mega Alakazam,404404,메가후딘,bossmonster,3,11,,,<99>,,,,264,,config/portrait/speedranktouxiang/img_65_cjhd@.png,config/portrait/jinglingtouxiang/img_65_cjhd@.png,config/portrait/jinglingtouxiang1/img_65_cjhd@.png,config/portrait/simple/img_65_cjhd@.png,config/big_hero/normal/img_65_cjhd@.png,1.5,{x=25;y=80},koudai_hudimega/hero_hudimega.skel,,config/big_hero/standby/img_65_cjhd@.png,,,,<2641;2642;2643>,,,,,,,2,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90271,Machop,腕力,Machop,404404,알통몬,bossmonster,2,7,,,<99>,,,,271,,config/portrait/speedranktouxiang/img_66_wl@.png,config/portrait/jinglingtouxiang/img_66_wl@.png,config/portrait/jinglingtouxiang1/img_66_wl@.png,config/portrait/simple/img_66_wl@.png,config/big_hero/normal/img_66_wl@.png,1.1,,koudai_wanli/hero_wanli.skel,,config/big_hero/standby/img_66_wl@.png,,,,<2711;2712;2713>,,,{'hitPos'={'x'=0;'y'=140};'lifePos'={'x'=0;'y'=300};'headPos'={'x'=0;'y'=260};'namePos'={'x'=0;'y'=300}},,,,2.4,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90272,Machoke,豪力,Machoke,404404,근육몬,bossmonster,2,7,,,<99>,,,,272,,config/portrait/speedranktouxiang/img_67_hl@.png,config/portrait/jinglingtouxiang/img_67_hl@.png,config/portrait/jinglingtouxiang1/img_67_hl@.png,config/portrait/simple/img_67_hl@.png,config/big_hero/normal/img_67_hl@.png,1.2,{x=80;y=30},koudai_haoli/hero_haoli.skel,,config/big_hero/standby/img_67_hl@.png,,,,<2721;2722;2723>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,,2.4,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90273,Machamp,怪力,Machamp,404404,괴력몬,bossmonster,2,7,,,<99>,,,,273,,config/portrait/speedranktouxiang/img_68_gl@.png,config/portrait/jinglingtouxiang/img_68_gl@.png,config/portrait/jinglingtouxiang1/img_68_gl@.png,config/portrait/simple/img_68_gl@.png,config/big_hero/normal/img_68_gl@.png,1.5,{x=-30;y=30},koudai_guaili/hero_guaili.skel,,config/big_hero/standby/img_68_gl@.png,,,,<2731;2732;2733>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90281,Bellsprout,喇叭芽,Bellsprout,404404,모다피,bossmonster,2,4,8,,<99>,,,,281,,config/portrait/speedranktouxiang/img_69_lby@.png,config/portrait/jinglingtouxiang/img_69_lby@.png,config/portrait/jinglingtouxiang1/img_69_lby@.png,config/portrait/simple/img_69_lby@.png,config/big_hero/normal/img_69_lby@.png,1.4,{x=40;y=-45},koudai_labaya/hero_labaya.skel,,config/big_hero/standby/img_69_lby@.png,,{x=140;y=-20},,<2811;2812;2813>,,,{'hitPos'={'x'=0;'y'=110};'lifePos'={'x'=0;'y'=240};'headPos'={'x'=0;'y'=200};'namePos'={'x'=0;'y'=240}},,,,2,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90282,Weepinbell,口呆花,Weepinbell,404404,우츠동,bossmonster,2,4,8,,<99>,,,,282,,config/portrait/speedranktouxiang/img_70_kdh@.png,config/portrait/jinglingtouxiang/img_70_kdh@.png,config/portrait/jinglingtouxiang1/img_70_kdh@.png,config/portrait/simple/img_70_kdh@.png,config/big_hero/normal/img_70_kdh@.png,,{x=-20;y=0},koudai_koudaihua/hero_koudaihua.skel,,config/big_hero/standby/img_70_kdh@.png,,{x=140;y=-20},,<2821;2822;2823>,,,{'hitPos'={'x'=0;'y'=110};'lifePos'={'x'=0;'y'=240};'headPos'={'x'=0;'y'=200};'namePos'={'x'=0;'y'=240}},,,,1.6,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90283,Victreebel,大食花,Victreebel,404404,우츠보트,bossmonster,2,4,8,,<99>,,,,283,,config/portrait/speedranktouxiang/img_71_dsh@.png,config/portrait/jinglingtouxiang/img_71_dsh@.png,config/portrait/jinglingtouxiang1/img_71_dsh@.png,config/portrait/simple/img_71_dsh@.png,config/big_hero/normal/img_71_dsh@.png,1.3,{x=30;y=-10},koudai_dashihua/hero_dashihua.skel,,config/big_hero/standby/img_71_dsh@.png,,{x=140;y=-20},,<2831;2832;2833>,,,{'hitPos'={'x'=0;'y'=130};'lifePos'={'x'=0;'y'=280};'headPos'={'x'=0;'y'=240};'namePos'={'x'=0;'y'=280}},,,,2,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90301,Geodude,小拳石,Geodude,404404,꼬마돌,bossmonster,2,13,9,,<99>,,,,301,,config/portrait/speedranktouxiang/img_74_xqs@.png,config/portrait/jinglingtouxiang/img_74_xqs@.png,config/portrait/jinglingtouxiang1/img_74_xqs@.png,config/portrait/simple/img_74_xqs@.png,config/big_hero/normal/img_74_xqs@.png,0.85,{x=0;y=25},koudai_xiaoquanshi/hero_xiaoquanshi.skel,,config/big_hero/standby/img_74_xqs@.png,,,,<3011;3012;3013>,,,{'hitPos'={'x'=0;'y'=90};'lifePos'={'x'=0;'y'=200};'headPos'={'x'=0;'y'=160};'namePos'={'x'=0;'y'=200}},,,,2.2,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90302,Graveler,隆隆石,Graveler,404404,데구리,bossmonster,2,13,9,,<99>,,,,302,,config/portrait/speedranktouxiang/img_75_lls@.png,config/portrait/jinglingtouxiang/img_75_lls@.png,config/portrait/jinglingtouxiang1/img_75_lls@.png,config/portrait/simple/img_75_lls@.png,config/big_hero/normal/img_75_lls@.png,,{x=20;y=0},koudai_longlongshi/hero_longlongshi.skel,,config/big_hero/standby/img_75_lls@.png,,,,<3021;3022;3023>,,,{'hitPos'={'x'=0;'y'=120};'lifePos'={'x'=0;'y'=260};'headPos'={'x'=0;'y'=220};'namePos'={'x'=0;'y'=260}},,,,1.9,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90303,Golem,隆隆岩,Golem,404404,딱구리,bossmonster,2,13,9,,<99>,,,,303,,config/portrait/speedranktouxiang/img_76_lly@.png,config/portrait/jinglingtouxiang/img_76_lly@.png,config/portrait/jinglingtouxiang1/img_76_lly@.png,config/portrait/simple/img_76_lly@.png,config/big_hero/normal/img_76_lly@.png,1.3,{x=25;y=-10},koudai_longlongyan/hero_longlongyan.skel,,config/big_hero/standby/img_76_lly@.png,,,,<3031;3032;3033>,,,{'hitPos'={'x'=0;'y'=135};'lifePos'={'x'=0;'y'=290};'headPos'={'x'=0;'y'=250};'namePos'={'x'=0;'y'=290}},,,,2.2,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90331,Magnemite,小磁怪,Magnemite,404404,코일,bossmonster,3,5,17,,<99>,,,,331,,config/portrait/speedranktouxiang/img_81_xcg@.png,config/portrait/jinglingtouxiang/img_81_xcg@.png,config/portrait/jinglingtouxiang1/img_81_xcg@.png,config/portrait/simple/img_81_xcg@.png,config/big_hero/normal/img_81_xcg@.png,,{x=35;y=15},koudai_xiaociguai/hero_xiaociguai.skel,,config/big_hero/standby/img_81_xcg@.png,,{x=140;y=-20},,<3311;3312;3313>,,,{'hitPos'={'x'=0;'y'=110};'lifePos'={'x'=0;'y'=240};'headPos'={'x'=0;'y'=200};'namePos'={'x'=0;'y'=240}},,,,1.9,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90332,Magneton,三合一磁怪,Magneton,404404,레어코일,bossmonster,3,5,17,,<99>,,,,332,,config/portrait/speedranktouxiang/img_82_shycg@.png,config/portrait/jinglingtouxiang/img_82_shycg@.png,config/portrait/jinglingtouxiang1/img_82_shycg@.png,config/portrait/simple/img_82_shycg@.png,config/big_hero/normal/img_82_shycg@.png,1.2,{x=40;y=20},koudai_sanheyiciguai/hero_sanheyiciguai.skel,,config/big_hero/standby/img_82_shycg@.png,,{x=140;y=-20},,<3321;3322;3323>,,,{'hitPos'={'x'=0;'y'=110};'lifePos'={'x'=0;'y'=240};'headPos'={'x'=0;'y'=200};'namePos'={'x'=0;'y'=240}},,,,1.9,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90333,Magnezone,自爆磁怪,Magnezone,404404,자포코일,bossmonster,3,5,17,,<99>,,,,333,,config/portrait/speedranktouxiang/img_462_zbcg@.png,config/portrait/jinglingtouxiang/img_462_zbcg@.png,config/portrait/jinglingtouxiang1/img_462_zbcg@.png,config/portrait/simple/img_462_zbcg@.png,config/big_hero/normal/img_462_zbcg@.png,,{x=20;y=0},koudai_zibaociguai/hero_zibaociguai.skel,,config/big_hero/standby/img_462_zbcg@.png,,{x=0;y=-100},,<3331;3332;3333>,,,{'hitPos'={'x'=0;'y'=155};'lifePos'={'x'=0;'y'=330};'headPos'={'x'=0;'y'=290};'namePos'={'x'=0;'y'=330}},,,,2.3,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90341,Farfetch'd,大蔥鴨,Farfetch'd,404404,파오리,bossmonster,2,1,10,,<99>,,,,341,,config/portrait/speedranktouxiang/img_83_dcy@.png,config/portrait/jinglingtouxiang/img_83_dcy@.png,config/portrait/jinglingtouxiang1/img_83_dcy@.png,config/portrait/simple/img_83_dcy@.png,config/big_hero/normal/img_83_dcy@.png,,{x=20;y=10},koudai_dacongya/hero_dacongya.skel,,config/big_hero/standby/img_83_dcy@.png,,,,<3411;3412;3413>,,,{'hitPos'={'x'=0;'y'=140};'lifePos'={'x'=0;'y'=300};'headPos'={'x'=0;'y'=260};'namePos'={'x'=0;'y'=300}},,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90351,Doduo,嘟嘟,Doduo,404404,두두,bossmonster,1,1,10,,<99>,,,,351,,config/portrait/speedranktouxiang/img_84_dd@.png,config/portrait/jinglingtouxiang/img_84_dd@.png,config/portrait/jinglingtouxiang1/img_84_dd@.png,config/portrait/simple/img_84_dd@.png,config/big_hero/normal/img_84_dd@.png,,{x=10;y=0},koudai_dudu/hero_dudu.skel,,config/big_hero/standby/img_84_dd@.png,,,,<3511;3512;3513>,,,{'hitPos'={'x'=0;'y'=155};'lifePos'={'x'=0;'y'=330};'headPos'={'x'=0;'y'=290};'namePos'={'x'=0;'y'=330}},,,,2.8,,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90352,Dodrio,嘟嘟利,Dodrio,404404,두트리오,bossmonster,1,1,10,,<99>,,,,352,,config/portrait/speedranktouxiang/img_85_ddl@.png,config/portrait/jinglingtouxiang/img_85_ddl@.png,config/portrait/jinglingtouxiang1/img_85_ddl@.png,config/portrait/simple/img_85_ddl@.png,config/big_hero/normal/img_85_ddl@.png,,{x=30;y=0},koudai_duduli/hero_duduli.skel,,config/big_hero/standby/img_85_ddl@.png,,,,<3521;3522;3523>,,,{'hitPos'={'x'=0;'y'=155};'lifePos'={'x'=0;'y'=330};'headPos'={'x'=0;'y'=290};'namePos'={'x'=0;'y'=330}},,,,2.5,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90371,Grimer,臭泥,Grimer,404404,질퍽이,bossmonster,2,8,,,<99>,,,,371,,config/portrait/speedranktouxiang/img_88_cn@.png,config/portrait/jinglingtouxiang/img_88_cn@.png,config/portrait/jinglingtouxiang1/img_88_cn@.png,config/portrait/simple/img_88_cn@.png,config/big_hero/normal/img_88_cn@.png,,{x=20;y=15},koudai_chouni/hero_chouni.skel,,config/big_hero/standby/img_88_cn@.png,,{x=140;y=-20},,<3711;3712;3713>,,,{'hitPos'={'x'=0;'y'=115};'lifePos'={'x'=0;'y'=250};'headPos'={'x'=0;'y'=210};'namePos'={'x'=0;'y'=250}},,,,3,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90372,Muk,臭臭泥,Muk,404404,질뻐기,bossmonster,2,8,,,<99>,,,,372,,config/portrait/speedranktouxiang/img_89_ccn@.png,config/portrait/jinglingtouxiang/img_89_ccn@.png,config/portrait/jinglingtouxiang1/img_89_ccn@.png,config/portrait/simple/img_89_ccn@.png,config/big_hero/normal/img_89_ccn@.png,1.1,{x=-45;y=18},koudai_chouchouni/hero_chouchouni.skel,,config/big_hero/standby/img_89_ccn@.png,,{x=140;y=-20},,<3721;3722;3723>,,,{'hitPos'={'x'=0;'y'=115};'lifePos'={'x'=0;'y'=250};'headPos'={'x'=0;'y'=210};'namePos'={'x'=0;'y'=250}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90391,Gastly,鬼斯,Gastly,404404,고오스,bossmonster,3,14,8,,<99>,,,,391,,config/portrait/speedranktouxiang/img_92_gs@.png,config/portrait/jinglingtouxiang/img_92_gs@.png,config/portrait/jinglingtouxiang1/img_92_gs@.png,config/portrait/simple/img_92_gs@.png,config/big_hero/normal/img_92_gs@.png,0.9,{x=0;y=20},koudai_guisi/hero_guisi.skel,,config/big_hero/standby/img_92_gs@.png,,,,<3911;3912;3913>,,,{'hitPos'={'x'=0;'y'=125};'lifePos'={'x'=0;'y'=270};'headPos'={'x'=0;'y'=230};'namePos'={'x'=0;'y'=270}},,,,1.6,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90392,Haunter,鬼斯通,Haunter,404404,고우스트,bossmonster,3,14,8,,<99>,,,,392,,config/portrait/speedranktouxiang/img_93_gst@.png,config/portrait/jinglingtouxiang/img_93_gst@.png,config/portrait/jinglingtouxiang1/img_93_gst@.png,config/portrait/simple/img_93_gst@.png,config/big_hero/normal/img_93_gst@.png,0.9,{x=10;y=10},koudai_guisitong/hero_guisitong.skel,,config/big_hero/standby/img_93_gst@.png,,,,<3921;3922;3923>,,,{'hitPos'={'x'=0;'y'=125};'lifePos'={'x'=0;'y'=270};'headPos'={'x'=0;'y'=230};'namePos'={'x'=0;'y'=270}},,,,1.7,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90393,Gengar,耿鬼,Gengar,404404,팬텀,bossmonster,3,14,8,,<99>,,,,393,,config/portrait/speedranktouxiang/img_94_gg@.png,config/portrait/jinglingtouxiang/img_94_gg@.png,config/portrait/jinglingtouxiang1/img_94_gg@.png,config/portrait/simple/img_94_gg@.png,config/big_hero/normal/img_94_gg@.png,,{x=-5;y=30},koudai_genggui/hero_genggui.skel,,config/big_hero/standby/img_94_gg@.png,,,,<3931;3932;3933>,,,{'hitPos'={'x'=0;'y'=140};'lifePos'={'x'=0;'y'=300};'headPos'={'x'=0;'y'=260};'namePos'={'x'=0;'y'=300}},,,,2.3,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90394,Mega Gengar,超級耿鬼,Mega Gengar,404404,메가팬텀,bossmonster,3,14,8,,<99>,,,,394,,config/portrait/speedranktouxiang/img_94_cjgg@.png,config/portrait/jinglingtouxiang/img_94_cjgg@.png,config/portrait/jinglingtouxiang1/img_94_cjgg@.png,config/portrait/simple/img_94_cjgg@.png,config/big_hero/normal/img_94_cjgg@.png,0.9,{x=-5;y=20},koudai_gengguimega/hero_gengguimega.skel,,config/big_hero/standby/img_94_cjgg@.png,,,,<3941;3942;3943>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=320};'headPos'={'x'=0;'y'=280};'namePos'={'x'=0;'y'=320}},,,,2.4,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90401,Onix,大岩蛇,Onix,404404,롱스톤,bossmonster,3,13,9,,<99>,,,,401,,config/portrait/speedranktouxiang/img_95_dys@.png,config/portrait/jinglingtouxiang/img_95_dys@.png,config/portrait/jinglingtouxiang1/img_95_dys@.png,config/portrait/simple/img_95_dys@.png,config/big_hero/normal/img_95_dys@.png,0.8,{x=5;y=0},koudai_dayanshe/hero_dayanshe.skel,,config/big_hero/standby/img_95_dys@.png,,,,<4011;4012;4013>,,,{'hitPos'={'x'=0;'y'=165};'lifePos'={'x'=0;'y'=350};'headPos'={'x'=0;'y'=310};'namePos'={'x'=0;'y'=350}},,,,2.8,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90402,Steelix,大鋼蛇,Steelix,404404,강철톤,bossmonster,3,17,9,,<99>,,,,402,,config/portrait/speedranktouxiang/img_208_dgs@.png,config/portrait/jinglingtouxiang/img_208_dgs@.png,config/portrait/jinglingtouxiang1/img_208_dgs@.png,config/portrait/simple/img_208_dgs@.png,config/big_hero/normal/img_208_dgs@.png,1.4,{x=45;y=20},koudai_dagangshe/hero_dagangshe.skel,,config/big_hero/standby/img_208_dgs@.png,,,,<4021;4022;4023>,,,{'hitPos'={'x'=0;'y'=180};'lifePos'={'x'=0;'y'=380};'headPos'={'x'=0;'y'=340};'namePos'={'x'=0;'y'=380}},,,,2,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
