"﻿变量名",title,title_tw,title_en,title_vn,title_kr,languages,showType,color,resBg,res,spineSize,type,sameId,kind,source,itemId,feature,rank,needNotice,alwaysDisplay,days,message,message_tw,message_en,needNotice_vn,message_kr,conditionDesc,conditionDesc_tw,conditionDesc_en,conditionDesc_kr,condition1,conditionArg1_1,conditionArg1_2,conditionDesc2,condition2,conditionArg2_1,conditionArg2_2,attrNatureType1,attrType1,attrValue1,attrNatureType2,attrType2,attrValue2,attrNatureType3,attrType3,attrValue3
2009,Sparta Warrior,斯巴達勇士,Sparta Warrior,Dũng Sĩ Sparta,스파르타 용사,,pic,,config/title/img_red@.png,config/title/sbdys.png,,4,,,,2509,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,7,120,0,8,120,,,
2010,Gift rose,送人玫瑰,Gift rose,Tặng Hoa Hồng,장미 선물,,pic,,config/title/img_red@.png,config/title/srmg.png,,4,,,,2510,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,1,1200,0,13,30,,,
2011,Hard work can perform miracles,大力出奇跡,Hard work can perform miracles,Kỳ Tích Xuất Hiện,힘이 제일,,spine,,,title/chenhao_dlcqj.skel,<254;104>,4,,,,2511,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,7,1%,0,8,1%,,,
2012,Pocket Egg Pair,雙黃蛋,Pocket Egg Pair,Trứng Hai Lòng,두 개의 노른자,,spine,,,title/shd.skel,<254;104>,4,,,,2512,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,7,600,0,8,600,,,
2013,Hat Trick,帽子戲法,Hat Trick,Hat-trick,해트트릭,,spine,,,title/mzxf.skel,<254;104>,4,,,,2513,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,7,800,0,8,800,,,
2014,Filthy Rich,家裡有礦,Filthy Rich,Nhà Có Mỏ,금수저,,spine,,,title/jlyk.skel,<254;104>,4,,,,2514,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,9,320,0,10,320,,,
2015,Dragon King Jet,龍王噴水,Dragon King Jet,Long Vương Phun Nước,용왕 분수,,spine,,,title/lwps.skel,<254;104>,4,,,,2515,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,1,2000,,,,,,
2016,Mysterious,不可思議の,Mysterious,title4044404,불가사의,,spine,,,title/ch_bksyd.skel,<254;104>,4,,,,2516,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,7,580,0,8,580,,,
2017,Conqueror,征服者,Conqueror,title4044404,정복자,,spine,,,title/ch_zfz.skel,<254;104>,4,,,,2517,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,9,340,0,10,340,,,
2018,Fisherman,漁 夫,Fisherman,title4044404,어 부,<cn;kr;tw;en>,txt,<61;138;153>,config/title/img_blue@.png,,,4,,,,2518,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,9,20,0,10,20,,,
2019,Master Angler,垂釣高手,Master Angler,Bậc thầy câu cá,낚시 고수,<cn;kr;tw;en>,txt,<61;138;153>,config/title/img_blue@.png,,,4,,,,2519,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,9,80,0,10,80,,,
2020,Fishing Expert,垂釣達人,Fishing Expert,Chuyên gia câu cá,낚시 장인,<cn;kr;tw;en>,txt,<138;92;153>,config/title/img_purple@.png,,,4,,,,2520,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,9,120,0,10,120,,,
2021,Fishing Lord,垂釣宗師,Fishing Lord,title4044404,낚시 의 종사,<cn;kr;tw;en>,txt,<228;94;76>,config/title/img_red@.png,,,4,,,,2521,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,9,180,0,10,180,,,
2022,The Old Man and the Sea,老人與海,The Old Man and the Sea,Ông già và biển cả,노인과 바다,<cn;kr;tw;en>,txt,<138;92;153>,config/title/img_purple@.png,,,4,,,,2522,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,7,80,0,8,80,,,
2023,Gym Challenger,道館挑戰者,Gym Challenger,404,체육관 도전자,<cn;kr;en;tw>,txt,<228;94;76>,config/title/img_red@.png,,,4,,,,2523,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,17,100,,,,,,
2024,Protagonist halo,主角光環,404,404,404,<cn>,spine,,,title/zhujueguanghuan.skel,<254;104>,4,,,,2524,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,16,100,,,,,,
2025,adventure prince,冒險王子,404,404,404,<cn>,spine,,,title/maoxianwangzi.skel,<254;104>,4,,,,2525,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,1,1%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,star guild,明星公會,404,404,404,<cn>,pic,,config/title/img_purple@.png,config/title/txt_mxgh.png,,1,,2,,2523,unionQAUnion,1,,,7,,,,,,Obtained when the guild ranks 1st in the accumulated total points when the wizard quiz ranking is settled (it will become invalid after leaving the guild),,404,404,,,,,,,,0,7,1%,0,8,1%,,,
